satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary
2,0.7,1,2,0,0,1
1,0.6,3,2,0,0,1
2,0.56,1,2,0,0,1
1,0.52,3,2,0,0,1
2,0.97,4,2,0,0,1
1,0.65,5,2,1,0,1
2,0.5,2,2,0,0,1
1,0.74,4,2,0,0,1
1,0.77,1,2,0,0,0
2,0.83,3,2,1,0,0
3,0.51,3,2,0,0,1
1,0.54,3,2,1,0,1
1,0.85,2,2,0,0,1
1,0.59,3,2,0,0,1
3,0.68,1,2,0,0,1
3,0.53,5,2,0,0,1
2,0.79,4,2,0,0,1
2,0.56,4,2,1,0,1
3,0.91,4,2,0,0,1
1,0.71,5,2,0,0,1
2,0.83,4,2,0,0,1
1,0.43,1,2,0,0,1
2,0.78,2,2,0,0,1
1,0.61,4,2,0,0,1
3,0.99,3,2,0,0,1
2,0.61,4,2,0,0,1
1,0.77,5,2,1,0,1
2,0.69,4,2,0,0,1
2,0.6,1,2,0,0,1
3,0.93,4,2,0,0,1
1,0.77,4,2,0,0,1
2,0.91,5,2,0,0,1
1,0.64,2,2,0,0,0
1,0.67,1,2,0,0,0
1,0.55,4,2,0,0,1
3,0.97,3,2,0,0,0
1,0.91,4,2,1,0,1
1,0.57,1,2,0,0,1
1,0.4,1,2,1,0,1
3,0.99,3,2,0,0,1
2,0.61,4,2,0,0,1
1,0.77,5,2,1,0,1
2,0.69,4,2,0,0,1
2,0.6,1,2,0,0,1
3,0.93,4,2,0,0,1
1,0.77,4,2,0,0,1
2,0.91,5,2,0,0,1
1,0.64,2,2,0,0,0
1,0.67,1,2,0,0,0
1,0.55,4,2,0,0,1
3,0.97,3,2,0,0,0
1,0.91,4,2,1,0,1
1,0.57,1,2,0,0,1
1,0.4,1,2,1,0,1
1,0.78,2,2,0,1,0
2,0.68,5,2,0,1,1
1,0.74,2,2,0,1,0
1,0.71,5,2,0,1,1
1,0.56,4,2,0,1,1
1,0.95,2,2,0,1,0
1,0.78,3,2,0,1,1
2,0.75,5,2,0,1,1
1,0.67,1,2,0,1,0
1,0.9,4,2,0,1,0
2,0.58,4,2,0,1,1
1,0.87,3,2,0,1,1
2,0.81,4,2,0,1,0
1,0.62,4,2,0,1,1
