"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention"
11.03901437,1,0,37,1,0,1,1,0,2,1,0,0,1,0
17.41273101,1,0,45,0,0,0,1,1,4,0,1,0,0,0
3.58110883,1,0,34,0,0,0,1,1,4,1,0,0,0,0
3.449691992,1,0,40,1,0,1,0,0,2,0,0,0,1,0
8.772073922,1,0,27,1,0,0,1,0,2,0,1,1,0,0
82.75975359,0,0,20,1,1,0,1,1,4,1,0,1,1,1
7.589322382,1,1,36,1,0,1,1,1,4,0,1,1,1,0
8.969199179,1,0,42,1,1,1,1,1,2,1,0,0,1,0
29.30595483,1,0,25,1,1,0,1,1,2,1,0,0,0,0
110.0287474,0,0,25,1,0,1,1,0,2,0,1,1,1,1
13.01026694,1,1,34,1,0,1,0,1,4,0,1,1,0,0
150.1437372,1,0,33,1,0,0,1,0,3,0,0,1,0,1
3.975359343,1,0,29,1,1,1,1,1,2,1,0,0,0,0
53.35523614,1,0,27,1,0,1,1,1,2,0,0,1,1,0
12.02464066,1,1,30,0,0,1,0,0,3,0,0,1,0,0
109.2402464,0,0,22,1,0,0,1,1,3,0,1,0,0,1
12.68172485,1,0,36,1,0,1,1,1,2,0,0,0,1,0
80.98562628,1,0,32,1,0,1,1,1,4,1,1,0,0,1
49.14989733,1,0,28,1,0,1,1,1,1,1,0,0,1,0
24.0164271,1,0,28,1,0,1,1,1,4,0,1,0,0,0
30.02874743,1,0,22,1,1,0,1,1,2,0,0,0,1,0
9.790554415,1,0,41,1,0,1,1,1,4,1,1,0,0,0
28.84599589,1,1,31,0,0,1,0,1,2,1,1,0,1,0
45.8973306,1,0,31,1,0,1,1,0,3,1,0,0,1,0
7.030800821,1,0,39,1,0,0,1,0,1,1,0,0,1,0
84.89527721,0,0,31,1,0,0,1,0,4,0,1,1,0,1
81.83983573,1,0,29,1,0,0,1,1,4,1,1,0,1,1
3.351129363,1,0,24,1,0,0,1,1,4,1,0,0,0,0
58.80903491,1,0,32,0,0,0,1,0,4,0,1,0,0,0
1.80698152,1,1,27,0,0,1,1,1,4,0,1,1,0,0
11.89322382,1,0,24,1,0,0,1,1,1,1,0,0,0,0
61.2073922,0,0,25,1,0,0,1,1,2,1,0,1,1,1
59.00616016,1,1,36,0,0,1,1,1,4,0,1,1,0,0
37.09240246,1,0,37,1,1,0,1,1,2,1,1,0,0,0
36.23819302,1,0,32,1,0,1,1,0,4,1,1,0,0,0
3.121149897,1,0,41,1,0,0,1,1,4,0,1,0,0,0
7.589322382,1,1,47,0,0,1,0,1,4,0,0,1,0,0
61.79876797,1,1,22,0,0,1,1,1,4,1,0,0,0,1
22.63655031,1,0,36,0,0,0,1,1,1,0,0,1,1,0
123.0718686,1,0,28,0,0,0,1,0,4,1,0,1,1,1
77.53593429,1,0,24,0,0,0,1,1,2,0,0,0,0,1
113.0513347,0,0,30,1,1,0,1,0,4,1,0,1,1,1
42.48049281,1,0,42,1,0,1,1,1,4,1,1,0,0,0
18.16837782,1,0,24,1,0,0,1,1,3,1,1,0,0,0
54.07802875,1,0,30,1,1,0,1,1,3,0,0,1,1,0
23.6550308,1,1,26,0,0,1,1,1,4,0,1,0,0,0
64.29568789,1,1,44,0,0,1,0,1,4,0,1,1,1,1
164.5667351,0,0,27,0,0,0,1,0,4,0,0,1,0,1
13.8973306,1,0,27,1,0,1,1,0,1,0,1,0,0,0
76.15605749,0,0,24,1,1,1,1,0,2,1,0,1,1,1
42.25051335,1,0,18,1,0,0,1,1,2,1,0,0,0,0
86.83367556,1,1,24,0,0,1,1,1,4,1,1,0,0,1
33.93839836,1,0,27,1,0,0,1,1,2,1,1,0,0,0
54.01232033,1,1,37,0,0,1,1,1,1,0,0,0,1,0
70.83367556,1,0,23,1,1,0,1,0,2,1,0,0,1,1
43.8275154,1,0,27,1,0,0,1,1,3,1,0,0,1,0
78.91581109,1,1,21,0,0,0,0,1,4,1,0,1,0,1
14.98151951,1,0,33,1,0,1,1,0,4,0,1,1,0,0
48.45995893,1,0,34,0,0,0,1,1,2,0,1,0,0,0
66.69404517,0,0,32,1,0,1,1,0,1,0,0,1,1,1
8.969199179,1,0,42,1,1,1,1,1,2,1,0,0,1,0
106.2176591,0,0,23,1,0,1,1,1,3,0,0,0,1,1
128.1314168,0,0,32,1,0,1,1,1,1,1,0,0,1,1
45.30595483,1,0,34,1,0,0,1,1,4,0,1,0,0,0
94.78439425,0,0,31,1,1,1,1,1,3,1,0,1,1,1
23.45790554,1,0,27,1,0,0,1,1,4,1,0,0,1,0
2.858316222,1,0,38,1,0,1,1,0,2,1,0,0,0,0
23.2936345,1,0,32,1,0,0,1,0,2,1,1,0,0,0
12.12320329,1,0,39,1,0,1,1,1,4,1,0,0,0,0
95.44147844,0,0,25,1,0,1,0,1,2,0,1,1,1,1
11.49897331,1,0,26,1,0,0,1,1,4,1,0,0,0,0
60.78028747,0,0,33,1,0,0,1,0,4,0,0,1,1,1
5.815195072,1,0,25,0,0,1,1,1,4,0,1,0,1,0
13.07597536,1,0,21,1,0,0,1,1,3,1,0,0,0,0
12.78028747,1,0,27,1,0,1,1,1,2,1,0,0,0,0
13.8973306,1,0,23,1,0,0,1,1,4,1,1,0,0,0
31.96714579,1,1,29,1,0,1,1,1,4,0,1,1,0,0
108.550308,1,1,27,1,0,1,1,0,4,1,1,0,0,1
12.09034908,1,1,25,1,1,0,1,1,2,0,0,0,0,0
118.8008214,0,0,34,0,0,0,1,1,4,0,1,1,0,1
11.00616016,1,1,41,1,0,1,1,1,4,0,1,1,0,0
13.17453799,1,1,28,0,0,1,1,0,2,1,0,0,1,0
3.975359343,1,0,29,0,0,1,1,1,1,0,0,0,0,0
22.37371663,1,0,31,0,0,1,1,1,3,0,1,0,0,0
