"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","Education_vv_2","Education_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
49,0,0,1,3,0,1,0,3,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",NA,1,1,0,0,1
49,0,0,1,3,0,1,0,3,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",NA,2,2,0,0,1
49,0,0,1,3,0,1,0,4,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",NA,3,3,0,0,1
49,0,0,1,2,0,1,0,4,1,0,0,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",1,3,3,0,1,0
49,0,0,1,3,0,1,0,3,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",1,4,4,0,1,1
49,0,0,1,2,0,1,0,4,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",0.5,4,4,1,2,0
49,0,0,1,3,0,1,0,4,1,0,1,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",0.5,5,5,1,2,1
49,0,0,1,1,0,1,0,4,1,0,0,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",0.666666666666667,5,5,1,3,0
49,0,0,1,2,0,1,0,3,1,0,0,0.124363484890195,0.542720416957912,0.542720416957912,"Education_vv_3",0.75,5,5,1,4,0
48,0,0,1,3,0,1,0,4,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.75,6,6,1,4,1
48,0,0,1,3,0,1,0,4,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.75,7,7,1,4,1
48,0,0,1,3,0,1,0,4,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.75,8,8,1,4,1
48,0,0,1,3,0,1,0,3,1,0,0,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.638888888888889,8,9,1,4,1
48,0,0,1,3,0,1,0,3,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.65,9,10,1,4,1
48,0,0,1,2,0,1,0,3,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.5,9,10,2,5,0
48,0,0,1,3,0,1,0,4,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.509090909090909,10,11,2,5,1
48,0,0,1,1,0,1,0,3,1,0,0,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.575757575757576,10,11,2,6,0
48,0,0,1,3,0,1,0,3,1,0,1,0.125312108212263,0.542555827844671,0.542555827844671,"Education_vv_3",0.583333333333333,11,12,2,6,1
46,0,0,1,2,0,1,0,4,1,0,1,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.488095238095238,11,12,3,7,0
46,0,0,1,1,0,1,0,3,1,0,0,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.541666666666667,11,12,3,8,0
46,0,0,1,2,0,1,0,3,1,0,0,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.583333333333333,11,12,3,9,0
46,0,0,1,3,0,1,0,4,1,0,1,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.58974358974359,12,13,3,9,1
46,0,0,1,2,0,1,0,3,1,0,0,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.623076923076923,12,13,3,10,0
46,0,0,1,3,0,1,0,3,1,0,1,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.628571428571429,13,14,3,10,1
46,0,0,1,3,0,1,0,3,1,0,1,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.633333333333333,14,15,3,10,1
46,0,0,1,2,0,1,0,3,1,0,0,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.660606060606061,14,15,3,11,0
46,0,0,1,3,0,1,0,3,1,0,1,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.664772727272727,15,16,3,11,1
46,0,0,1,1,0,1,0,2,1,0,0,0.125163063167481,0.54165800740731,0.54165800740731,"Education_vv_3",0.6875,15,16,3,12,0
