"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
59,1,0,0,2,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",NA,0,0,1,1,0
59,0,0,1,3,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",NA,0,0,2,2,0
59,0,1,0,2,1,1,1,4,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",0,1,1,2,2,1
59,1,0,0,3,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",0,1,1,3,3,0
59,0,1,0,2,1,1,1,3,1,1,0,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.5,1,2,3,3,1
59,1,0,0,1,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.5,1,2,4,4,0
59,1,0,0,2,1,1,1,4,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.5,1,2,5,5,0
59,0,0,0,3,1,1,1,3,1,1,0,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.333333333333333,1,2,5,6,0
59,1,0,0,3,1,1,1,4,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.357142857142857,1,2,6,7,0
59,0,0,1,2,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.375,1,2,7,8,0
59,1,0,0,2,1,1,1,3,1,1,0,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.277777777777778,1,2,7,9,0
59,1,0,0,2,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.3,1,2,8,10,0
59,1,0,0,3,1,1,1,3,1,1,1,0.82470779060903,0.82470779060903,"SelfEmp_vv_1",-0.318181818181818,1,2,9,11,0
