"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
51,0,1,0,2,0,1,0,2,1,0,1,0.0152566902562613,0.0623430254410403,0.270117983388881,0.270117983388881,"WorkHour_vv_4",NA,0,0,1,1,0
51,0,1,0,2,0,1,0,4,1,0,1,0.0152566902562613,0.0623430254410403,0.270117983388881,0.270117983388881,"WorkHour_vv_4",0,1,1,1,1,1
51,0,1,0,2,0,1,0,3,1,0,1,0.0152566902562613,0.0623430254410403,0.270117983388881,0.270117983388881,"WorkHour_vv_4",0,1,1,2,2,0
51,0,1,0,2,0,1,0,2,1,0,0,0.0152566902562613,0.0623430254410403,0.270117983388881,0.270117983388881,"WorkHour_vv_4",0.333333333333333,1,1,2,3,0
51,0,1,0,2,0,1,0,4,1,0,1,0.0152566902562613,0.0623430254410403,0.270117983388881,0.270117983388881,"WorkHour_vv_4",0.333333333333333,2,2,2,3,1
48,0,1,0,2,0,1,0,4,1,0,1,0.0117393335674043,0.0622188113343059,0.27007286995557,0.27007286995557,"WorkHour_vv_4",0.333333333333333,3,3,2,3,1
48,0,0,0,2,0,1,0,1,1,0,0,0.0117393335674043,0.0622188113343059,0.27007286995557,0.27007286995557,"WorkHour_vv_4",0.5,3,3,2,4,0
51,0,1,0,2,0,1,0,3,1,1,1,0.0152566902562613,0.0601451176032064,0.270067143284383,0.270067143284383,"WorkHour_vv_4",0.4,3,3,3,5,0
49,0,1,0,2,0,1,0,3,1,0,1,0.012574468080368,0.0613257330577727,0.269799572732957,0.269799572732957,"WorkHour_vv_4",0.333333333333333,3,3,4,6,0
49,0,0,0,2,0,1,0,2,1,0,0,0.012574468080368,0.0613257330577727,0.269799572732957,0.269799572732957,"WorkHour_vv_4",0.428571428571429,3,3,4,7,0
