"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","Education_vv_2","Education_vv_3","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
51,1,0,0,3,1,1,1,4,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",NA,0,0,1,1,0
51,1,0,0,2,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",NA,0,0,2,2,0
51,1,0,0,2,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",NA,0,0,3,3,0
51,1,0,0,2,1,1,1,4,1,1,0,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",NA,0,0,3,4,0
51,1,0,0,2,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",NA,0,0,4,5,0
51,0,0,1,3,1,1,1,3,1,1,1,0.806871268197004,0.143283157891685,0.511388058024856,0.0203658500764289,0.0663489566999214,0.210628715696936,0.806871268197004,"SelfEmp_vv_1",NA,0,0,5,6,0
51,0,1,0,3,1,1,1,4,1,1,1,0.806871268197004,0.143964465536933,0.352578371810416,0.0282348691613263,0.100543107228523,0.21689357867474,0.806871268197004,"SelfEmp_vv_1",0.166666666666667,1,1,5,6,1
51,1,0,0,3,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.142857142857143,1,1,6,7,0
51,1,0,0,2,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.125,1,1,7,8,0
51,1,0,0,3,1,1,1,2,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.111111111111111,1,1,8,9,0
51,1,0,0,2,1,1,1,4,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.1,1,1,9,10,0
51,1,0,0,3,1,1,1,3,1,1,0,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.181818181818182,1,1,9,11,0
51,1,0,0,3,1,1,1,3,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.166666666666667,1,1,10,12,0
51,1,0,0,1,1,1,1,4,1,1,1,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",0.153846153846154,1,1,11,13,0
51,0,1,0,2,1,1,1,3,1,1,0,0.806871268197004,0.143964465536933,0.352578371810416,0.0282348691613263,0.100543107228523,0.21689357867474,0.806871268197004,"SelfEmp_vv_1",-0.346153846153846,1,2,11,13,1
51,0,0,1,3,1,1,1,3,1,1,1,0.806871268197004,0.143283157891685,0.511388058024856,0.0203658500764289,0.0663489566999214,0.210628715696936,0.806871268197004,"SelfEmp_vv_1",-0.357142857142857,1,2,12,14,0
51,1,0,0,2,1,1,1,3,1,1,0,0.806871268197004,0.14881708863875,0.40820755818811,-0.00403981602270484,0.0596771402920268,0.205812788830669,0.806871268197004,"SelfEmp_vv_1",-0.3,1,2,12,15,0
51,0,0,1,2,1,1,1,3,1,1,0,0.806871268197004,0.143283157891685,0.511388058024856,0.0203658500764289,0.0663489566999214,0.210628715696936,0.806871268197004,"SelfEmp_vv_1",-0.25,1,2,12,16,0
51,0,1,0,2,1,1,1,3,1,1,0,0.806871268197004,0.143964465536933,0.352578371810416,0.0282348691613263,0.100543107228523,0.21689357867474,0.806871268197004,"SelfEmp_vv_1",-0.416666666666667,1,3,12,16,1
51,0,0,1,3,1,1,1,3,1,1,1,0.806871268197004,0.143283157891685,0.511388058024856,0.0203658500764289,0.0663489566999214,0.210628715696936,0.806871268197004,"SelfEmp_vv_1",-0.431372549019608,1,3,13,17,0
51,0,0,1,2,1,1,1,3,1,1,1,0.806871268197004,0.143283157891685,0.511388058024856,0.0203658500764289,0.0663489566999214,0.210628715696936,0.806871268197004,"SelfEmp_vv_1",-0.444444444444444,1,3,14,18,0
