"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
2,0.74,3,2,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",NA,0,0,2,1,0
2,0.9,4,2,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",0,2,1,2,1,1
2,0.45,1,2,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",0,2,1,4,2,0
2,0.86,3,2,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",0,2,1,6,3,0
2,0.74,3,2,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",0,2,1,8,4,0
2,0.74,3,2,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",0,2,1,10,5,0
1,0.46,3,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.166666666666667,2,1,13,6,0
1,0.46,3,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.285714285714286,2,1,16,7,0
2,0.47,3,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.375,2,1,19,8,0
1,0.53,3,3,0,1,0,-0.0285375347430211,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.444444444444445,2,1,22,9,0
1,0.5,1,3,0,1,0,-0.0363305099166626,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.5,2,1,25,10,0
1,0.51,2,3,0,1,0,-0.0334952889435083,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.545454545454545,2,1,28,11,0
1,0.55,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.583333333333333,2,1,31,12,0
1,0.54,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.615384615384615,2,1,34,13,0
1,0.55,1,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.642857142857143,2,1,37,14,0
1,0.56,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.666666666666667,2,1,40,15,0
1,0.52,3,3,0,1,0,-0.0292576894204148,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.6875,2,1,43,16,0
1,0.46,1,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.705882352941177,2,1,46,17,0
1,0.45,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.722222222222222,2,1,49,18,0
2,0.51,1,3,0,1,0,-0.0334952889435083,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.736842105263158,2,1,52,19,0
1,0.5,2,3,0,1,0,-0.0363305099166626,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.75,2,1,55,20,0
1,0.52,2,3,0,1,0,-0.0292576894204148,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.761904761904762,2,1,58,21,0
1,0.52,2,3,0,1,0,-0.0292576894204148,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.772727272727273,2,1,61,22,0
2,0.57,3,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.782608695652174,2,1,64,23,0
1,0.48,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.791666666666667,2,1,67,24,0
2,0.5,1,3,0,1,0,-0.0363305099166626,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.8,2,1,70,25,0
1,0.52,2,3,0,1,0,-0.0292576894204148,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.807692307692307,2,1,73,26,0
1,0.46,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.814814814814815,2,1,76,27,0
2,0.46,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.821428571428572,2,1,79,28,0
1,0.53,2,3,0,1,0,-0.0285375347430211,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.827586206896552,2,1,82,29,0
1,0.51,2,3,0,1,0,-0.0334952889435083,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.833333333333333,2,1,85,30,0
1,0.56,1,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.838709677419355,2,1,88,31,0
1,0.45,1,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.84375,2,1,91,32,0
1,0.46,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.848484848484849,2,1,94,33,0
1,0.48,3,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.852941176470588,2,1,97,34,0
2,0.49,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.857142857142857,2,1,100,35,0
1,0.56,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.861111111111111,2,1,103,36,0
1,0.54,1,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.864864864864865,2,1,106,37,0
1,0.49,1,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.868421052631579,2,1,109,38,0
1,0.46,2,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.871794871794872,2,1,112,39,0
1,0.52,1,3,0,1,0,-0.0292576894204148,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.875,2,1,115,40,0
1,0.55,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.878048780487805,2,1,118,41,0
1,0.5,1,3,1,1,0,-0.0363305099166626,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.880952380952381,2,1,121,42,0
2,0.55,2,3,0,1,0,-0.0284959912405785,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.883720930232558,2,1,124,43,0
2,0.46,1,3,0,1,0,-0.0357789240992203,0.253852088734956,0.594508117113024,0.456961979123513,0.594508117113024,"average_montly_hours_vv_4",-0.886363636363636,2,1,127,44,0
