"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.92,3,4,1,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,4,1,0
1,0.92,5,4,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,8,2,0
1,0.92,4,4,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,12,3,0
1,0.92,4,4,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,16,4,0
1,0.92,5,4,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,20,5,0
2,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,25,6,0
2,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",NA,0,0,30,7,0
3,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.714285714285714,5,1,30,7,1
3,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.714285714285714,10,2,30,7,1
2,0.92,4,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.625,10,2,35,8,0
3,0.92,4,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.625,15,3,35,8,1
2,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.555555555555555,15,3,40,9,0
3,0.92,3,5,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.555555555555555,20,4,40,9,1
3,0.92,3,6,0,1,0,0.875342709466777,1.01482739028392,1.01482739028392,"satisfaction_level_vv_3",0.755555555555556,26,5,40,9,1
1,0.96,4,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.8,26,5,44,10,0
1,1,3,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.836363636363637,26,5,48,11,0
1,0.95,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.866666666666667,26,5,52,12,0
1,0.96,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.892307692307693,26,5,56,13,0
1,0.94,4,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.914285714285715,26,5,60,14,0
1,0.93,4,4,1,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.933333333333334,26,5,64,15,0
1,0.93,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.95,26,5,68,16,0
1,0.93,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.964705882352941,26,5,72,17,0
1,0.93,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.977777777777778,26,5,76,18,0
1,0.95,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",0.989473684210527,26,5,80,19,0
1,0.93,3,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1,26,5,84,20,0
1,0.95,4,4,1,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.00952380952381,26,5,88,21,0
1,0.96,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.01818181818182,26,5,92,22,0
1,0.97,4,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.02608695652174,26,5,96,23,0
1,0.93,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.03333333333333,26,5,100,24,0
1,0.93,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.04,26,5,104,25,0
1,0.95,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.04615384615385,26,5,108,26,0
1,0.97,5,4,0,1,0,0.875342709466777,1.01479720179306,1.01479720179306,"satisfaction_level_vv_3",1.05185185185185,26,5,112,27,0
