"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","Extraversion_vv_2","Extraversion_vv_3","Extraversion_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
166.0780287,1,1,30,0,0,1,1,0,4,0,1,0,0,1,0.167237391808804,0.0457237048926076,0.144857239128989,0.282526994295401,0.282526994295401,"Extraversion_vv_4",NA,1,1,0,0,1
79.01437372,1,1,29,0,1,1,1,0,4,0,1,0,0,1,0.170119680197008,0.0475955642564299,0.146415166357553,0.278942436267797,0.278942436267797,"Extraversion_vv_4",NA,2,2,0,0,1
12.02464066,1,1,30,0,0,1,0,0,3,0,0,1,0,0,0.164068080466234,0.0525659169013807,0.15654710959589,0.278237805638868,0.278237805638868,"Extraversion_vv_4",1,2,2,0,1,0
12.02464066,1,1,30,0,0,1,0,0,3,0,0,1,0,0,0.164068080466234,0.0525659169013807,0.15654710959589,0.278237805638868,0.278237805638868,"Extraversion_vv_4",1,2,2,0,2,0
50.72689938,1,0,28,0,0,1,1,0,1,0,1,0,0,0,0.174112685686642,0.038965774933353,0.136297804657127,0.276118466816377,0.276118466816377,"Extraversion_vv_4",1,2,2,0,3,0
34.56262834,1,1,31,0,0,1,1,0,1,0,0,1,0,0,0.158006492414587,0.0492701041329988,0.154847299114834,0.275473227812404,0.275473227812404,"Extraversion_vv_4",1,2,2,0,4,0
34.56262834,1,1,31,0,0,1,1,0,1,0,0,1,0,0,0.158006492414587,0.0492701041329988,0.154847299114834,0.275473227812404,0.275473227812404,"Extraversion_vv_4",1,2,2,0,5,0
140.2217659,0,1,27,0,0,1,1,0,4,1,0,1,0,1,0.171140079232929,0.0457583823544821,0.146786907851783,0.274914952965149,0.274914952965149,"Extraversion_vv_4",1,3,3,0,5,1
142.75154,0,1,27,0,0,1,1,0,4,1,0,1,0,1,0.171140079232929,0.0457583823544821,0.146786907851783,0.274914952965149,0.274914952965149,"Extraversion_vv_4",1,4,4,0,5,1
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0,0.166345388784648,0.0626858896716332,0.149214214693388,0.269708992430714,0.269708992430714,"Extraversion_vv_4",1,4,4,0,6,0
61.07597536,0,1,29,0,0,1,1,1,4,0,1,1,0,1,0.143583176409588,0.0101989455680589,0.12325675724669,0.267498722087307,0.267498722087307,"Extraversion_vv_4",1,5,5,0,6,1
164.5667351,0,0,27,0,0,0,1,0,4,0,0,1,0,1,0.172209718107569,0.061595259988899,0.145961742658222,0.267175448301222,0.267175448301222,"Extraversion_vv_4",1,6,6,0,6,1
1.478439425,1,1,28,0,0,1,1,1,2,0,1,1,0,0,0.145527704262307,0.00816846868530798,0.122502418256118,0.26484126121276,0.26484126121276,"Extraversion_vv_4",1,6,6,0,7,0
96,1,1,31,0,0,1,1,1,4,0,1,1,0,1,0.134983125653215,0.0138148644652406,0.125873921521186,0.264838570821459,0.264838570821459,"Extraversion_vv_4",1,7,7,0,7,1
26.15195072,1,1,31,0,0,1,1,1,3,0,1,1,0,0,0.134983125653215,0.0138148644652406,0.125873921521186,0.264838570821459,0.264838570821459,"Extraversion_vv_4",1,7,7,0,8,0
85.48665298,0,1,29,0,1,1,1,1,4,0,1,1,0,1,0.143583176409588,0.00936565168967477,0.123982805292505,0.263476368779519,0.263476368779519,"Extraversion_vv_4",1,8,8,0,8,1
1.80698152,1,1,27,0,0,1,1,1,4,0,1,1,0,0,0.15040173486209,0.00590137174215126,0.118480523833048,0.257954197144279,0.257954197144279,"Extraversion_vv_4",0.888888888888889,8,9,0,8,1
133.9137577,1,1,19,0,0,0,1,0,4,1,0,1,0,1,0.175778207519165,0.0611895663033463,0.136398450841143,0.257446557673601,0.257446557673601,"Extraversion_vv_4",0.9,9,10,0,8,1
133.8809035,1,1,19,0,0,0,1,0,4,1,0,1,0,1,0.175778207519165,0.0611895663033463,0.136398450841143,0.257446557673601,0.257446557673601,"Extraversion_vv_4",0.909090909090909,10,11,0,8,1
73.42915811,0,0,29,0,0,1,1,1,4,0,1,1,0,1,0.145493626808118,0.00740772985796328,0.112106247236725,0.2544760155187,0.2544760155187,"Extraversion_vv_4",0.916666666666667,11,12,0,8,1
25.23203285,1,0,30,0,0,0,1,1,4,0,1,1,0,0,0.140413398840137,0.0179000085836315,0.110092383942559,0.254102140083725,0.254102140083725,"Extraversion_vv_4",0.846153846153846,11,13,0,8,1
13.10882957,1,1,26,0,0,1,1,0,2,0,0,1,0,0,0.174676242497027,0.0464091388664029,0.153414940681403,0.253316417337151,0.253316417337151,"Extraversion_vv_4",0.846153846153846,11,13,0,9,0
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,0.190965032965178,0.0401121225207107,0.129816036060925,0.251637488642371,0.251637488642371,"Extraversion_vv_4",0.857142857142857,12,14,0,9,1
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,0.190965032965178,0.0401121225207107,0.129816036060925,0.251637488642371,0.251637488642371,"Extraversion_vv_4",0.866666666666667,13,15,0,9,1
26.02053388,1,1,25,0,0,1,1,0,4,1,0,1,0,0,0.176255646686166,0.0428484746940355,0.141253469418439,0.251155920344164,0.251155920344164,"Extraversion_vv_4",0.8125,13,16,0,9,1
21.35523614,1,1,31,0,0,0,0,0,1,0,0,1,1,0,0.160626155490014,0.0474012264374612,0.152188528004053,0.247775467795092,0.247775467795092,"Extraversion_vv_4",0.8125,13,16,0,10,0
131.613963,0,0,26,0,0,1,1,0,4,1,0,1,0,1,0.177251238630309,0.0408577441529762,0.131623346661256,0.245079656396029,0.245079656396029,"Extraversion_vv_4",0.823529411764706,14,17,0,10,1
133.9137577,1,1,19,0,0,0,1,0,2,0,0,1,1,1,0.175768998681028,0.072612155408728,0.143290102173024,0.243738499180494,0.243738499180494,"Extraversion_vv_4",0.732620320855615,14,17,1,11,0
133.8809035,1,1,19,0,0,0,1,0,2,0,0,1,1,1,0.175768998681028,0.072612155408728,0.143290102173024,0.243738499180494,0.243738499180494,"Extraversion_vv_4",0.656862745098039,14,17,2,12,0
79.54004107,0,1,23,0,0,1,1,0,4,0,1,0,0,1,0.189437793204985,0.0413750131236127,0.139791566694393,0.243305559611665,0.243305559611665,"Extraversion_vv_4",0.666666666666667,15,18,2,12,1
123.0718686,1,0,28,0,0,0,1,0,4,1,0,1,1,1,0.171094835424466,0.0570686964535696,0.126031374288709,0.242488324277931,0.242488324277931,"Extraversion_vv_4",0.675438596491228,16,19,2,12,1
12.22176591,1,1,27,0,0,1,1,0,4,0,0,1,1,0,0.173484475722369,0.0439377109133857,0.146380115692227,0.240292854890891,0.240292854890891,"Extraversion_vv_4",0.633333333333333,16,20,2,12,1
