"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","Extraversion_vv_2","Extraversion_vv_3","Extraversion_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
7.030800821,1,1,35,1,0,0,1,1,2,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,0,1,0,0,1
22.9650924,1,1,33,1,0,1,1,1,2,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,0,2,0,0,1
120.4435318,1,0,28,1,0,1,1,1,4,0,1,0,0,1,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,3,0,0,1
8.607802875,1,0,29,1,0,0,1,1,1,1,0,0,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,4,0,0,1
26.4476386,1,0,27,0,1,1,1,1,3,1,0,0,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,5,0,0,1
45.37166324,1,0,29,1,0,1,1,1,4,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,6,0,0,1
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,7,0,0,1
28.15605749,1,0,25,0,0,0,1,1,4,1,1,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,1,8,0,0,1
60.94455852,1,0,30.40033257,1,0,1,1,1,2,1,0,0,1,1,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,2,9,0,0,1
87.68788501,1,0,29,1,0,0,1,1,2,1,0,0,1,1,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,3,10,0,0,1
80.98562628,1,0,32,1,0,1,1,1,4,1,1,0,0,1,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,11,0,0,1
9.100616016,1,0,33,1,0,1,1,0,2,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,12,0,0,1
3.975359343,1,0,29,1,1,1,1,1,2,1,0,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,13,0,0,1
3.975359343,1,0,29,1,1,1,1,1,2,1,0,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,14,0,0,1
41.69199179,1,0,21,1,1,0,1,1,1,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,15,0,0,1
14.9486653,1,0,25,1,0,0,1,1,1,1,0,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,16,0,0,1
50.72689938,1,1,38,1,0,1,1,0,2,0,1,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,17,0,0,1
50.72689938,1,1,38,1,0,1,1,0,2,0,0,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,18,0,0,1
35.28542094,1,0,23,1,1,0,1,1,1,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,19,0,0,1
55.72073922,1,0,29,1,0,0,1,1,2,1,0,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,20,0,0,1
4.336755647,1,0,26,1,0,0,1,0,4,0,0,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,21,0,0,1
18.95687885,1,1,36,0,0,1,1,0,2,0,1,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,22,0,0,1
18.95687885,1,1,36,0,0,1,1,0,1,0,1,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,23,0,0,1
6.603696099,1,1,22,0,0,0,1,1,1,0,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,24,0,0,1
7.950718686,1,0,34,0,0,1,1,0,1,1,0,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,25,0,0,1
9.034907598,1,0,37,0,1,1,1,1,4,1,0,1,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,26,0,0,1
42.57905544,1,0,30,1,0,0,1,1,2,1,0,0,1,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,27,0,0,1
41.29774127,1,0,22,1,0,1,1,1,4,0,1,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,28,0,0,1
41.29774127,1,0,22,1,0,1,1,1,3,0,1,1,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,29,0,0,1
24.24640657,1,0,23,0,0,0,1,1,4,1,1,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,30,0,0,1
12.09034908,1,1,25,1,1,0,1,1,2,0,0,0,0,0,0.153020397293905,-0.0651989310700715,-0.0120200771629869,0.0944319494734267,0.153020397293905,"Grey_wage_vv_1",NA,4,31,0,0,1
