"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","Education_vv_2","Education_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
56,0,0,1,3,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",NA,0,1,0,0,1
49,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0,0,1,0,1,0
40,0,0,1,2,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0,0,1,0,2,0
38,0,0,1,3,1,1,1,4,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.5,1,2,0,2,1
57,0,0,1,3,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.666666666666667,2,3,0,2,1
38,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.666666666666667,2,3,0,3,0
40,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.666666666666667,2,3,0,4,0
50,0,0,1,3,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.5,2,4,0,4,1
54,0,0,1,2,1,0,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.5,2,4,0,5,0
39,0,0,1,1,1,1,1,4,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.5,2,4,0,6,0
38,0,0,1,2,0,1,0,3,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.357142857142857,2,4,1,7,0
50,0,0,1,2,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.25,2,4,2,8,0
48,0,0,1,3,0,1,1,4,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.35,3,5,2,8,1
51,0,0,1,1,1,1,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.377777777777778,3,5,2,9,0
40,0,0,1,3,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.444444444444444,4,6,2,9,1
48,0,0,1,3,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.492063492063492,5,7,2,9,1
48,0,0,1,3,1,1,0,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.527777777777778,6,8,2,9,1
41,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.55,6,8,2,10,0
51,0,0,1,2,1,1,1,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.477272727272727,6,8,3,11,0
52,0,0,1,2,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.5,6,8,3,12,0
43,0,0,1,3,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.527777777777778,7,9,3,12,1
42,0,0,1,2,0,0,0,3,0,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.47008547008547,7,9,4,13,0
44,0,0,1,2,0,0,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.492063492063492,7,9,4,14,0
53,0,0,1,2,0,0,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.511111111111111,7,9,4,15,0
57,0,0,1,2,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.527777777777778,7,9,4,16,0
53,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.542483660130719,7,9,4,17,0
42,0,0,1,2,1,0,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.555555555555556,7,9,4,18,0
47,0,0,1,3,1,1,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.477777777777778,7,10,4,18,1
47,0,0,1,1,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.489473684210526,7,10,4,19,0
57,0,0,1,2,0,1,0,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.45,7,10,5,20,0
40,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.461904761904762,7,10,5,21,0
51,0,0,1,2,1,1,1,4,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.472727272727273,7,10,5,22,0
57,0,0,1,2,1,1,1,4,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.482608695652174,7,10,5,23,0
46,0,0,1,2,1,1,1,2,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.45,7,10,6,24,0
45,0,0,1,2,0,0,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.46,7,10,6,25,0
44,0,0,1,3,0,1,0,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.487272727272727,8,11,6,25,1
38,0,0,1,2,1,0,1,4,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.496503496503497,8,11,6,26,0
42,0,0,1,3,0,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.519230769230769,9,12,6,26,1
38,0,0,1,3,0,0,1,3,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.538461538461539,10,13,6,26,1
53,0,0,1,3,0,1,0,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.554945054945055,11,14,6,26,1
51,0,0,1,2,0,1,1,3,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.526455026455027,11,14,7,27,0
57,0,0,1,2,0,1,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.535714285714286,11,14,7,28,0
42,0,0,1,3,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.55,12,15,7,28,1
44,0,0,1,2,1,0,0,3,0,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.558620689655172,12,15,7,29,0
41,0,0,1,3,0,1,0,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.571120689655172,13,16,7,29,1
42,0,0,1,2,0,1,0,3,0,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.579166666666667,13,16,7,30,0
57,0,0,1,2,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.586693548387097,13,16,7,31,0
39,0,0,1,2,0,0,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.59375,13,16,7,32,0
49,0,0,1,3,0,1,1,4,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.604779411764706,14,17,7,32,1
45,0,0,1,2,0,1,0,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.611408199643494,14,17,7,33,0
41,0,0,1,2,1,1,1,3,1,1,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.617647058823529,14,17,7,34,0
52,0,0,1,2,1,1,1,3,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.594957983193277,14,17,8,35,0
42,0,0,1,3,0,1,0,4,1,0,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.604761904761905,15,18,8,35,1
46,0,0,1,2,1,1,1,3,1,0,0,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.611111111111111,15,18,8,36,0
42,0,0,1,3,1,1,0,2,1,1,1,0.212966985230235,0.709608030592734,0.709608030592734,"Education_vv_3",0.619883040935672,16,19,8,36,1
