"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
75,1,0,0,2,0,1,0,2,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,0,1,0
72,0,0,0,2,1,1,1,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,0,2,0
72,1,0,0,1,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,0,3,0
73,0,0,1,1,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,0,4,0
72,1,0,0,1,1,0,0,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,1,5,0
74,0,0,0,1,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",NA,0,0,1,6,0
74,0,1,0,3,1,1,1,1,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.833333333333333,1,1,1,6,1
75,0,0,0,1,1,0,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.857142857142857,1,1,1,7,0
74,1,0,0,3,0,0,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.875,1,1,1,8,0
75,1,0,0,2,1,1,1,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.777777777777778,1,1,2,9,0
75,1,0,0,2,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.8,1,1,2,10,0
72,0,0,0,2,0,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.818181818181818,1,1,2,11,0
74,0,1,0,2,0,1,1,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.818181818181818,2,2,2,11,1
74,0,0,1,2,0,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.833333333333333,2,2,2,12,0
72,0,1,0,3,1,1,1,2,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.833333333333333,3,3,2,12,1
75,0,1,0,1,1,1,1,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.833333333333333,4,4,2,12,1
72,1,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.846153846153846,4,4,2,13,0
73,0,0,0,1,0,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.857142857142857,4,4,2,14,0
75,1,0,0,3,1,1,1,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.8,4,4,3,15,0
73,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.8125,4,4,3,16,0
74,1,0,0,2,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.823529411764706,4,4,3,17,0
73,0,1,0,2,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.623529411764706,4,5,3,17,1
72,0,1,0,2,1,1,1,2,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.656862745098039,5,6,3,17,1
73,1,0,0,1,1,1,1,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.666666666666667,5,6,3,18,0
72,1,0,0,2,0,1,0,1,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.675438596491228,5,6,3,19,0
75,0,0,0,1,0,0,0,1,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.683333333333333,5,6,3,20,0
73,0,0,0,1,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.69047619047619,5,6,3,21,0
73,1,0,0,2,1,1,1,3,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.696969696969697,5,6,3,22,0
74,0,1,0,2,1,1,1,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.720779220779221,6,7,3,22,1
74,1,0,0,1,1,0,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.726708074534161,6,7,3,23,0
73,0,0,0,1,1,1,1,3,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.732142857142857,6,7,3,24,0
73,0,0,1,1,1,1,1,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.737142857142857,6,7,3,25,0
73,0,1,0,2,1,1,1,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.755,7,8,3,25,1
73,1,0,0,2,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.759615384615385,7,8,3,26,0
74,0,0,1,3,0,1,0,2,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.726851851851852,7,8,4,27,0
75,0,0,1,2,0,1,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.732142857142857,7,8,4,28,0
74,1,0,0,1,0,0,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.737068965517241,7,8,4,29,0
72,0,0,1,1,0,1,0,1,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.741666666666667,7,8,4,30,0
75,1,0,0,1,1,0,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.745967741935484,7,8,4,31,0
75,0,1,0,2,1,1,1,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.648745519713262,7,9,4,31,1
72,1,0,0,3,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.652777777777778,7,9,4,32,0
74,0,0,0,1,1,0,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.656565656565657,7,9,4,33,0
74,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.660130718954248,7,9,4,34,0
75,1,0,0,1,0,0,0,3,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.663492063492063,7,9,4,35,0
73,0,1,0,2,1,0,1,3,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.585714285714286,7,10,4,35,1
72,1,0,0,3,0,1,1,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.561111111111111,7,10,5,36,0
74,0,1,0,3,0,1,1,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.588383838383838,8,11,5,36,1
74,1,0,0,3,1,1,1,4,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.565110565110565,8,11,6,37,0
73,1,0,0,2,1,0,1,3,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.569377990430622,8,11,6,38,0
73,1,0,0,2,0,1,1,4,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.547785547785548,8,11,7,39,0
73,1,0,0,2,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.552272727272727,8,11,7,40,0
72,1,0,0,1,0,1,0,4,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.556541019955654,8,11,7,41,0
72,0,0,0,2,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.560606060606061,8,11,7,42,0
74,0,0,0,1,1,0,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.564482029598309,8,11,7,43,0
75,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.568181818181818,8,11,7,44,0
75,0,1,0,2,0,1,0,3,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.590909090909091,9,12,7,44,1
72,0,0,1,2,1,1,1,3,1,1,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.594444444444444,9,12,7,45,0
75,1,0,0,2,0,1,0,1,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.576086956521739,9,12,8,46,0
73,0,1,0,3,1,1,1,4,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.595317725752508,10,13,8,46,1
75,1,0,0,2,1,1,1,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.577741407528642,10,13,9,47,0
75,0,1,0,2,0,0,1,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.594224924012158,11,14,9,47,1
72,0,0,0,2,1,1,1,4,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.598214285714286,11,14,9,48,0
74,1,0,0,3,0,1,0,1,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.581632653061224,11,14,10,49,0
73,1,0,0,2,1,1,1,4,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.565714285714286,11,14,11,50,0
74,0,1,0,3,1,1,1,1,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.58,12,15,11,50,1
72,0,0,0,2,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.584313725490196,12,15,11,51,0
74,0,1,0,3,0,1,1,1,0,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.596813725490196,13,16,11,51,1
72,0,0,0,2,1,1,1,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.600961538461538,13,16,11,52,0
72,0,1,0,3,0,1,1,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.611990950226244,14,17,11,52,1
73,0,0,0,2,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.615982241953385,14,17,11,53,0
75,0,0,0,1,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.619825708061002,14,17,11,54,0
74,0,0,1,1,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.623529411764706,14,17,11,55,0
74,1,0,0,2,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.627100840336134,14,17,11,56,0
72,1,0,0,2,0,1,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.630546955624355,14,17,11,57,0
73,0,0,0,3,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.633874239350913,14,17,11,58,0
75,0,0,0,2,0,1,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.637088733798604,14,17,11,59,0
74,1,0,0,2,0,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.640196078431372,14,17,11,60,0
75,0,0,0,1,0,1,1,4,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.643201542912247,14,17,11,61,0
74,1,0,0,2,0,1,0,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.629981024667932,14,17,12,62,0
72,1,0,0,2,0,1,0,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.633053221288515,14,17,12,63,0
75,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.636029411764706,14,17,12,64,0
72,0,0,0,2,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.638914027149321,14,17,12,65,0
74,0,0,1,2,0,0,1,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.626559714795009,14,17,13,66,0
75,0,1,0,2,1,1,1,3,1,1,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.636363636363636,15,18,13,66,1
72,1,0,0,2,0,0,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.639303482587065,15,18,13,67,0
72,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.642156862745098,15,18,13,68,0
72,0,1,0,2,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.598297213622291,15,19,13,68,1
72,1,0,0,3,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.601067887109077,15,19,13,69,0
72,1,0,0,2,0,1,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.603759398496241,15,19,13,70,0
72,0,1,0,1,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.564285714285714,15,20,13,70,1
75,0,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.566901408450704,15,20,13,71,0
72,0,0,0,2,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.569444444444444,15,20,13,72,0
73,1,0,0,3,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.571917808219178,15,20,13,73,0
73,1,0,0,2,1,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.574324324324324,15,20,13,74,0
74,0,1,0,1,1,1,1,2,0,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.538610038610039,15,21,13,74,1
72,0,0,0,2,1,1,1,1,1,1,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.540952380952381,15,21,13,75,0
73,1,0,0,2,0,1,0,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.530075187969925,15,21,14,76,0
74,0,0,0,1,1,1,1,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.532467532467533,15,21,14,77,0
72,0,1,0,3,0,1,1,3,1,1,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.5,15,22,14,77,1
72,0,1,0,1,1,1,1,2,1,0,1,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.513833992094862,16,23,14,77,1
73,1,0,0,1,0,0,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.516164994425864,16,23,14,78,0
75,1,0,0,2,0,1,1,3,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.518436984039626,16,23,14,79,0
74,1,0,0,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.520652173913043,16,23,14,80,0
72,0,1,0,1,1,1,1,4,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.491666666666667,16,24,14,80,1
73,1,0,0,2,0,1,0,2,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.493827160493827,16,24,14,81,0
75,0,0,1,2,0,1,0,1,1,0,0,0.472072072072072,0.472072072072072,"SelfEmp_vv_1",0.495934959349593,16,24,14,82,0
