"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
25,0,1,0,2,0,1,1,3,1,0,0,-0.0193637621023513,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",NA,0,0,0,1,0
38,0,1,0,2,1,1,1,3,1,0,1,-0.117161016949153,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",NA,0,0,1,2,0
37,0,1,0,2,1,0,1,4,0,1,1,-0.117161016949153,-0.101458922727021,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.5,1,1,1,2,1
19,0,0,0,2,0,1,1,2,0,0,0,0.0185738318398737,-0.0098584888500855,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.666666666666667,1,1,1,3,0
26,0,1,0,1,1,1,1,3,0,0,1,-0.0193637621023513,-0.0098584888500855,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.5,1,1,2,4,0
38,0,1,0,2,1,1,1,4,1,0,1,-0.117161016949153,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.5,2,2,2,4,1
44,0,1,0,3,1,1,1,3,1,0,1,0.169972557407482,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.4,2,2,3,5,0
43,0,1,0,3,1,1,1,3,1,0,1,0.169972557407482,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.333333333333333,2,2,4,6,0
26,0,1,0,2,1,1,1,3,1,0,1,-0.0193637621023513,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.285714285714286,2,2,5,7,0
31,0,1,0,3,0,1,1,3,1,0,0,-0.0193637621023513,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.375,2,2,5,8,0
42,0,1,0,3,1,1,1,4,1,1,1,0.169972557407482,0.263341381202399,0.475414112429894,0.475414112429894,"WorkHour_vv_4",0.375,3,3,5,8,1
