"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","Education_vv_2","Education_vv_3","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
26,0,0,1,2,0,1,0,1,1,0,0,0.246355601988302,0.120648967551622,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",NA,0,0,0,1,0
20,0,0,1,2,0,1,0,1,1,0,0,0.246355601988302,-0.117606495006454,0.742898965989785,0.0512820512820513,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",NA,0,0,0,2,0
45,0,0,1,3,0,1,0,3,1,0,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",1,1,1,0,2,1
47,0,0,1,2,0,0,0,3,1,0,0,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.166607848673066,0.448476052249637,0.742898965989785,"Education_vv_3",1,1,1,0,3,0
33,0,0,1,2,0,0,0,3,1,1,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,-0.101458922727021,0.448476052249637,0.742898965989785,"Education_vv_3",0.75,1,1,1,4,0
49,0,0,1,1,0,0,0,3,1,0,0,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.166607848673066,0.448476052249637,0.742898965989785,"Education_vv_3",0.8,1,1,1,5,0
18,0,0,1,1,0,1,0,1,1,0,0,0.246355601988302,-0.117606495006454,0.742898965989785,0.0512820512820513,-0.017687074829932,0.448476052249637,0.742898965989785,"Education_vv_3",0.833333333333333,1,1,1,6,0
19,0,0,1,2,0,1,0,3,1,0,0,0.246355601988302,-0.117606495006454,0.742898965989785,0.0512820512820513,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",0.857142857142857,1,1,1,7,0
46,0,0,1,2,1,1,0,3,1,1,0,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.0788946162657503,0.448476052249637,0.742898965989785,"Education_vv_3",0.875,1,1,1,8,0
54,0,0,1,2,0,0,0,3,1,0,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.166607848673066,0.448476052249637,0.742898965989785,"Education_vv_3",0.777777777777778,1,1,2,9,0
44,0,0,1,2,1,1,0,3,1,1,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.0788946162657503,0.448476052249637,0.742898965989785,"Education_vv_3",0.7,1,1,3,10,0
38,0,0,1,2,1,1,0,3,1,1,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.0788946162657503,0.448476052249637,0.742898965989785,"Education_vv_3",0.636363636363636,1,1,4,11,0
34,0,0,1,2,0,1,0,3,1,0,0,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",0.666666666666667,1,1,4,12,0
24,0,0,1,3,0,1,0,4,1,0,0,0.246355601988302,0.120648967551622,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",0.166666666666667,1,2,4,12,1
52,0,0,1,2,0,1,0,3,1,0,0,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",0.192307692307692,1,2,4,13,0
31,0,0,1,2,0,1,0,3,1,0,1,0.246355601988302,0.160484193677471,0.742898965989785,-0.177669417354339,0.130623773845201,0.448476052249637,0.742898965989785,"Education_vv_3",0.142857142857143,1,2,5,14,0
