"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.78,2,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",NA,0,0,2,1,0
1,0.67,1,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",NA,0,0,4,2,0
2,0.81,3,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",NA,0,0,6,3,0
2,0.45,1,2,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",NA,0,0,8,4,0
1,0.8,1,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",NA,0,0,10,5,0
2,0.85,4,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",0,2,1,10,5,1
2,0.97,3,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",0,2,1,12,6,0
1,0.78,2,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",0,2,1,14,7,0
1,0.67,1,2,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",0,2,1,16,8,0
1,0.46,3,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.111111111111111,2,1,19,9,0
2,0.45,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.2,2,1,22,10,0
1,0.53,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.272727272727273,2,1,25,11,0
1,0.49,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.333333333333333,2,1,28,12,0
1,0.5,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.384615384615385,2,1,31,13,0
2,0.57,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.428571428571428,2,1,34,14,0
1,0.46,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.466666666666667,2,1,37,15,0
1,0.55,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.5,2,1,40,16,0
1,0.54,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.529411764705882,2,1,43,17,0
1,0.54,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.555555555555555,2,1,46,18,0
2,0.45,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.578947368421053,2,1,49,19,0
1,0.51,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.6,2,1,52,20,0
1,0.52,3,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.619047619047619,2,1,55,21,0
1,0.46,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.636363636363636,2,1,58,22,0
1,0.45,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.652173913043478,2,1,61,23,0
1,0.57,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.666666666666667,2,1,64,24,0
1,0.47,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.68,2,1,67,25,0
1,0.46,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.692307692307693,2,1,70,26,0
1,0.52,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.703703703703704,2,1,73,27,0
1,0.55,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.714285714285714,2,1,76,28,0
1,0.5,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.724137931034483,2,1,79,29,0
1,0.5,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.733333333333333,2,1,82,30,0
2,0.46,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.741935483870968,2,1,85,31,0
1,0.46,3,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.75,2,1,88,32,0
1,0.53,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.757575757575758,2,1,91,33,0
1,0.56,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.764705882352941,2,1,94,34,0
1,0.48,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.771428571428571,2,1,97,35,0
1,0.49,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.777777777777778,2,1,100,36,0
1,0.54,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.783783783783784,2,1,103,37,0
2,0.48,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.789473684210526,2,1,106,38,0
1,0.54,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.794871794871795,2,1,109,39,0
2,0.55,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.8,2,1,112,40,0
1,0.56,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.804878048780488,2,1,115,41,0
2,0.46,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.809523809523809,2,1,118,42,0
1,0.57,3,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.813953488372093,2,1,121,43,0
2,0.51,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.818181818181818,2,1,124,44,0
1,0.47,1,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.822222222222222,2,1,127,45,0
1,0.52,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.826086956521739,2,1,130,46,0
1,0.49,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.829787234042553,2,1,133,47,0
1,0.54,2,3,1,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.833333333333333,2,1,136,48,0
1,0.54,3,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.836734693877551,2,1,139,49,0
1,0.51,1,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.84,2,1,142,50,0
1,0.47,2,3,0,1,0,0,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.843137254901961,2,1,145,51,0
1,0.57,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.846153846153846,2,1,148,52,0
2,0.51,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.849056603773585,2,1,151,53,0
2,0.57,2,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.851851851851852,2,1,154,54,0
2,0.83,3,3,0,1,0,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.65866429130095,"average_montly_hours_vv_4",-0.854545454545454,2,1,157,55,0
