"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.78,2,2,0,1,0,1.03796578392313,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,2,1,0
1,0.67,1,2,0,1,0,0.0170992679055959,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,4,2,0
2,0.81,3,2,0,1,0,1.03796578392313,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,6,3,0
2,0.45,1,2,0,1,0,-0.0193798449612403,1.72955204932898,0,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,8,4,0
1,0.8,1,2,0,1,0,1.03796578392313,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,10,5,0
2,0.85,4,2,0,1,0,1.03796578392313,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,12,6,0
2,0.97,3,2,0,1,0,1.00987000481464,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,14,7,0
1,0.78,2,2,0,1,0,1.03796578392313,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,16,8,0
1,0.67,1,2,0,1,0,0.0170992679055959,1.72955204932898,-0.0570164019786512,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,18,9,0
1,0.46,3,3,0,1,0,-0.0193798449612403,1.72955204932898,0,1.27652733118971,1.65866429130095,1.14671246897168,1.72955204932898,"satisfaction_level_vv_3",NA,0,0,21,10,0
