"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","Extraversion_vv_2","Extraversion_vv_3","Extraversion_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
16.39425051,1,0,28,1,0,1,1,0,1,0,0,0,0,0,0.285714285714286,-0.2,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,1,0
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0,-0.0256410256410256,0.5,0.583333333333333,1,1,"Extraversion_vv_4",NA,0,0,0,2,0
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0.189189189189189,0,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,3,0
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0.189189189189189,0,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,4,0
3.975359343,1,0,29,1,1,1,1,1,1,0,0,0,0,0,0.23728813559322,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,0,5,0
86.83367556,1,0,29,1,0,0,1,0,2,0,0,1,0,1,-0.69047619047619,0.5,0.583333333333333,1,1,"Extraversion_vv_4",NA,0,0,1,6,0
3.975359343,1,0,29,0,0,1,1,1,1,0,0,0,0,0,0,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,7,0
10.84188912,1,0,30.40033257,1,0,1,1,1,1,0,0,1,0,0,0,0.0539682539682539,0.708333333333333,1,1,"Extraversion_vv_4",NA,0,0,1,8,0
11.30184805,1,0,34,0,0,1,0,0,1,0,0,0,0,0,0.5,0.333333333333333,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,1,9,0
39.06365503,1,0,31,1,0,0,1,1,2,0,0,0,0,0,-0.69047619047619,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,10,0
8.31211499,1,0,29,0,0,0,1,1,1,0,0,0,0,0,-0.0256410256410256,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,11,0
73.65913758,1,0,30,1,1,0,1,1,4,0,0,1,0,1,0.23728813559322,0.0539682539682539,0.583333333333333,1,1,"Extraversion_vv_4",0.909090909090909,1,1,1,11,1
150.1437372,1,0,33,1,0,0,1,0,3,0,0,1,0,1,-0.69047619047619,0,0.708333333333333,1,1,"Extraversion_vv_4",0.833333333333333,1,1,2,12,0
29.01026694,1,0,28,0,0,1,1,1,1,0,0,0,0,0,0,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",0.846153846153846,1,1,2,13,0
155.1704312,1,0,33,1,0,0,1,0,3,0,0,1,0,1,-0.69047619047619,0,0.708333333333333,1,1,"Extraversion_vv_4",0.785714285714286,1,1,3,14,0
164.5667351,0,0,27,0,0,0,1,0,4,0,0,1,0,1,0.351351351351351,-0.2,0.583333333333333,1,1,"Extraversion_vv_4",0.785714285714286,2,2,3,14,1
