Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
22,0,1,0,2,0,1,0,3,0,1,1,3.6473533452689884,Education_vv_3,0,0.0,0.0,1.0,1.0,0.0
39,0,0,1,3,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,1,1.0,1.0,1.0,1.0,0.0
39,0,0,1,2,1,1,1,3,1,1,0,1.739492973397195,Education_vv_3,0,1.0,1.0,2.0,1.0,0.5
39,0,0,1,2,1,1,1,3,1,1,0,1.739492973397195,Education_vv_3,0,1.0,1.0,3.0,1.0,0.6666666666666667
39,0,0,1,3,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,1,2.0,2.0,3.0,1.0,0.6666666666666667
39,0,0,1,3,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,1,3.0,3.0,3.0,1.0,0.6666666666666667
39,0,0,1,2,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,0,3.0,3.0,4.0,2.0,0.5
39,0,0,1,2,1,1,1,4,1,1,1,1.739492973397195,Education_vv_3,0,3.0,3.0,5.0,3.0,0.4
39,0,0,1,3,1,1,1,4,1,1,1,1.739492973397195,Education_vv_3,1,4.0,4.0,5.0,3.0,0.4
39,0,0,1,2,1,1,1,3,1,1,0,1.739492973397195,Education_vv_3,0,4.0,4.0,6.0,3.0,0.5
39,0,0,1,3,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,1,5.0,5.0,6.0,3.0,0.5
39,0,0,1,2,1,1,1,4,1,1,0,1.739492973397195,Education_vv_3,0,5.0,5.0,7.0,3.0,0.5714285714285714
39,0,0,1,3,1,1,1,3,1,1,1,1.739492973397195,Education_vv_3,1,6.0,6.0,7.0,3.0,0.5714285714285714
63,0,0,1,3,0,0,0,3,0,0,0,1.71178684071609,Education_vv_3,1,7.0,6.0,7.0,3.0,0.42857142857142855
22,1,0,0,2,0,0,1,3,0,1,0,1.6590862218974611,Education_vv_3,0,7.0,6.0,8.0,3.0,0.4821428571428571
62,0,0,1,3,0,1,0,4,0,0,1,1.6485911868218348,Education_vv_3,1,8.0,7.0,8.0,3.0,0.5
62,0,0,1,3,0,1,0,2,0,0,1,1.6485911868218348,Education_vv_3,1,9.0,8.0,8.0,3.0,0.5138888888888888
38,0,0,1,3,1,1,1,3,0,1,1,1.5931868711310981,Education_vv_3,1,10.0,9.0,8.0,3.0,0.525
80,0,0,1,2,0,0,0,3,1,0,0,1.5773318214407255,Education_vv_3,0,10.0,9.0,9.0,3.0,0.5666666666666667
72,0,0,1,1,0,1,0,1,0,0,0,1.5537818368805827,Education_vv_3,0,10.0,9.0,10.0,3.0,0.6000000000000001
62,0,0,1,3,0,1,0,3,1,1,1,1.5472445808095106,Education_vv_3,1,11.0,10.0,10.0,3.0,0.6090909090909091
84,0,0,1,2,0,1,0,1,1,0,0,1.5078827329887696,Education_vv_3,0,11.0,10.0,11.0,3.0,0.6363636363636364
81,0,0,1,1,0,1,0,2,1,0,0,1.5078827329887696,Education_vv_3,0,11.0,10.0,12.0,3.0,0.6590909090909091
39,0,0,1,3,1,1,0,3,1,1,1,1.4990627681600959,Education_vv_3,1,12.0,11.0,12.0,3.0,0.6666666666666666
39,0,0,1,3,1,1,0,4,1,1,1,1.4990627681600959,Education_vv_3,1,13.0,12.0,12.0,3.0,0.6730769230769231
63,0,0,1,2,1,1,1,1,1,1,0,1.4969799374058237,Education_vv_3,0,13.0,12.0,13.0,3.0,0.6923076923076923
63,0,0,1,2,1,1,1,3,1,1,1,1.4969799374058237,Education_vv_3,0,13.0,12.0,14.0,4.0,0.6373626373626374
63,0,0,1,3,1,1,1,3,1,1,1,1.4969799374058237,Education_vv_3,1,14.0,13.0,14.0,4.0,0.6428571428571429
23,0,0,1,3,0,1,0,3,0,0,0,1.481133483716652,Education_vv_3,1,15.0,13.0,14.0,4.0,0.580952380952381
25,0,0,1,2,1,1,1,3,0,1,0,1.4691300544503887,Education_vv_3,0,15.0,13.0,15.0,4.0,0.6000000000000001
61,0,0,1,2,0,0,0,3,1,0,0,1.4415184826761316,Education_vv_3,0,15.0,13.0,16.0,4.0,0.6166666666666667
61,0,0,1,2,0,0,0,3,1,0,0,1.4415184826761316,Education_vv_3,0,15.0,13.0,17.0,4.0,0.6313725490196078
64,1,0,0,2,0,1,0,4,0,1,1,1.4239190546201785,Education_vv_3,0,15.0,13.0,18.0,5.0,0.5888888888888889
64,1,0,0,2,0,1,0,3,0,0,0,1.4137666167933056,Education_vv_3,0,15.0,13.0,19.0,5.0,0.6035087719298247
64,1,0,0,1,0,1,0,2,0,0,0,1.4137666167933056,Education_vv_3,0,15.0,13.0,20.0,5.0,0.6166666666666667
61,0,0,1,3,0,1,0,3,1,0,1,1.408838062821346,Education_vv_3,1,16.0,14.0,20.0,5.0,0.625
61,0,0,1,2,0,1,0,3,1,0,0,1.408838062821346,Education_vv_3,0,16.0,14.0,21.0,5.0,0.6369047619047619
61,0,0,1,2,0,1,0,3,1,0,1,1.408838062821346,Education_vv_3,0,16.0,14.0,22.0,6.0,0.6022727272727273
61,0,0,1,3,0,1,0,2,1,0,1,1.408838062821346,Education_vv_3,1,17.0,15.0,22.0,6.0,0.6096256684491979
61,0,0,1,3,0,1,0,4,1,0,1,1.408838062821346,Education_vv_3,1,18.0,16.0,22.0,6.0,0.6161616161616161
61,0,0,1,2,0,1,0,3,1,0,0,1.408838062821346,Education_vv_3,0,18.0,16.0,23.0,6.0,0.6280193236714975
