Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
75,0,0,0,1,0,0,0,1,0,0,0,1.3778535625216268,SelfEmp_vv_1,0,0.0,0.0,1.0,0.0,0.0
73,0,1,0,2,1,0,1,3,0,0,0,1.347799725626072,SelfEmp_vv_1,1,1.0,0.0,1.0,0.0,0.0
72,0,1,0,1,1,0,1,2,0,0,1,1.2787234546800748,SelfEmp_vv_1,1,2.0,1.0,1.0,0.0,0.5
61,0,1,0,3,0,1,1,3,1,1,1,1.2379643811572747,SelfEmp_vv_1,1,3.0,2.0,1.0,0.0,0.6666666666666666
61,0,0,0,3,0,1,1,1,1,1,0,1.2379643811572747,SelfEmp_vv_1,0,3.0,2.0,2.0,0.0,0.6666666666666666
65,0,1,0,2,0,1,0,4,1,1,1,1.2354291383134919,SelfEmp_vv_1,1,4.0,3.0,2.0,0.0,0.75
82,0,0,0,2,0,1,1,1,1,0,0,1.229705497500562,SelfEmp_vv_1,0,4.0,3.0,3.0,0.0,0.75
75,0,1,0,2,0,0,1,3,1,1,1,1.1916368287756942,SelfEmp_vv_1,1,5.0,4.0,3.0,0.0,0.8
58,0,1,0,1,0,0,1,3,0,0,1,1.1864187213938604,SelfEmp_vv_1,1,6.0,5.0,3.0,0.0,0.8333333333333334
77,0,1,0,1,0,1,1,2,0,1,0,1.1744551820186437,SelfEmp_vv_1,1,7.0,5.0,3.0,0.0,0.7142857142857143
77,0,0,0,3,1,1,1,1,1,1,0,1.1730224398106774,SelfEmp_vv_1,0,7.0,5.0,4.0,0.0,0.7142857142857143
77,0,1,0,3,1,1,1,3,1,1,0,1.1730224398106774,SelfEmp_vv_1,1,8.0,5.0,4.0,0.0,0.625
77,0,1,0,2,1,1,1,3,1,1,0,1.1730224398106774,SelfEmp_vv_1,1,9.0,5.0,4.0,0.0,0.5555555555555556
61,0,1,0,1,0,1,1,1,0,0,1,1.170822613321219,SelfEmp_vv_1,1,10.0,6.0,4.0,0.0,0.6
67,0,1,0,3,0,1,1,1,1,1,1,1.158234287091715,SelfEmp_vv_1,1,11.0,7.0,4.0,0.0,0.6363636363636364
75,1,0,0,1,0,0,0,3,0,0,0,1.1508877679427048,SelfEmp_vv_1,0,11.0,7.0,5.0,0.0,0.6363636363636364
63,0,1,0,3,1,0,1,3,0,1,1,1.1394919376573602,SelfEmp_vv_1,1,12.0,8.0,5.0,0.0,0.6666666666666666
48,0,1,0,2,1,0,1,3,0,0,1,1.1308639606534514,SelfEmp_vv_1,1,13.0,9.0,5.0,0.0,0.6923076923076923
48,0,1,0,3,1,0,1,4,0,0,1,1.1308639606534514,SelfEmp_vv_1,1,14.0,10.0,5.0,0.0,0.7142857142857143
67,0,1,0,3,1,1,1,4,0,1,1,1.1185095754382404,SelfEmp_vv_1,1,15.0,11.0,5.0,0.0,0.7333333333333333
67,0,0,0,3,1,1,1,2,0,1,0,1.1185095754382404,SelfEmp_vv_1,0,15.0,11.0,6.0,0.0,0.7333333333333333
38,0,1,0,3,1,0,1,4,1,1,1,1.1138834522362588,SelfEmp_vv_1,1,16.0,12.0,6.0,0.0,0.75
