Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
52,1,0,0,2,1,0,1,3,0,0,0,3.857334317606008,WorkHour_vv_4,0,0.0,0.0,1.0,0.0,0.0
51,0,0,1,3,0,0,0,3,1,1,1,3.4932189610510687,WorkHour_vv_3,1,1.0,1.0,1.0,0.0,1.0
52,1,0,0,2,0,0,0,3,0,1,0,3.3047358042822834,WorkHour_vv_4,0,1.0,1.0,2.0,0.0,1.0
51,1,0,0,3,0,0,1,3,1,1,1,2.574430457303611,WorkHour_vv_3,1,2.0,2.0,2.0,0.0,1.0
19,0,0,0,1,1,0,0,3,0,0,0,2.5744141233876077,WorkHour_vv_3,1,3.0,2.0,2.0,0.0,0.6666666666666666
69,1,0,0,3,1,1,1,2,0,0,0,2.4138149828331907,WorkHour_vv_4,0,3.0,2.0,3.0,0.0,0.6666666666666666
52,0,1,0,3,0,0,0,4,1,0,1,2.3619596192665546,WorkHour_vv_4,1,4.0,3.0,3.0,0.0,0.75
51,0,0,1,3,1,0,0,3,1,1,1,2.3564479113868444,WorkHour_vv_3,1,5.0,4.0,3.0,0.0,0.8
52,0,1,0,1,1,0,0,3,1,0,1,2.289919041701011,WorkHour_vv_4,0,5.0,4.0,4.0,1.0,0.55
59,0,0,0,2,1,0,1,3,0,0,0,2.2311807051029002,WorkHour_vv_4,0,5.0,4.0,5.0,1.0,0.6000000000000001
52,1,0,0,2,0,0,1,3,1,1,0,2.1811024635585685,WorkHour_vv_4,0,5.0,4.0,6.0,1.0,0.6333333333333334
52,1,0,0,2,0,0,0,3,1,0,1,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,7.0,2.0,0.5142857142857143
52,1,0,0,2,0,0,0,3,1,0,0,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,8.0,2.0,0.55
52,1,0,0,2,0,0,0,3,1,0,0,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,9.0,2.0,0.5777777777777778
52,1,0,0,1,0,0,0,1,1,0,0,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,10.0,2.0,0.6000000000000001
52,1,0,0,2,0,0,0,3,1,0,0,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,11.0,2.0,0.6181818181818182
52,1,0,0,1,0,0,0,3,1,0,0,2.070586257159242,WorkHour_vv_4,0,5.0,4.0,12.0,2.0,0.6333333333333334
69,1,0,0,2,0,1,0,1,0,0,0,2.0645564485669334,WorkHour_vv_4,0,5.0,4.0,13.0,2.0,0.6461538461538462
21,1,0,0,2,1,0,0,3,1,0,1,1.9438462528690212,WorkHour_vv_3,1,6.0,5.0,13.0,2.0,0.6794871794871795
59,1,0,0,2,0,0,1,3,0,0,0,1.9429869574059722,WorkHour_vv_4,0,6.0,5.0,14.0,2.0,0.6904761904761905
67,1,0,0,3,1,1,1,3,1,1,1,1.9070428280910723,WorkHour_vv_3,1,7.0,6.0,14.0,2.0,0.7142857142857142
67,1,0,0,3,1,1,1,3,1,1,1,1.9070428280910723,WorkHour_vv_3,1,8.0,7.0,14.0,2.0,0.7321428571428572
67,1,0,0,3,1,1,1,3,1,1,1,1.9070428280910723,WorkHour_vv_3,1,9.0,8.0,14.0,2.0,0.746031746031746
67,1,0,0,2,1,1,1,1,1,1,0,1.9070428280910723,WorkHour_vv_3,0,9.0,8.0,15.0,2.0,0.7555555555555555
50,1,0,0,3,0,0,0,2,0,0,1,1.8996018246830069,WorkHour_vv_4,0,9.0,8.0,16.0,3.0,0.7013888888888888
68,1,0,0,3,1,1,1,3,0,1,1,1.8900030130018137,WorkHour_vv_4,0,9.0,8.0,17.0,4.0,0.65359477124183
69,0,1,0,2,1,1,1,3,0,0,1,1.8878978412615157,WorkHour_vv_4,0,9.0,8.0,18.0,5.0,0.611111111111111
52,1,0,0,1,0,0,1,3,1,0,0,1.882169234986559,WorkHour_vv_4,0,9.0,8.0,19.0,5.0,0.6257309941520468
52,1,0,0,1,0,0,1,3,1,0,0,1.882169234986559,WorkHour_vv_4,0,9.0,8.0,20.0,5.0,0.6388888888888888
52,0,1,0,2,1,0,1,3,1,0,1,1.8073735686958234,WorkHour_vv_4,0,9.0,8.0,21.0,6.0,0.6031746031746031
52,0,1,0,2,1,0,1,3,1,0,1,1.8073735686958234,WorkHour_vv_4,0,9.0,8.0,22.0,7.0,0.5707070707070707
49,0,0,1,2,1,1,1,3,1,1,1,1.7613699182162526,WorkHour_vv_4,0,9.0,8.0,23.0,8.0,0.5410628019323671
49,0,0,1,2,1,1,1,3,1,1,0,1.7613699182162526,WorkHour_vv_4,0,9.0,8.0,24.0,8.0,0.5555555555555556
49,0,0,1,3,1,1,1,3,1,1,0,1.7613699182162526,WorkHour_vv_4,0,9.0,8.0,25.0,8.0,0.5688888888888888
49,0,0,1,3,1,1,1,4,1,1,1,1.7613699182162526,WorkHour_vv_4,1,10.0,9.0,25.0,8.0,0.5800000000000001
49,0,0,1,2,1,1,1,3,1,1,0,1.7613699182162526,WorkHour_vv_4,0,10.0,9.0,26.0,8.0,0.5923076923076923
49,0,0,1,3,1,1,1,3,1,1,1,1.7613699182162526,WorkHour_vv_4,0,10.0,9.0,27.0,9.0,0.5666666666666667
49,0,0,1,2,1,1,1,3,1,1,1,1.7613699182162526,WorkHour_vv_4,0,10.0,9.0,28.0,10.0,0.5428571428571429
49,0,0,1,3,1,1,1,3,1,1,1,1.7613699182162526,WorkHour_vv_4,0,10.0,9.0,29.0,11.0,0.5206896551724138
49,0,0,1,2,1,1,1,4,1,1,0,1.7613699182162526,WorkHour_vv_4,1,11.0,9.0,29.0,11.0,0.43887147335423204
49,0,0,1,2,1,1,1,3,1,1,0,1.7613699182162526,WorkHour_vv_4,0,11.0,9.0,30.0,11.0,0.4515151515151516
49,0,0,1,2,1,1,1,3,1,1,0,1.7613699182162526,WorkHour_vv_4,0,11.0,9.0,31.0,11.0,0.46334310850439886
52,1,0,0,3,1,0,1,3,1,1,1,1.744696908605034,WorkHour_vv_4,0,11.0,9.0,32.0,12.0,0.44318181818181823
49,1,0,0,3,0,0,0,4,1,1,1,1.69585629733954,WorkHour_vv_3,0,11.0,9.0,33.0,13.0,0.4242424242424243
52,1,0,0,2,0,1,1,2,0,0,0,1.6897360313851844,WorkHour_vv_4,0,11.0,9.0,34.0,13.0,0.43582887700534767
61,1,0,0,3,1,0,1,3,0,1,1,1.6452460953570682,WorkHour_vv_4,0,11.0,9.0,35.0,14.0,0.4181818181818182
52,1,0,0,1,0,1,0,3,0,0,0,1.6425149972041009,WorkHour_vv_4,0,11.0,9.0,36.0,14.0,0.42929292929292934
52,1,0,0,2,0,1,0,3,0,0,0,1.6425149972041009,WorkHour_vv_4,0,11.0,9.0,37.0,14.0,0.43980343980343983
52,1,0,0,1,0,1,0,2,0,0,0,1.6425149972041009,WorkHour_vv_4,0,11.0,9.0,38.0,14.0,0.4497607655502393
52,1,0,0,3,0,1,0,4,0,0,1,1.6425149972041009,WorkHour_vv_4,1,12.0,10.0,38.0,14.0,0.46491228070175444
51,0,1,0,3,1,0,0,3,0,0,1,1.6377302204999868,WorkHour_vv_4,0,12.0,10.0,39.0,15.0,0.44871794871794873
54,1,0,0,1,1,0,1,3,0,0,1,1.6336734916527507,WorkHour_vv_4,0,12.0,10.0,40.0,16.0,0.43333333333333335
54,1,0,0,2,1,0,1,3,0,0,0,1.6336734916527507,WorkHour_vv_4,0,12.0,10.0,41.0,16.0,0.44308943089430897
54,1,0,0,2,1,0,1,3,0,0,1,1.6336734916527507,WorkHour_vv_4,0,12.0,10.0,42.0,17.0,0.4285714285714286
54,1,0,0,3,1,0,1,3,0,0,1,1.6336734916527507,WorkHour_vv_4,0,12.0,10.0,43.0,18.0,0.41472868217054265
19,1,0,0,2,1,1,0,3,1,0,1,1.6242724797576416,WorkHour_vv_3,1,13.0,11.0,43.0,18.0,0.4275491949910554
19,1,0,0,2,1,1,0,1,1,0,0,1.6242724797576416,WorkHour_vv_3,0,13.0,11.0,44.0,18.0,0.43706293706293703
51,1,0,0,2,0,0,1,3,0,0,0,1.62135225147499,WorkHour_vv_4,0,13.0,11.0,45.0,18.0,0.4461538461538461
51,1,0,0,1,0,0,1,4,0,0,1,1.62135225147499,WorkHour_vv_4,1,14.0,12.0,45.0,18.0,0.4571428571428571
62,0,1,0,3,0,1,1,3,1,1,1,1.6017376333853734,WorkHour_vv_4,0,14.0,12.0,46.0,19.0,0.4440993788819875
52,0,0,1,3,1,0,0,3,1,1,1,1.5987461995365937,WorkHour_vv_4,0,14.0,12.0,47.0,20.0,0.43161094224924007
52,0,0,1,2,1,0,0,3,1,1,1,1.5987461995365937,WorkHour_vv_4,0,14.0,12.0,48.0,21.0,0.4196428571428571
61,1,0,0,3,0,1,1,3,1,1,0,1.569613830431768,WorkHour_vv_3,1,15.0,12.0,48.0,21.0,0.36250000000000004
61,1,0,0,2,0,1,1,3,1,1,1,1.569613830431768,WorkHour_vv_3,1,16.0,13.0,48.0,21.0,0.375
61,1,0,0,2,0,1,1,3,1,1,0,1.569613830431768,WorkHour_vv_3,1,17.0,13.0,48.0,21.0,0.3272058823529411
51,1,0,0,2,1,0,0,3,0,0,0,1.546080912102525,WorkHour_vv_4,0,17.0,13.0,49.0,21.0,0.3361344537815126
54,1,0,0,1,1,0,0,3,1,1,0,1.5442312702913321,WorkHour_vv_3,1,18.0,13.0,49.0,21.0,0.29365079365079366
59,1,0,0,3,1,0,1,3,0,0,1,1.5425128945905575,WorkHour_vv_4,0,18.0,13.0,50.0,22.0,0.2822222222222222
53,0,0,1,3,0,0,0,4,1,1,1,1.5418759920070373,WorkHour_vv_3,0,18.0,13.0,51.0,23.0,0.27124183006535946
72,1,0,0,2,1,1,1,3,0,1,0,1.5376780952105389,WorkHour_vv_4,0,18.0,13.0,52.0,23.0,0.2799145299145299
61,1,0,0,2,0,0,1,3,1,1,0,1.5263990899868087,WorkHour_vv_4,0,18.0,13.0,53.0,23.0,0.2882599580712788
60,1,0,0,1,0,0,1,3,0,0,1,1.5234405741179489,WorkHour_vv_4,0,18.0,13.0,54.0,24.0,0.2777777777777778
59,1,0,0,2,0,0,0,3,0,0,0,1.493886522342365,WorkHour_vv_4,0,18.0,13.0,55.0,24.0,0.28585858585858587
67,1,0,0,1,1,0,1,3,0,0,0,1.4595042887690994,WorkHour_vv_4,0,18.0,13.0,56.0,24.0,0.29365079365079366
28,0,0,1,2,0,1,0,3,0,0,0,1.4335350704599723,WorkHour_vv_4,0,18.0,13.0,57.0,24.0,0.30116959064327486
52,1,0,0,3,1,0,1,3,1,0,1,1.4284987722786717,WorkHour_vv_4,0,18.0,13.0,58.0,25.0,0.29118773946360155
52,1,0,0,2,1,0,1,4,1,0,0,1.4284987722786717,WorkHour_vv_4,1,19.0,13.0,58.0,25.0,0.25317604355716883
50,1,0,0,2,1,0,0,3,1,1,1,1.4246018035922074,WorkHour_vv_3,1,20.0,14.0,58.0,25.0,0.2689655172413793
49,0,0,1,3,1,0,0,3,1,1,1,1.4171484740833287,WorkHour_vv_4,0,20.0,14.0,59.0,26.0,0.25932203389830505
49,0,0,1,2,1,0,0,3,1,1,0,1.4171484740833287,WorkHour_vv_4,0,20.0,14.0,60.0,26.0,0.2666666666666666
51,0,1,0,3,1,0,1,4,0,1,1,1.409640762059085,WorkHour_vv_3,0,20.0,14.0,61.0,27.0,0.25737704918032783
49,0,0,1,2,1,1,1,3,1,0,0,1.3989607060742997,WorkHour_vv_4,0,20.0,14.0,62.0,27.0,0.264516129032258
49,0,0,1,2,1,1,1,3,1,0,1,1.3989607060742997,WorkHour_vv_4,0,20.0,14.0,63.0,28.0,0.25555555555555554
49,0,0,1,2,1,1,1,3,1,0,1,1.3989607060742997,WorkHour_vv_4,0,20.0,14.0,64.0,29.0,0.24687499999999996
49,0,0,1,2,1,1,1,3,1,0,0,1.3989607060742997,WorkHour_vv_4,0,20.0,14.0,65.0,29.0,0.2538461538461538
49,0,0,1,3,1,1,1,3,1,0,1,1.3989607060742997,WorkHour_vv_4,0,20.0,14.0,66.0,30.0,0.24545454545454543
50,1,0,0,3,1,0,1,2,0,0,1,1.3982963609310861,WorkHour_vv_4,0,20.0,14.0,67.0,31.0,0.23731343283582085
50,1,0,0,2,1,0,1,4,0,0,0,1.3982963609310861,WorkHour_vv_4,1,21.0,14.0,67.0,31.0,0.20398009950248752
32,1,0,0,2,1,0,0,3,1,0,0,1.392964507653432,WorkHour_vv_3,1,22.0,14.0,67.0,31.0,0.17367706919945725
18,1,0,0,2,1,1,0,3,1,0,1,1.392879389209959,WorkHour_vv_3,1,23.0,15.0,67.0,31.0,0.18948734587929916
50,1,0,0,1,1,1,1,3,0,0,1,1.3799794365783566,WorkHour_vv_3,1,24.0,16.0,67.0,31.0,0.20398009950248752
50,1,0,0,1,1,1,1,3,0,0,0,1.3799794365783566,WorkHour_vv_3,1,25.0,16.0,67.0,31.0,0.1773134328358209
50,1,0,0,2,1,1,1,3,0,0,1,1.3799794365783566,WorkHour_vv_3,1,26.0,17.0,67.0,31.0,0.19115958668197475
