Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
57,0,0,1,2,1,1,1,3,1,1,1,4.02592542534737,WorkHour_vv_4,0,0.0,0.0,1.0,1.0,0.0
57,0,0,1,2,1,1,1,3,1,1,0,4.02592542534737,WorkHour_vv_4,0,0.0,0.0,2.0,1.0,0.0
57,0,0,1,3,1,1,1,4,1,1,1,4.02592542534737,WorkHour_vv_4,1,1.0,1.0,2.0,1.0,0.5
57,0,0,1,3,1,1,1,4,1,1,1,4.02592542534737,WorkHour_vv_4,1,2.0,2.0,2.0,1.0,0.5
57,0,0,1,2,1,1,1,3,1,1,1,4.02592542534737,WorkHour_vv_4,0,2.0,2.0,3.0,2.0,0.33333333333333337
57,0,0,1,3,1,1,1,3,1,1,0,4.02592542534737,WorkHour_vv_4,0,2.0,2.0,4.0,2.0,0.5
57,0,0,1,3,0,1,0,4,1,1,1,3.6630498647256724,WorkHour_vv_4,1,3.0,3.0,4.0,2.0,0.5
57,0,0,1,3,0,1,1,4,1,1,1,3.407321512969611,WorkHour_vv_4,1,4.0,4.0,4.0,2.0,0.5
52,1,0,0,3,0,0,0,3,0,0,0,3.3970993720885754,WorkHour_vv_4,0,4.0,4.0,5.0,2.0,0.6
52,1,0,0,1,0,0,0,3,0,0,0,3.3970993720885754,WorkHour_vv_4,0,4.0,4.0,6.0,2.0,0.6666666666666667
52,0,0,0,3,0,0,0,3,0,0,0,3.384507564846552,WorkHour_vv_4,0,4.0,4.0,7.0,2.0,0.7142857142857143
49,0,0,1,2,1,1,1,3,1,1,0,3.3814428176879487,WorkHour_vv_4,0,4.0,4.0,8.0,2.0,0.75
49,0,0,1,2,1,1,1,4,1,1,0,3.3814428176879487,WorkHour_vv_4,1,5.0,4.0,8.0,2.0,0.55
49,0,0,1,2,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,5.0,4.0,9.0,3.0,0.46666666666666673
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,5.0,4.0,10.0,4.0,0.4
49,0,0,1,3,1,1,1,3,1,1,0,3.3814428176879487,WorkHour_vv_4,0,5.0,4.0,11.0,4.0,0.4363636363636364
49,0,0,1,3,1,1,1,3,1,1,0,3.3814428176879487,WorkHour_vv_4,0,5.0,4.0,12.0,4.0,0.46666666666666673
49,0,0,1,3,1,1,1,4,1,1,1,3.3814428176879487,WorkHour_vv_4,1,6.0,5.0,12.0,4.0,0.5
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,13.0,5.0,0.44871794871794873
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,14.0,6.0,0.4047619047619048
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,15.0,7.0,0.3666666666666667
49,0,0,1,3,1,1,1,3,1,1,0,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,16.0,7.0,0.39583333333333337
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,17.0,8.0,0.36274509803921573
49,0,0,1,3,1,1,1,3,1,1,1,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,18.0,9.0,0.33333333333333337
49,0,0,1,2,1,1,1,3,1,1,0,3.3814428176879487,WorkHour_vv_4,0,6.0,5.0,19.0,9.0,0.3596491228070176
52,1,0,0,1,0,0,1,3,0,0,1,3.3743303406764,WorkHour_vv_4,0,6.0,5.0,20.0,10.0,0.33333333333333337
49,0,0,1,3,1,1,0,4,1,1,1,3.2376057259844853,WorkHour_vv_4,1,7.0,6.0,20.0,10.0,0.3571428571428571
57,0,0,1,3,1,0,1,3,0,0,0,3.0852582105721393,WorkHour_vv_4,0,7.0,6.0,21.0,10.0,0.38095238095238093
52,1,0,0,2,0,0,0,3,0,1,0,3.0633775855652146,WorkHour_vv_4,0,7.0,6.0,22.0,10.0,0.40259740259740256
52,1,0,0,1,1,0,1,3,0,0,0,2.793309463939743,WorkHour_vv_4,0,7.0,6.0,23.0,10.0,0.42236024844720493
57,0,0,1,2,0,1,0,3,1,0,0,2.730114252724567,WorkHour_vv_4,0,7.0,6.0,24.0,10.0,0.4404761904761904
57,0,0,1,2,0,1,0,3,1,0,1,2.730114252724567,WorkHour_vv_4,0,7.0,6.0,25.0,11.0,0.4171428571428571
57,0,0,1,2,0,1,0,3,1,0,0,2.730114252724567,WorkHour_vv_4,0,7.0,6.0,26.0,11.0,0.434065934065934
57,0,0,1,2,0,1,0,3,1,0,1,2.730114252724567,WorkHour_vv_4,0,7.0,6.0,27.0,12.0,0.4126984126984127
57,0,0,1,2,0,1,0,4,1,0,1,2.730114252724567,WorkHour_vv_4,1,8.0,7.0,27.0,12.0,0.4305555555555556
57,0,0,1,2,0,1,1,3,1,0,0,2.7203906047529745,WorkHour_vv_4,0,8.0,7.0,28.0,12.0,0.44642857142857145
57,0,0,1,1,0,1,1,3,1,0,1,2.7203906047529745,WorkHour_vv_4,0,8.0,7.0,29.0,13.0,0.4267241379310345
57,0,0,1,1,0,1,1,3,1,0,0,2.7203906047529745,WorkHour_vv_4,0,8.0,7.0,30.0,13.0,0.44166666666666665
57,0,0,1,2,1,1,1,3,1,0,0,2.6996621845549433,WorkHour_vv_4,0,8.0,7.0,31.0,13.0,0.45564516129032256
57,0,0,1,2,1,1,1,4,1,0,0,2.6996621845549433,WorkHour_vv_4,1,9.0,7.0,31.0,13.0,0.35842293906810035
55,1,0,0,3,1,1,1,1,1,1,1,2.5835411421730674,WorkHour_vv_3,0,9.0,7.0,32.0,14.0,0.3402777777777778
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,10.0,8.0,32.0,14.0,0.36250000000000004
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,11.0,9.0,32.0,14.0,0.38068181818181823
55,1,0,0,3,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,12.0,10.0,32.0,14.0,0.39583333333333337
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,13.0,11.0,32.0,14.0,0.40865384615384615
55,1,0,0,2,1,1,1,4,1,1,0,2.5835411421730674,WorkHour_vv_3,0,13.0,11.0,33.0,14.0,0.4219114219114219
55,1,0,0,3,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,14.0,12.0,33.0,14.0,0.43290043290043284
55,1,0,0,2,1,1,1,4,1,1,0,2.5835411421730674,WorkHour_vv_3,0,14.0,12.0,34.0,14.0,0.4453781512605042
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,15.0,13.0,34.0,14.0,0.4549019607843138
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,16.0,14.0,34.0,14.0,0.4632352941176471
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,17.0,15.0,34.0,14.0,0.47058823529411764
55,1,0,0,3,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,17.0,15.0,35.0,15.0,0.453781512605042
55,1,0,0,3,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,17.0,15.0,36.0,16.0,0.43790849673202614
55,1,0,0,3,1,1,1,4,1,1,0,2.5835411421730674,WorkHour_vv_3,0,17.0,15.0,37.0,16.0,0.4499205087440381
55,1,0,0,3,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,17.0,15.0,38.0,17.0,0.434984520123839
55,1,0,0,2,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,18.0,16.0,38.0,17.0,0.44152046783625726
55,1,0,0,3,1,1,1,3,1,1,1,2.5835411421730674,WorkHour_vv_3,1,19.0,17.0,38.0,17.0,0.4473684210526316
55,1,0,0,3,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,19.0,17.0,39.0,18.0,0.4331983805668016
55,1,0,0,2,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,19.0,17.0,40.0,19.0,0.4197368421052632
55,1,0,0,3,1,1,1,2,1,1,0,2.5835411421730674,WorkHour_vv_3,0,19.0,17.0,41.0,19.0,0.4313222079589217
55,1,0,0,2,1,1,1,3,1,1,0,2.5835411421730674,WorkHour_vv_3,1,20.0,17.0,41.0,19.0,0.3865853658536585
55,1,0,0,3,1,1,1,4,1,1,1,2.5835411421730674,WorkHour_vv_3,0,20.0,17.0,42.0,20.0,0.3738095238095238
49,0,0,1,2,1,0,0,3,1,1,0,2.5790117082202233,WorkHour_vv_4,0,20.0,17.0,43.0,20.0,0.38488372093023254
49,0,0,1,3,1,0,0,3,1,1,1,2.5790117082202233,WorkHour_vv_4,0,20.0,17.0,44.0,21.0,0.3727272727272727
48,0,0,1,3,1,1,1,3,0,1,1,2.5181514573686767,WorkHour_vv_4,0,20.0,17.0,45.0,22.0,0.3611111111111111
59,0,0,1,3,1,1,0,2,1,1,1,2.484849904166676,Education_vv_2,0,20.0,17.0,46.0,23.0,0.35
57,0,0,1,3,1,0,1,3,1,1,1,2.460906974194884,WorkHour_vv_4,0,20.0,17.0,47.0,24.0,0.3393617021276596
57,0,0,1,3,1,0,1,3,1,1,1,2.460906974194884,WorkHour_vv_4,0,20.0,17.0,48.0,25.0,0.3291666666666666
51,1,0,0,1,0,0,0,3,0,0,0,2.4487970881515104,WorkHour_vv_4,0,20.0,17.0,49.0,25.0,0.3397959183673469
51,1,0,0,2,0,0,0,3,0,0,1,2.4487970881515104,WorkHour_vv_4,0,20.0,17.0,50.0,26.0,0.32999999999999996
55,1,0,0,2,1,0,1,3,1,1,0,2.4275859879445765,WorkHour_vv_3,1,21.0,17.0,50.0,26.0,0.2895238095238095
49,0,0,1,2,1,0,1,3,1,1,1,2.2895335885488155,WorkHour_vv_4,0,21.0,17.0,51.0,27.0,0.2801120448179272
49,0,0,1,3,1,0,1,3,1,1,0,2.2895335885488155,WorkHour_vv_4,0,21.0,17.0,52.0,27.0,0.29029304029304026
49,0,0,1,2,1,0,1,3,1,1,1,2.2895335885488155,WorkHour_vv_4,0,21.0,17.0,53.0,28.0,0.2812219227313567
60,0,0,1,3,0,1,0,4,1,1,1,2.266359652341903,Education_vv_2,0,21.0,17.0,54.0,29.0,0.27248677248677244
49,0,0,1,3,0,1,0,4,1,1,1,2.2590021911234754,WorkHour_vv_4,1,22.0,18.0,54.0,29.0,0.28114478114478114
49,0,0,1,3,0,1,0,3,1,1,1,2.2590021911234754,WorkHour_vv_4,0,22.0,18.0,55.0,30.0,0.2727272727272728
49,0,0,1,3,0,1,0,4,1,1,1,2.2590021911234754,WorkHour_vv_4,1,23.0,19.0,55.0,30.0,0.2806324110671937
22,0,0,1,2,1,1,1,3,1,0,0,2.0687615154346513,WorkHour_vv_3,1,24.0,19.0,55.0,30.0,0.24621212121212122
55,1,0,0,3,1,0,1,3,0,1,1,2.026007580356349,WorkHour_vv_4,0,24.0,19.0,56.0,31.0,0.23809523809523803
55,1,0,0,2,1,1,0,3,1,1,1,2.0219362128242078,WorkHour_vv_4,0,24.0,19.0,57.0,32.0,0.23026315789473684
55,1,0,0,2,1,1,0,3,1,1,1,2.0219362128242078,WorkHour_vv_4,0,24.0,19.0,58.0,33.0,0.2227011494252873
61,0,0,1,3,1,1,0,3,1,1,0,1.9941526473964921,Education_vv_3,1,25.0,19.0,58.0,33.0,0.19103448275862067
58,1,0,0,2,1,0,0,4,0,0,0,1.9823724617426777,WorkHour_vv_3,0,25.0,19.0,59.0,33.0,0.20067796610169497
55,1,0,0,2,1,0,1,3,0,0,0,1.9552597347979053,WorkHour_vv_4,0,25.0,19.0,60.0,33.0,0.20999999999999996
55,1,0,0,3,1,0,1,3,0,0,0,1.9552597347979053,WorkHour_vv_4,0,25.0,19.0,61.0,33.0,0.21901639344262291
49,0,0,1,2,1,1,1,3,1,0,1,1.9367927423707028,WorkHour_vv_4,0,25.0,19.0,62.0,34.0,0.2116129032258065
49,0,0,1,2,1,1,1,3,1,0,0,1.9367927423707028,WorkHour_vv_4,0,25.0,19.0,63.0,34.0,0.22031746031746036
49,0,0,1,3,1,1,1,4,1,0,1,1.9367927423707028,WorkHour_vv_4,1,26.0,20.0,63.0,34.0,0.22954822954822962
49,0,0,1,2,1,1,1,3,1,0,0,1.9367927423707028,WorkHour_vv_4,0,26.0,20.0,64.0,34.0,0.23798076923076927
49,0,0,1,2,1,1,1,3,1,0,1,1.9367927423707028,WorkHour_vv_4,0,26.0,20.0,65.0,35.0,0.23076923076923084
49,0,0,1,2,1,1,1,3,1,0,0,1.9367927423707028,WorkHour_vv_4,0,26.0,20.0,66.0,35.0,0.238927738927739
49,0,0,1,3,1,1,1,4,1,0,1,1.9367927423707028,WorkHour_vv_4,1,27.0,21.0,66.0,35.0,0.24747474747474751
49,0,0,1,2,1,1,1,3,1,0,0,1.9367927423707028,WorkHour_vv_4,0,27.0,21.0,67.0,35.0,0.2553897180762853
52,0,0,1,2,1,0,0,3,0,1,0,1.9345994644070212,WorkHour_vv_4,0,27.0,21.0,68.0,35.0,0.26307189542483667
65,1,0,0,2,0,0,1,3,0,0,1,1.9182425240664023,WorkHour_vv_4,0,27.0,21.0,69.0,36.0,0.2560386473429952
53,1,0,0,2,1,0,0,3,0,0,1,1.9170346878128697,WorkHour_vv_3,1,28.0,22.0,69.0,36.0,0.2639751552795031
53,1,0,0,3,1,0,0,3,0,0,0,1.9170346878128697,WorkHour_vv_3,1,29.0,22.0,69.0,36.0,0.23688155922038978
49,0,0,1,1,0,1,1,3,1,1,0,1.8969877688464065,WorkHour_vv_4,0,29.0,22.0,70.0,36.0,0.24433497536945814
55,1,0,0,2,0,1,1,3,1,1,1,1.8641830636343897,WorkHour_vv_3,1,30.0,23.0,70.0,36.0,0.2523809523809525
55,1,0,0,3,0,1,1,3,1,1,1,1.8641830636343897,WorkHour_vv_3,1,31.0,24.0,70.0,36.0,0.2599078341013825
55,1,0,0,2,0,1,1,4,1,1,1,1.8641830636343897,WorkHour_vv_3,0,31.0,24.0,71.0,37.0,0.2530667878237165
50,1,0,0,3,0,0,0,3,0,0,1,1.8343647904081,WorkHour_vv_4,0,31.0,24.0,72.0,38.0,0.24641577060931896
50,1,0,0,1,0,0,0,3,0,0,0,1.8343647904081,WorkHour_vv_4,0,31.0,24.0,73.0,38.0,0.25364560318161733
50,1,0,0,1,0,0,0,3,0,0,0,1.8343647904081,WorkHour_vv_4,0,31.0,24.0,74.0,38.0,0.26068003487358327
55,0,1,0,3,1,1,1,3,1,1,1,1.8267350582459043,WorkHour_vv_3,1,32.0,25.0,74.0,38.0,0.2677364864864865
55,0,1,0,3,1,1,1,3,1,1,1,1.8267350582459043,WorkHour_vv_3,1,33.0,26.0,74.0,38.0,0.27436527436527436
55,0,0,0,3,1,1,1,3,1,1,0,1.8267350582459043,WorkHour_vv_3,1,34.0,26.0,74.0,38.0,0.25119236883942764
55,0,1,0,3,1,1,1,4,1,1,1,1.8267350582459043,WorkHour_vv_3,0,34.0,26.0,75.0,39.0,0.2447058823529411
55,0,1,0,2,1,1,1,3,1,1,1,1.8267350582459043,WorkHour_vv_3,1,35.0,27.0,75.0,39.0,0.25142857142857145
55,0,1,0,3,1,1,1,4,1,1,1,1.8267350582459043,WorkHour_vv_3,0,35.0,27.0,76.0,40.0,0.24511278195488728
55,0,1,0,2,1,1,1,4,1,1,0,1.8267350582459043,WorkHour_vv_3,0,35.0,27.0,77.0,40.0,0.25194805194805203
55,0,1,0,3,1,1,1,4,1,1,1,1.8267350582459043,WorkHour_vv_3,0,35.0,27.0,78.0,41.0,0.2457875457875458
55,0,1,0,2,1,1,1,4,1,1,1,1.8267350582459043,WorkHour_vv_3,0,35.0,27.0,79.0,42.0,0.23978300180831835
56,1,0,0,1,1,0,1,3,0,0,0,1.8010805796676939,WorkHour_vv_4,0,35.0,27.0,80.0,42.0,0.24642857142857144
59,1,0,0,3,1,0,0,3,0,0,1,1.7937485267830848,WorkHour_vv_3,1,36.0,28.0,80.0,42.0,0.25277777777777777
51,0,0,1,2,0,0,0,3,1,1,1,1.7436882892256234,WorkHour_vv_3,1,37.0,29.0,80.0,42.0,0.25878378378378375
51,0,0,1,3,0,0,0,3,1,1,1,1.7436882892256234,WorkHour_vv_3,1,38.0,30.0,80.0,42.0,0.2644736842105263
51,1,0,0,1,0,0,0,3,1,0,0,1.7367260611251436,WorkHour_vv_4,0,38.0,30.0,81.0,42.0,0.27095516569200784
51,1,0,0,2,0,0,0,3,1,0,1,1.7367260611251436,WorkHour_vv_4,0,38.0,30.0,82.0,43.0,0.2650834403080873
51,1,0,0,2,0,0,0,3,1,0,1,1.7367260611251436,WorkHour_vv_4,0,38.0,30.0,83.0,44.0,0.25935320228281544
51,1,0,0,2,0,0,0,3,1,0,0,1.7367260611251436,WorkHour_vv_4,0,38.0,30.0,84.0,44.0,0.2656641604010025
51,1,0,0,2,0,0,0,3,1,0,1,1.7367260611251436,WorkHour_vv_4,0,38.0,30.0,85.0,45.0,0.26006191950464397
