satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,0.0,0.0,1.0,4.0,0.0
2,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,1.0,3.0,1.0,4.0,-1.0
2,0.9,5,6,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,2.0,10.0,-2.0
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,3.0,15.0,-2.0
1,0.9,4,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,4.0,19.0,-1.75
2,0.9,2,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,5.0,22.0,-1.4000000000000004
2,0.9,4,6,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,6.0,28.0,-1.666666666666667
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,7.0,33.0,-1.7142857142857144
1,0.9,4,2,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,8.0,35.0,-1.375
3,0.9,2,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,9.0,38.0,-1.2222222222222223
1,0.9,1,3,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,10.0,41.0,-1.0999999999999996
1,0.9,2,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,11.0,43.0,-0.9090909090909092
1,0.9,1,6,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,12.0,49.0,-1.083333333333333
1,0.9,5,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,13.0,52.0,-1.0
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,14.0,56.0,-1.0
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,15.0,60.0,-1.0
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,16.0,64.0,-1.0
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,17.0,68.0,-1.0
2,0.9,5,6,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,18.0,74.0,-1.1111111111111107
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,19.0,78.0,-1.1052631578947372
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,20.0,83.0,-1.1500000000000004
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,21.0,88.0,-1.1904761904761907
1,0.9,5,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,22.0,90.0,-1.0909090909090908
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,23.0,95.0,-1.1304347826086953
1,0.9,1,5,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,24.0,100.0,-1.166666666666667
1,0.9,4,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,1.0,3.0,25.0,102.0,-1.08
1,0.9,3,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,2.0,5.0,25.0,102.0,-1.58
1,0.9,4,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,26.0,104.0,-1.5
2,0.9,1,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,27.0,107.0,-1.4629629629629628
3,0.9,2,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,28.0,110.0,-1.4285714285714284
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,29.0,115.0,-1.4655172413793105
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,30.0,119.0,-1.4666666666666668
1,0.9,2,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,31.0,121.0,-1.403225806451613
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,32.0,126.0,-1.4375
2,0.9,2,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,2.0,5.0,33.0,129.0,-1.4090909090909092
1,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,3.0,8.0,33.0,129.0,-1.2424242424242427
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,34.0,134.0,-1.274509803921569
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,35.0,139.0,-1.304761904761905
2,0.9,5,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,36.0,144.0,-1.3333333333333335
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,37.0,149.0,-1.3603603603603607
2,0.9,4,5,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,38.0,154.0,-1.3859649122807016
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,39.0,158.0,-1.3846153846153846
1,0.9,5,6,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,40.0,164.0,-1.4333333333333331
1,0.9,2,7,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,3.0,8.0,41.0,171.0,-1.5040650406504068
1,0.9,3,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,4.0,12.0,41.0,171.0,-1.1707317073170733
2,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,5.0,15.0,41.0,171.0,-1.1707317073170733
2,0.9,4,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,42.0,173.0,-1.1190476190476186
1,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,43.0,176.0,-1.0930232558139537
3,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,44.0,179.0,-1.0681818181818183
2,0.9,4,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,45.0,181.0,-1.0222222222222221
3,0.9,1,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,46.0,185.0,-1.0217391304347823
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,47.0,189.0,-1.0212765957446805
3,0.9,5,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,48.0,191.0,-0.9791666666666665
1,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,49.0,194.0,-0.9591836734693877
3,0.9,5,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,50.0,196.0,-0.9199999999999999
1,0.9,1,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,51.0,198.0,-0.8823529411764706
2,0.9,2,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,52.0,200.0,-0.8461538461538463
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,53.0,204.0,-0.8490566037735849
3,0.9,5,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,54.0,208.0,-0.8518518518518516
3,0.9,2,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,55.0,212.0,-0.8545454545454545
3,0.9,5,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,5.0,15.0,56.0,215.0,-0.8392857142857144
2,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,6.0,18.0,56.0,215.0,-0.8392857142857144
1,0.9,5,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,6.0,18.0,57.0,219.0,-0.8421052631578947
3,0.9,3,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,7.0,22.0,57.0,219.0,-0.6992481203007519
2,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,8.0,25.0,57.0,219.0,-0.7171052631578947
2,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,8.0,25.0,58.0,222.0,-0.7025862068965516
1,0.9,1,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,8.0,25.0,59.0,225.0,-0.6885593220338984
1,0.9,5,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,8.0,25.0,60.0,228.0,-0.6749999999999998
3,0.9,3,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,9.0,27.0,60.0,228.0,-0.7999999999999998
1,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,9.0,27.0,61.0,231.0,-0.7868852459016393
2,0.9,2,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,9.0,27.0,62.0,233.0,-0.7580645161290325
3,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,10.0,30.0,62.0,233.0,-0.7580645161290325
1,0.9,1,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,10.0,30.0,63.0,236.0,-0.746031746031746
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,10.0,30.0,64.0,240.0,-0.75
1,0.9,3,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,1,11.0,33.0,64.0,240.0,-0.75
2,0.9,1,4,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,65.0,244.0,-0.7538461538461538
3,0.9,2,2,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,66.0,246.0,-0.7272727272727271
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,67.0,250.0,-0.7313432835820897
3,0.9,4,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,68.0,253.0,-0.7205882352941178
1,0.9,5,4,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,69.0,257.0,-0.7246376811594204
2,0.9,5,6,0,1,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,70.0,263.0,-0.7571428571428571
2,0.9,2,3,0,0,0,417878.8898012846,average_montly_hours_vv_3,0,11.0,33.0,71.0,266.0,-0.7464788732394365
