satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
1,0.83,5,5,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,0.0,0.0,1.0,5.0,0.0
3,0.83,4,5,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,0.0,0.0,2.0,10.0,0.0
1,0.83,3,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,1,1.0,4.0,2.0,10.0,-1.0
2,0.83,4,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,1.0,4.0,3.0,14.0,-0.666666666666667
2,0.83,3,6,0,1,1,9033.943283886136,average_montly_hours_vv_3,1,2.0,10.0,3.0,14.0,0.33333333333333304
1,0.83,5,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,4.0,18.0,0.5
1,0.83,5,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,5.0,22.0,0.5999999999999996
1,0.83,5,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,6.0,26.0,0.666666666666667
1,0.83,4,4,1,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,7.0,30.0,0.7142857142857144
1,0.83,5,5,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,8.0,35.0,0.625
3,0.83,5,5,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,2.0,10.0,9.0,40.0,0.5555555555555554
2,0.83,3,6,0,1,1,9033.943283886136,average_montly_hours_vv_3,1,3.0,16.0,9.0,40.0,0.8888888888888884
1,0.83,5,4,0,1,1,9033.943283886136,average_montly_hours_vv_3,0,3.0,16.0,10.0,44.0,0.9333333333333327
2,0.58,5,4,0,1,0,1180.2327096288222,average_montly_hours_vv_4,0,3.0,16.0,11.0,48.0,0.9696969696969697
1,0.58,3,5,0,1,1,1180.2327096288222,average_montly_hours_vv_4,0,3.0,16.0,12.0,53.0,0.9166666666666661
1,0.73,5,2,0,1,1,215.41770834583093,average_montly_hours_vv_3,0,3.0,16.0,13.0,55.0,1.1025641025641022
1,0.8,5,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,3.0,16.0,14.0,60.0,1.0476190476190474
1,0.77,4,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,3.0,16.0,15.0,65.0,1.0
3,0.82,3,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,1,4.0,21.0,15.0,65.0,0.916666666666667
1,0.81,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,4.0,21.0,16.0,69.0,0.9375
1,0.8,5,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,4.0,21.0,17.0,74.0,0.8970588235294121
2,0.81,3,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,1,5.0,26.0,17.0,74.0,0.8470588235294123
1,0.78,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,5.0,26.0,18.0,78.0,0.8666666666666671
1,0.78,5,4,1,1,1,209.66186539844747,average_montly_hours_vv_3,0,5.0,26.0,19.0,82.0,0.8842105263157896
1,0.8,5,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,5.0,26.0,20.0,87.0,0.8500000000000005
2,0.81,3,5,0,1,1,209.66186539844747,average_montly_hours_vv_3,1,6.0,31.0,20.0,87.0,0.8166666666666673
1,0.79,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,21.0,91.0,0.8333333333333339
1,0.77,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,22.0,95.0,0.8484848484848486
1,0.78,5,4,1,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,23.0,99.0,0.8623188405797109
1,0.82,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,24.0,103.0,0.875
1,0.78,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,25.0,107.0,0.8866666666666667
1,0.77,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,26.0,111.0,0.8974358974358978
1,0.79,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,27.0,115.0,0.9074074074074074
1,0.79,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,28.0,119.0,0.916666666666667
1,0.81,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,29.0,123.0,0.9252873563218396
1,0.79,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,30.0,127.0,0.9333333333333336
1,0.77,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,31.0,131.0,0.9408602150537639
1,0.8,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,32.0,135.0,0.947916666666667
1,0.82,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,33.0,139.0,0.954545454545455
1,0.79,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,34.0,143.0,0.9607843137254903
1,0.79,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,35.0,147.0,0.9666666666666668
1,0.77,4,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,36.0,151.0,0.9722222222222223
1,0.81,5,4,0,1,1,209.66186539844747,average_montly_hours_vv_3,0,6.0,31.0,37.0,155.0,0.9774774774774775
2,0.78,3,2,0,1,1,209.66186539844747,average_montly_hours_vv_3,1,7.0,33.0,37.0,155.0,0.5250965250965249
1,0.83,5,5,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,7.0,33.0,38.0,160.0,0.503759398496241
1,0.83,5,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,7.0,33.0,39.0,164.0,0.5091575091575091
2,0.83,5,5,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,7.0,33.0,40.0,169.0,0.48928571428571477
1,0.83,5,5,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,7.0,33.0,41.0,174.0,0.47038327526132395
2,0.83,3,5,0,1,0,189.9812269208125,average_montly_hours_vv_3,1,8.0,38.0,41.0,174.0,0.5060975609756095
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,42.0,178.0,0.5119047619047619
1,0.83,5,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,43.0,182.0,0.5174418604651159
3,0.83,4,6,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,44.0,188.0,0.4772727272727275
1,0.83,5,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,45.0,192.0,0.4833333333333334
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,46.0,196.0,0.4891304347826084
1,0.83,5,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,47.0,200.0,0.49468085106382986
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,48.0,204.0,0.5
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,49.0,208.0,0.5051020408163263
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,50.0,212.0,0.5099999999999998
1,0.83,4,4,0,1,0,189.9812269208125,average_montly_hours_vv_3,0,8.0,38.0,51.0,216.0,0.5147058823529411
