satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
2,0.83,5,5,1,1,1,156280.0955941036,average_montly_hours_vv_4,0,0.0,0.0,1.0,5.0,0.0
1,0.83,5,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,0.0,0.0,2.0,9.0,0.0
2,0.83,4,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,1,1.0,4.0,2.0,9.0,-0.5
1,0.83,3,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,1.0,4.0,3.0,13.0,-0.33333333333333304
3,0.83,5,5,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,1.0,4.0,4.0,18.0,-0.5
1,0.83,5,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,1.0,4.0,5.0,22.0,-0.40000000000000036
1,0.83,5,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,1.0,4.0,6.0,26.0,-0.33333333333333304
1,0.83,5,4,0,1,1,156280.0955941036,average_montly_hours_vv_4,0,1.0,4.0,7.0,30.0,-0.2857142857142856
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,8.0,34.0,-0.25
1,0.9,4,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,9.0,38.0,-0.22222222222222232
3,0.9,4,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,10.0,43.0,-0.2999999999999998
1,0.9,4,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,11.0,47.0,-0.2727272727272725
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,12.0,51.0,-0.25
3,0.9,5,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,13.0,56.0,-0.3076923076923075
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,14.0,60.0,-0.2857142857142856
1,0.9,4,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,1.0,4.0,15.0,64.0,-0.2666666666666666
2,0.9,3,6,0,1,0,11182.400927145232,average_montly_hours_vv_3,1,2.0,10.0,15.0,64.0,0.7333333333333334
1,0.9,4,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,16.0,68.0,0.75
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,17.0,72.0,0.7647058823529411
1,0.9,5,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,18.0,77.0,0.7222222222222223
3,0.9,4,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,19.0,82.0,0.6842105263157894
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,20.0,86.0,0.7000000000000002
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,21.0,90.0,0.7142857142857144
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,22.0,94.0,0.7272727272727275
3,0.9,4,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,23.0,99.0,0.6956521739130439
3,0.9,4,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,24.0,104.0,0.666666666666667
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,25.0,108.0,0.6799999999999997
3,0.9,4,5,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,26.0,113.0,0.6538461538461542
1,0.9,4,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,27.0,117.0,0.666666666666667
1,0.9,5,4,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,28.0,121.0,0.6785714285714288
3,0.9,4,6,0,1,0,11182.400927145232,average_montly_hours_vv_3,0,2.0,10.0,29.0,127.0,0.6206896551724137
1,0.61,5,5,0,1,1,6058.538666848285,average_montly_hours_vv_4,0,2.0,10.0,30.0,132.0,0.5999999999999996
1,0.89,5,5,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,31.0,137.0,0.580645161290323
1,0.89,5,4,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,32.0,141.0,0.59375
1,0.89,5,4,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,33.0,145.0,0.6060606060606064
2,0.89,5,6,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,34.0,151.0,0.5588235294117645
1,0.89,5,4,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,35.0,155.0,0.5714285714285712
2,0.89,3,5,0,1,1,4684.708978698674,average_montly_hours_vv_4,0,2.0,10.0,36.0,160.0,0.5555555555555554
1,0.89,4,5,0,1,1,4684.708978698674,average_montly_hours_vv_4,1,3.0,15.0,36.0,160.0,0.5555555555555554
1,0.48,1,3,0,1,0,3838.4622219083853,satisfaction_level_vv_3,0,3.0,15.0,37.0,163.0,0.5945945945945947
1,0.48,1,3,0,1,0,3838.4622219083853,satisfaction_level_vv_3,0,3.0,15.0,38.0,166.0,0.6315789473684212
1,0.48,3,3,0,1,0,3838.4622219083853,satisfaction_level_vv_3,0,3.0,15.0,39.0,169.0,0.666666666666667
1,0.48,1,3,0,1,0,3838.4622219083853,satisfaction_level_vv_3,0,3.0,15.0,40.0,172.0,0.7000000000000002
1,0.48,3,3,0,1,0,3838.4622219083853,satisfaction_level_vv_3,0,3.0,15.0,41.0,175.0,0.7317073170731705
