stag,event,Gender,Age,Profession,Is_coached,Head_gender,Grey_wage,Transportation,Extraversion,Independence,Selfcontrol,Anxiety,Novator,Long_emp_retention,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
13.897330599999998,1,0,27.0,1,0,1,1,0,1,0,1,0,0,0,9.700786395699987,Extraversion_vv_4,0,0.0,0.0,1.0,0.0,0.0
8.772073922,1,0,27.0,1,0,0,1,0,2,0,1,1,0,0,6.20780850674883,Extraversion_vv_4,0,0.0,0.0,2.0,0.0,0.0
1.80698152,1,1,27.0,0,0,1,1,1,4,0,1,1,0,0,4.8140614059003015,Extraversion_vv_4,1,1.0,0.0,2.0,0.0,0.0
14.98151951,1,0,33.0,1,0,1,1,0,4,0,1,1,0,0,4.515913756551807,Extraversion_vv_4,1,2.0,0.0,2.0,0.0,0.0
164.5667351,0,0,27.0,0,0,0,1,0,4,0,0,1,0,1,3.458537305286424,Extraversion_vv_4,1,3.0,1.0,2.0,0.0,0.3333333333333333
45.79876797,1,0,27.0,1,0,0,1,1,4,1,0,0,0,0,3.2692153885527,Extraversion_vv_4,1,4.0,1.0,2.0,0.0,0.25
86.6036961,1,0,33.0,1,0,1,1,1,4,1,1,0,0,1,3.259210927966445,Extraversion_vv_4,1,5.0,2.0,2.0,0.0,0.4
86.6036961,1,0,33.0,1,0,1,1,1,4,1,0,0,0,1,3.077142448211404,Extraversion_vv_4,1,6.0,3.0,2.0,0.0,0.5
20.59958932,1,0,26.0,1,0,1,1,0,4,0,1,1,0,0,2.4180198432380933,Extraversion_vv_4,1,7.0,3.0,2.0,0.0,0.42857142857142855
8.082135524,1,0,33.0,1,0,1,0,0,1,1,0,0,1,0,2.3524691058222484,Extraversion_vv_4,0,7.0,3.0,3.0,0.0,0.42857142857142855
50.72689938,1,0,28.0,0,0,1,1,0,1,0,1,0,0,0,2.278442394011662,Extraversion_vv_4,0,7.0,3.0,4.0,0.0,0.42857142857142855
12.81314168,1,1,33.0,0,0,1,0,0,1,0,1,0,0,0,2.2335099861254113,Extraversion_vv_4,0,7.0,3.0,5.0,0.0,0.42857142857142855
3.4825462010000003,1,0,37.0,1,1,0,1,1,2,1,0,1,0,0,2.177003993466855,Extraversion_vv_4,0,7.0,3.0,6.0,0.0,0.42857142857142855
36.23819302,1,0,32.0,1,0,1,1,0,4,1,1,0,0,0,2.041581728192359,Extraversion_vv_4,1,8.0,3.0,6.0,0.0,0.375
9.100616016,1,0,33.0,1,0,1,1,0,2,0,0,1,1,0,2.032521901031898,Extraversion_vv_4,0,8.0,3.0,7.0,0.0,0.375
13.40451745,1,0,30.40033257,1,0,0,1,1,2,1,0,1,0,0,2.0044089852724487,Extraversion_vv_4,0,8.0,3.0,8.0,0.0,0.375
13.14168378,1,1,42.0,0,0,0,0,1,4,1,0,1,0,0,2.000464666090543,Extraversion_vv_4,1,9.0,3.0,8.0,0.0,0.3333333333333333
52.96098563,1,0,36.0,1,0,1,1,0,4,0,1,0,0,0,1.8574543161621466,Extraversion_vv_4,1,10.0,3.0,8.0,0.0,0.3
38.86652977,1,0,32.0,1,0,1,1,0,3,0,1,0,1,0,1.7095632562352008,Extraversion_vv_4,0,10.0,3.0,9.0,0.0,0.3
19.18685832,1,0,22.0,0,1,1,0,1,1,0,0,0,0,0,1.6531320736826742,Extraversion_vv_4,0,10.0,3.0,10.0,0.0,0.3
6.143737166,1,0,31.0,1,0,1,0,0,3,0,1,1,1,0,1.4682973914892594,Extraversion_vv_4,0,10.0,3.0,11.0,0.0,0.3
22.57084189,1,0,30.0,1,0,1,0,1,1,0,0,0,0,0,1.424142941834468,Extraversion_vv_4,0,10.0,3.0,12.0,0.0,0.3
3.975359343,1,0,29.0,1,1,1,1,1,1,0,0,0,0,0,1.424142941834468,Extraversion_vv_4,0,10.0,3.0,13.0,0.0,0.3
110.02874740000001,0,0,25.0,1,0,1,1,0,2,0,1,1,1,1,1.4234797140724909,Extraversion_vv_4,0,10.0,3.0,14.0,1.0,0.22857142857142856
22.63655031,1,0,36.0,0,0,0,1,1,1,0,0,1,1,0,1.3101784029842225,Extraversion_vv_4,0,10.0,3.0,15.0,1.0,0.23333333333333334
4.369609856,1,0,30.0,1,0,1,1,1,2,0,1,0,0,0,1.2650100675495621,Extraversion_vv_4,0,10.0,3.0,16.0,1.0,0.2375
73.98767967,0,1,33.0,0,1,1,1,0,2,1,0,1,1,1,1.214766490873528,Extraversion_vv_4,0,10.0,3.0,17.0,2.0,0.18235294117647058
23.655030800000002,1,1,26.0,0,0,1,1,1,4,0,1,0,0,0,1.1943954304685183,Extraversion_vv_4,1,11.0,3.0,17.0,2.0,0.1550802139037433
