"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","Education_vv_2","Education_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
22,0,0,1,2,1,0,1,1,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,0,1,0
31,0,0,1,1,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,0,2,0
39,0,0,1,2,0,1,1,3,1,0,1,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,3,0
28,0,0,1,2,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,4,0
59,0,0,1,2,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,5,0
40,0,0,1,2,0,1,0,3,1,0,0,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,6,0
36,0,0,1,2,1,1,0,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,7,0
41,0,0,1,2,0,0,0,2,1,0,0,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,8,0
42,0,0,1,2,1,1,0,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,9,0
59,0,0,1,2,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",NA,0,0,1,10,0
45,0,0,1,3,0,1,0,3,1,0,1,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.9,1,1,1,10,1
42,0,0,1,1,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.909090909090909,1,1,1,11,0
36,0,0,1,2,0,0,1,3,1,0,1,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.833333333333333,1,1,2,12,0
26,0,0,1,3,0,1,1,3,1,0,1,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.833333333333333,2,2,2,12,1
31,0,0,1,2,0,1,0,3,1,0,0,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.846153846153846,2,2,2,13,0
43,0,0,1,3,0,1,1,3,1,0,1,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.846153846153846,3,3,2,13,1
18,0,0,1,1,0,1,0,1,1,0,0,0.0181286196911197,0.61759473403309,0.61759473403309,"Education_vv_3",0.857142857142857,3,3,2,14,0
54,0,0,1,2,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.866666666666667,3,3,2,15,0
23,0,0,1,2,0,1,1,4,1,0,0,0.0181286196911197,0.61759473403309,0.61759473403309,"Education_vv_3",0.875,3,3,2,16,0
43,0,0,1,2,1,1,1,3,0,0,1,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.823529411764706,3,3,3,17,0
62,0,0,1,3,0,1,0,3,1,0,1,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.823529411764706,4,4,3,17,1
63,0,0,1,1,1,1,1,4,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.833333333333333,4,4,3,18,0
23,0,0,1,3,0,1,0,4,1,0,1,0.0181286196911197,0.61759473403309,0.61759473403309,"Education_vv_3",0.833333333333333,5,5,3,18,1
37,0,0,1,3,0,1,1,3,1,0,0,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.666666666666667,5,6,3,18,1
59,0,0,1,2,0,1,0,3,0,0,1,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.62280701754386,5,6,4,19,0
24,0,0,1,1,0,0,1,3,1,0,0,0.0181286196911197,0.61759473403309,0.61759473403309,"Education_vv_3",0.633333333333333,5,6,4,20,0
49,0,0,1,3,0,0,0,3,1,0,1,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.657142857142857,6,7,4,20,1
61,0,0,1,2,1,1,1,3,1,0,0,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.666666666666667,6,7,4,21,0
52,0,0,1,2,0,1,0,3,1,0,0,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.675324675324675,6,7,4,22,0
38,0,0,1,2,0,1,1,1,1,0,0,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.683229813664596,6,7,4,23,0
45,0,0,1,3,1,1,1,3,1,0,1,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.701086956521739,7,8,4,23,1
61,0,0,1,2,0,1,0,3,1,0,0,0.163486851835419,0.61759473403309,0.61759473403309,"Education_vv_3",0.708333333333333,7,8,4,24,0
38,0,0,1,2,1,1,1,3,1,0,1,0.0752133656662363,0.61759473403309,0.61759473403309,"Education_vv_3",0.675,7,8,5,25,0
59,0,0,1,2,0,1,1,3,1,0,0,0.151821400022839,0.61759473403309,0.61759473403309,"Education_vv_3",0.682692307692308,7,8,5,26,0
