"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
35,1,0,0,2,1,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",NA,0,0,0,1,0
52,1,0,0,3,1,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",NA,0,0,0,2,0
38,1,0,0,3,1,1,1,4,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",NA,0,0,1,3,0
26,0,1,0,1,1,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.666666666666667,1,1,1,3,1
23,1,0,0,2,0,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.75,1,1,1,4,0
47,1,0,0,1,0,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.8,1,1,1,5,0
47,0,1,0,1,1,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.3,1,2,1,5,1
33,0,1,0,2,1,1,1,4,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.466666666666667,2,3,1,5,1
56,1,0,0,2,1,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.5,2,3,1,6,0
41,1,0,0,1,1,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.380952380952381,2,3,2,7,0
30,1,0,0,2,1,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.416666666666667,2,3,2,8,0
27,1,0,0,1,0,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.444444444444444,2,3,2,9,0
25,1,0,0,1,1,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.466666666666667,2,3,2,10,0
30,1,0,0,2,1,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.484848484848485,2,3,2,11,0
32,1,0,0,2,0,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.5,2,3,2,12,0
29,1,0,0,3,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.435897435897436,2,3,3,13,0
55,1,0,0,3,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.380952380952381,2,3,4,14,0
34,1,0,0,1,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.333333333333333,2,3,5,15,0
33,1,0,0,2,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.291666666666667,2,3,6,16,0
38,1,0,0,1,1,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.313725490196078,2,3,6,17,0
23,1,0,0,1,0,1,1,2,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.333333333333333,2,3,6,18,0
26,0,0,1,3,1,1,1,2,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.298245614035088,2,3,7,19,0
28,1,0,0,3,1,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.266666666666667,2,3,8,20,0
25,1,0,0,1,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.238095238095238,2,3,9,21,0
28,1,0,0,1,0,1,1,4,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.257575757575758,2,3,9,22,0
41,1,0,0,2,0,1,1,3,0,0,1,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.231884057971014,2,3,10,23,0
33,1,0,0,1,1,1,1,3,0,0,0,0.431349045103616,0.431349045103616,"SelfEmp_vv_1",0.25,2,3,10,24,0
