"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
57,0,0,1,3,1,0,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",NA,0,0,1,1,0
47,1,0,0,3,1,1,0,4,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,1,1,1,1,1
50,0,0,1,3,0,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,1,1,1
44,1,0,0,2,0,1,0,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,2,2,0
37,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,3,3,0
32,0,1,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,4,4,0
47,1,0,0,3,1,1,0,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,5,5,0
38,0,0,1,3,1,1,1,3,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,6,6,0
28,0,0,1,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,7,7,0
44,0,0,1,2,1,0,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0,2,2,8,8,0
37,0,0,1,2,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.111111111111111,2,2,8,9,0
35,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.1,2,2,9,10,0
36,1,0,0,3,1,0,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.181818181818182,2,2,9,11,0
37,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.166666666666667,2,2,10,12,0
41,1,0,0,3,1,1,1,4,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.166666666666667,3,3,10,12,1
38,0,0,1,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.166666666666667,4,4,10,12,1
40,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.153846153846154,4,4,11,13,0
40,1,0,0,2,1,1,1,4,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",-0.0461538461538461,4,5,11,13,1
37,0,1,0,2,1,0,1,4,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",-0.0128205128205128,5,6,11,13,1
61,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",-0.0238095238095237,5,6,12,14,0
44,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",-0.0333333333333333,5,6,13,15,0
31,1,0,0,2,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0208333333333334,5,6,13,16,0
35,1,0,0,2,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0686274509803922,5,6,13,17,0
34,1,0,0,3,1,0,1,3,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0555555555555556,5,6,14,18,0
43,1,0,0,2,1,1,0,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0793650793650793,6,7,14,18,1
33,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0676691729323308,6,7,15,19,0
62,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0571428571428571,6,7,16,20,0
34,0,0,1,3,1,1,1,3,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0476190476190476,6,7,17,21,0
25,1,0,0,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0654761904761905,7,8,17,21,1
44,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0568181818181818,7,8,18,22,0
60,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0489130434782609,7,8,19,23,0
40,1,0,0,2,1,0,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0833333333333334,7,8,19,24,0
60,1,0,0,2,0,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.075,7,8,20,25,0
38,0,1,0,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0888888888888888,8,9,20,25,1
67,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0811965811965811,8,9,21,26,0
47,1,0,0,2,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0923076923076923,9,10,21,26,1
52,0,1,0,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.101398601398601,10,11,21,26,1
52,1,0,0,1,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0942760942760943,10,11,22,27,0
33,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0876623376623377,10,11,23,28,0
49,1,0,0,3,1,1,1,2,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.0815047021943573,10,11,24,29,0
43,1,0,0,2,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.109090909090909,10,11,24,30,0
33,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.102639296187683,10,11,25,31,0
35,1,0,0,3,0,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.110215053763441,11,12,25,31,1
31,1,0,0,3,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.135416666666667,11,12,25,32,0
50,0,0,1,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.128787878787879,11,12,26,33,0
42,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.122549019607843,11,12,27,34,0
42,1,0,0,3,1,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.145238095238095,11,12,27,35,0
46,0,0,1,2,1,1,0,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.166666666666667,11,12,27,36,0
37,1,0,0,2,1,1,0,2,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.186936936936937,11,12,27,37,0
43,1,0,0,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.193347193347193,12,13,27,37,1
46,1,0,0,3,0,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.212550607287449,12,13,27,38,0
47,1,0,0,2,1,1,1,4,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.146616541353383,12,14,27,38,1
57,1,0,0,2,0,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.164835164835165,12,14,27,39,0
51,1,0,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.157142857142857,12,14,28,40,0
37,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.149825783972125,12,14,29,41,0
61,1,0,0,3,0,1,0,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.142857142857143,12,14,30,42,0
44,1,0,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.136212624584718,12,14,31,43,0
51,0,1,0,3,1,0,1,3,0,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.12987012987013,12,14,32,44,0
32,1,0,0,3,1,1,1,3,0,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.146031746031746,12,14,32,45,0
37,1,0,0,3,1,1,1,4,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.155555555555556,13,15,32,45,1
38,0,1,0,2,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.149275362318841,13,15,33,46,0
33,0,1,0,3,1,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.143262411347518,13,15,34,47,0
67,1,0,0,3,0,1,1,3,1,1,1,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.1375,13,15,35,48,0
45,0,0,1,2,0,1,1,3,1,1,0,0.0372633149892734,0.206730390335619,0.325411699126866,0.325411699126866,"WorkHour_vv_4",0.152380952380952,13,15,35,49,0
