"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","Education_vv_2","Education_vv_3","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
54,0,0,1,2,1,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",NA,0,0,0,1,0
62,0,0,1,2,1,1,1,3,1,0,0,0.314121708102238,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",NA,0,0,0,2,0
58,0,0,1,3,0,1,0,3,1,0,1,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",1,1,1,0,2,1
63,0,0,1,1,1,1,1,4,1,0,0,0.314121708102238,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",1,1,1,0,3,0
51,0,0,1,1,1,1,1,3,1,0,0,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",1,1,1,0,4,0
59,0,0,1,2,0,0,0,3,1,0,1,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.8,1,1,1,5,0
53,0,0,1,2,1,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.833333333333333,1,1,1,6,0
58,0,0,1,2,1,1,1,3,1,0,1,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.714285714285714,1,1,2,7,0
47,0,0,1,3,1,1,1,3,1,0,0,0.140286536368651,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.214285714285714,1,2,2,7,1
47,0,0,1,1,0,1,0,3,1,0,0,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.25,1,2,2,8,0
47,0,0,1,2,1,1,1,3,0,0,1,0.413600891861761,0.204042053689905,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.166666666666667,1,2,3,9,0
59,0,0,1,2,0,1,1,3,1,0,0,0.217007874015748,0.174229586393021,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.2,1,2,3,10,0
73,0,0,1,1,1,1,1,1,1,0,0,0.241335196986568,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.227272727272727,1,2,3,11,0
46,0,0,1,2,1,1,1,3,1,0,1,0.140286536368651,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.166666666666667,1,2,4,12,0
53,0,0,1,3,0,1,0,4,1,0,1,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.333333333333333,2,3,4,12,1
59,0,0,1,2,0,0,0,3,1,0,0,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.358974358974359,2,3,4,13,0
56,0,0,1,2,0,1,0,3,1,0,0,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.380952380952381,2,3,4,14,0
49,0,0,1,2,0,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.4,2,3,4,15,0
64,0,0,1,2,0,1,0,3,1,0,0,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.416666666666667,2,3,4,16,0
58,0,0,1,3,1,0,1,3,0,0,1,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.5,3,4,4,16,1
56,0,0,1,2,1,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.514705882352941,3,4,4,17,0
63,0,0,1,2,1,1,1,4,1,0,1,0.314121708102238,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.472222222222222,3,4,5,18,0
74,0,0,1,2,0,1,1,1,1,0,0,0.241335196986568,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.486842105263158,3,4,5,19,0
53,0,0,1,2,1,1,1,3,1,0,0,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.5,3,4,5,20,0
54,0,0,1,1,1,1,1,3,1,0,0,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.511904761904762,3,4,5,21,0
46,0,0,1,3,0,0,0,3,1,0,1,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.561904761904762,4,5,5,21,1
53,0,0,1,3,1,0,1,3,1,0,1,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.595238095238095,5,6,5,21,1
46,0,0,1,2,0,1,0,3,1,0,0,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.606060606060606,5,6,5,22,0
59,0,0,1,2,0,1,0,4,1,0,1,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.572463768115942,5,6,6,23,0
51,0,0,1,1,1,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.583333333333333,5,6,6,24,0
50,0,0,1,2,0,1,0,3,0,0,0,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.593333333333333,5,6,6,25,0
52,0,0,1,2,0,1,0,3,1,0,0,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.602564102564103,5,6,6,26,0
64,0,0,1,1,0,1,0,3,0,0,0,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.611111111111111,5,6,6,27,0
53,0,0,1,2,0,0,1,3,1,0,1,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.583333333333333,5,6,7,28,0
57,0,0,1,3,1,0,1,3,0,0,1,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.607142857142857,6,7,7,28,1
51,0,0,1,3,0,1,1,3,1,0,1,0.217007874015748,0.174229586393021,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.625,7,8,7,28,1
59,0,0,1,3,0,1,1,3,1,0,0,0.217007874015748,0.174229586393021,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.527777777777778,7,9,7,28,1
47,0,0,1,2,0,0,0,3,1,0,0,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.53639846743295,7,9,7,29,0
60,0,0,1,2,0,0,0,3,1,0,1,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.511111111111111,7,9,8,30,0
65,0,0,1,2,1,1,1,1,1,0,0,0.241335196986568,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.519713261648746,7,9,8,31,0
47,0,0,1,3,1,1,1,3,1,0,1,0.140286536368651,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.541935483870968,8,10,8,31,1
53,0,0,1,2,0,1,0,3,1,0,0,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.55,8,10,8,32,0
65,0,0,1,2,0,0,0,2,1,0,0,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.557575757575758,8,10,8,33,0
51,0,0,1,3,1,1,1,3,1,0,1,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.575757575757576,9,11,8,33,1
47,0,0,1,2,0,1,1,2,1,0,1,0.140286536368651,0.174229586393021,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.553475935828877,9,11,9,34,0
59,0,0,1,1,1,1,1,3,1,0,0,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.561038961038961,9,11,9,35,0
50,0,0,1,2,0,0,0,2,1,0,0,0.404129848213706,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.568181818181818,9,11,9,36,0
54,0,0,1,2,0,1,0,3,1,0,1,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.547911547911548,9,11,10,37,0
50,0,0,1,2,1,0,1,3,1,0,0,0.404129848213706,0.208888888888889,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.555023923444976,9,11,10,38,0
49,0,0,1,3,0,1,0,3,1,0,1,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.570175438596491,10,12,10,38,1
47,0,0,1,1,1,1,1,3,1,0,0,0.140286536368651,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.576923076923077,10,12,10,39,0
52,0,0,1,2,0,1,0,3,1,0,1,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.558333333333333,10,12,11,40,0
54,0,0,1,3,1,1,1,3,1,0,1,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.571153846153846,11,13,11,40,1
60,0,0,1,1,1,1,1,2,1,0,0,0.314121708102238,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.577861163227017,11,13,11,41,0
46,0,0,1,2,0,1,0,3,1,0,1,0.245977232135405,0.125066102591222,0.669642857142857,-0.0928094334955059,0.173970642785226,0.132078162886892,0.669642857142857,"Education_vv_3",0.56043956043956,11,13,12,42,0
69,0,0,1,2,1,1,1,3,1,0,0,0.241335196986568,0.108823529411765,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.567084078711986,11,13,12,43,0
58,0,0,1,3,1,1,1,4,1,0,1,0.217007874015748,0.150879123566381,0.669642857142857,-0.0928094334955059,0.0182201764480245,0.132078162886892,0.669642857142857,"Education_vv_3",0.578073089700997,12,14,12,43,1
56,0,0,1,3,0,1,0,3,1,0,1,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.587596899224806,13,15,12,43,1
62,0,0,1,3,1,1,0,3,1,0,0,0.261589857334538,0.125066102591222,0.669642857142857,-0.0928094334955059,0.0845487389947034,0.132078162886892,0.669642857142857,"Education_vv_3",0.533430232558139,13,16,12,43,1
50,0,0,1,2,0,1,1,3,1,0,0,0.217007874015748,0.174229586393021,0.669642857142857,-0.0928094334955059,0.0967502237500267,0.132078162886892,0.669642857142857,"Education_vv_3",0.539772727272727,13,16,12,44,0
