"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.64,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,2,1,0
1,0.67,1,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,4,2,0
1,0.64,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,6,3,0
1,0.67,1,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,8,4,0
1,0.67,1,2,0,1,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,10,5,0
1,0.6,3,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,12,6,0
2,0.6,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",NA,0,0,14,7,0
3,0.65,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,2,1,14,7,1
3,0.66,1,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,4,2,14,7,1
1,0.62,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,4,2,16,8,0
3,0.61,5,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,6,3,16,8,1
1,0.6,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,6,3,18,9,0
1,0.64,5,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,6,3,20,10,0
3,0.67,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,20,10,1
2,0.65,4,2,1,0,0,0.074168797953964,2.33333333333333,0,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,22,11,0
1,0.61,1,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,24,12,0
1,0.65,3,2,1,0,0,0.074168797953964,2.33333333333333,0,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,26,13,0
1,0.61,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,28,14,0
2,0.6,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,8,4,30,15,0
3,0.61,4,2,1,0,0,0.074168797953964,2.33333333333333,0,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,10,5,30,15,1
2,0.62,3,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,10,5,32,16,0
1,0.65,4,2,1,0,0,0.074168797953964,2.33333333333333,0,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,10,5,34,17,0
1,0.66,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,10,5,36,18,0
2,0.67,3,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,10,5,38,19,0
3,0.61,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,12,6,38,19,1
1,0.67,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,12,6,40,20,0
3,0.65,3,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,14,7,40,20,1
2,0.63,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,14,7,42,21,0
3,0.61,5,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,16,8,42,21,1
1,0.61,1,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,16,8,44,22,0
2,0.66,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,16,8,46,23,0
1,0.64,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,16,8,48,24,0
1,0.66,4,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,16,8,50,25,0
3,0.67,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,18,9,50,25,1
1,0.66,2,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,1.66666666666667,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,18,9,52,26,0
2,0.61,5,2,0,0,0,0.074168797953964,2.33333333333333,-0.0167703674897917,-0.9,-0.118840579710145,1.38454627133872,2.33333333333333,"satisfaction_level_vv_3",0,18,9,54,27,0
