"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.78,2,2,0,1,0,1.00275974025974,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",NA,0,0,2,1,0
3,0.68,4,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,2,1,1
1,0.56,3,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,4,2,0
1,0.67,1,2,0,1,0,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,6,3,0
1,0.87,3,2,0,1,1,0.794668179239932,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,8,4,0
2,0.81,3,2,0,1,0,1.00275974025974,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,10,5,0
2,0.47,2,2,0,1,1,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,12,6,0
1,0.73,5,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,14,7,0
1,0.8,5,2,0,1,1,0.794668179239932,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,16,8,0
2,0.45,1,2,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,18,9,0
1,0.8,1,2,0,1,0,1.00275974025974,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,20,10,0
2,0.85,4,2,0,1,0,1.00275974025974,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,22,11,0
2,0.86,4,2,0,1,1,0.794668179239932,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,24,12,0
1,0.47,3,2,0,1,1,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,2,1,26,13,0
3,0.68,4,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,4,2,26,13,1
1,0.78,2,2,0,1,0,1.00275974025974,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,4,2,28,14,0
2,0.71,5,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,4,2,30,15,0
1,0.56,3,2,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,4,2,32,16,0
1,0.67,1,2,0,1,0,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",0,4,2,34,17,0
1,0.46,3,3,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.0555555555555554,4,2,37,18,0
1,0.56,2,3,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.105263157894737,4,2,40,19,0
2,0.55,1,3,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.15,4,2,43,20,0
2,0.45,1,3,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.190476190476191,4,2,46,21,0
1,0.56,2,3,0,1,1,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.227272727272727,4,2,49,22,0
1,0.53,1,3,0,1,0,0.0910606060606058,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.260869565217391,4,2,52,23,0
1,0.49,1,3,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.291666666666667,4,2,55,24,0
1,0.5,1,3,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.32,4,2,58,25,0
2,0.57,1,3,0,1,0,0.0501347708894881,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.346153846153846,4,2,61,26,0
1,0.46,1,3,0,1,0,0.000844451950683833,1.70185982863452,1.70185982863452,"satisfaction_level_vv_3",-0.37037037037037,4,2,64,27,0
