"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_2","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
17,1,0,0,1,0,1,1,2,0,0,0,2.02517533302307,2.50828146934509,-1.67667806148529,-0.181672781705856,0.227840781211853,0.580916166305542,2.50828146934509,"Education_vv_3",NA,0,0,0,1,0,2.50828146934509
17,1,0,0,1,0,1,1,3,0,0,0,2.02517533302307,2.50828146934509,-1.67667806148529,-0.181672781705856,0.227840781211853,0.580916166305542,2.50828146934509,"Education_vv_3",NA,0,0,0,2,0,2.50828146934509
17,1,0,0,1,0,1,1,1,0,0,0,2.02517533302307,2.50828146934509,-1.67667806148529,-0.181672781705856,0.227840781211853,0.580916166305542,2.50828146934509,"Education_vv_3",NA,0,0,0,3,0,2.50828146934509
17,0,0,0,1,0,0,1,1,0,0,0,1.93937540054321,2.47127652168274,1.13996160030365,0.710193455219269,1.33628869056702,0.880525887012482,2.47127652168274,"Education_vv_3",NA,0,0,0,4,0,2.47127652168274
17,1,0,0,1,0,0,1,1,1,0,0,1.94598948955536,2.44572281837463,-3.23539876937866,-0.11284463852644,0.240945190191269,0.47877624630928,2.44572281837463,"Education_vv_3",NA,0,0,0,5,0,2.44572281837463
17,1,0,0,1,0,0,1,3,1,0,0,1.94598948955536,2.44572281837463,-3.23539876937866,-0.11284463852644,0.240945190191269,0.47877624630928,2.44572281837463,"Education_vv_3",NA,0,0,0,6,0,2.44572281837463
17,1,0,0,1,0,0,1,2,1,0,0,1.94598948955536,2.44572281837463,-3.23539876937866,-0.11284463852644,0.240945190191269,0.47877624630928,2.44572281837463,"Education_vv_3",NA,0,0,0,7,0,2.44572281837463
17,0,0,0,1,0,0,1,2,1,0,0,1.95507061481476,2.43513369560242,-0.310020506381989,0.218672186136246,1.03063344955444,0.870648145675659,2.43513369560242,"Education_vv_3",NA,0,0,0,8,0,2.43513369560242
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,0,9,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,0,10,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,0,11,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,0,12,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,1,13,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,2,14,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,15,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,16,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,17,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,18,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,19,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,20,0,2.42109894752502
17,1,0,0,1,0,1,1,3,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,3,21,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,4,22,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,4,23,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,5,24,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,5,25,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,5,26,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,6,27,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,6,28,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,6,29,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,30,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,31,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,32,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,33,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,34,0,2.42109894752502
17,1,0,0,2,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,35,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,7,36,0,2.42109894752502
17,1,0,0,1,0,1,1,3,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,8,37,0,2.42109894752502
17,1,0,0,1,0,1,1,2,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,8,38,0,2.42109894752502
17,1,0,0,1,0,1,1,3,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,9,39,0,2.42109894752502
17,1,0,0,2,0,1,1,1,1,0,1,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,10,40,0,2.42109894752502
17,1,0,0,1,0,1,1,1,1,0,0,1.97418832778931,2.42109894752502,-2.46551251411438,-0.0566071830689907,0.256627082824707,0.477030873298645,2.42109894752502,"Education_vv_3",NA,0,0,10,41,0,2.42109894752502
