"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_2","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
44,0,1,0,3,1,1,1,4,0,1,1,0.110605053603649,0.517176151275635,0.0853434875607491,0.390997469425201,0.532281100749969,2.14359855651855,2.14359855651855,"SelfEmp_vv_1",NA,1,1,0,0,1,2.14359855651855
44,0,1,0,3,1,1,1,4,0,1,1,0.110605053603649,0.517176151275635,0.0853434875607491,0.390997469425201,0.532281100749969,2.14359855651855,2.14359855651855,"SelfEmp_vv_1",NA,2,2,0,0,1,2.14359855651855
45,0,1,0,3,1,0,1,4,0,1,1,0.09095099568367,0.465206921100616,0.0803515166044235,0.359656482934952,0.503401041030884,2.14342737197876,2.14342737197876,"SelfEmp_vv_1",NA,3,3,0,0,1,2.14342737197876
45,0,1,0,3,1,0,1,3,0,1,1,0.09095099568367,0.465206921100616,0.0803515166044235,0.359656482934952,0.503401041030884,2.14342737197876,2.14342737197876,"SelfEmp_vv_1",NA,4,4,0,0,1,2.14342737197876
45,0,1,0,3,1,0,1,3,0,1,1,0.09095099568367,0.465206921100616,0.0803515166044235,0.359656482934952,0.503401041030884,2.14342737197876,2.14342737197876,"SelfEmp_vv_1",NA,5,5,0,0,1,2.14342737197876
40,0,1,0,3,1,1,1,3,0,1,1,0.18994177877903,0.579525709152222,0.0814205035567284,0.391602426767349,0.530373573303223,2.12852501869202,2.12852501869202,"SelfEmp_vv_1",NA,6,6,0,0,1,2.12852501869202
49,0,1,0,3,1,1,1,4,0,1,1,0.120996326208115,0.531202375888824,0.0898324176669121,0.392174333333969,0.556006133556366,2.10464978218079,2.10464978218079,"SelfEmp_vv_1",NA,7,7,0,0,1,2.10464978218079
41,0,1,0,2,1,1,1,4,0,1,1,0.194696620106697,0.580912709236145,0.0814205035567284,0.390265494585037,0.536296963691711,2.10144400596619,2.10144400596619,"SelfEmp_vv_1",NA,8,8,0,0,1,2.10144400596619
43,0,1,0,2,1,1,1,4,0,1,1,0.108037821948528,0.516951084136963,0.0861157774925232,0.390511959791183,0.533407211303711,2.09309530258179,2.09309530258179,"SelfEmp_vv_1",NA,9,9,0,0,1,2.09309530258179
50,0,1,0,3,1,1,1,3,0,1,1,0.0874991118907928,0.553047060966492,0.0793816521763802,0.390756815671921,0.543889105319977,2.05669283866882,2.05669283866882,"SelfEmp_vv_1",NA,10,10,0,0,1,2.05669283866882
