"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
17,0,0,1,1,0,0,0,3,1,0,0,1.90491557121277,2.32850480079651,2.66896176338196,2.56749892234802,0.481429845094681,2.66896176338196,"WorkHour_vv_3",NA,0,1,0,0,1,2.66896176338196
17,0,0,1,1,0,0,0,3,1,0,0,1.90491557121277,2.32850480079651,2.66896176338196,2.56749892234802,0.481429845094681,2.66896176338196,"WorkHour_vv_3",NA,0,2,0,0,1,2.66896176338196
74,0,0,1,1,0,1,0,2,1,0,0,-0.294218212366104,0.536204040050507,1.45543527603149,2.57717561721802,0.544140160083771,2.57717561721802,"WorkHour_vv_4",0,0,2,0,1,0,2.57717561721802
75,0,0,1,2,0,1,0,2,1,0,0,-0.122649118304253,0.526589035987854,1.4154314994812,2.48840308189392,0.553232550621033,2.48840308189392,"WorkHour_vv_4",0,0,2,0,2,0,2.48840308189392
76,0,0,1,2,0,1,0,3,1,0,0,-0.0922501161694527,0.620555520057678,1.31091928482056,2.44827723503113,0.538958251476288,2.44827723503113,"WorkHour_vv_4",0,0,2,0,3,0,2.44827723503113
84,0,0,0,1,0,1,1,1,1,0,0,0.906812250614166,1.12649965286255,1.75001502037048,2.29712820053101,1.49634230136871,2.29712820053101,"WorkHour_vv_4",0,0,2,0,4,0,2.29712820053101
73,0,0,1,2,0,1,0,2,1,1,0,0.0448077507317066,0.53714656829834,0.512385427951813,2.27050375938416,-0.451733022928238,2.27050375938416,"WorkHour_vv_4",0,0,2,0,5,0,2.27050375938416
72,0,0,1,2,0,1,0,1,1,0,0,-0.0972599983215332,0.508005797863007,1.02704071998596,2.24921059608459,0.218715339899063,2.24921059608459,"WorkHour_vv_4",0,0,2,0,6,0,2.24921059608459
18,0,0,1,1,0,1,0,1,1,0,0,-0.0198023989796638,0.621556341648102,1.93076467514038,2.23352956771851,0.425053954124451,2.23352956771851,"WorkHour_vv_4",0,0,2,0,7,0,2.23352956771851
18,0,0,1,1,0,1,0,2,1,0,0,-0.0198023989796638,0.621556341648102,1.93076467514038,2.23352956771851,0.425053954124451,2.23352956771851,"WorkHour_vv_4",0,0,2,0,8,0,2.23352956771851
18,0,0,1,2,0,1,0,3,1,0,0,-0.0198023989796638,0.621556341648102,1.93076467514038,2.23352956771851,0.425053954124451,2.23352956771851,"WorkHour_vv_4",0,0,2,0,9,0,2.23352956771851
18,0,0,1,2,0,1,0,3,1,0,0,-0.0198023989796638,0.621556341648102,1.93076467514038,2.23352956771851,0.425053954124451,2.23352956771851,"WorkHour_vv_4",0,0,2,0,10,0,2.23352956771851
19,0,0,1,2,0,1,0,3,1,0,0,-0.112164087593555,0.565285563468933,1.51735830307007,2.1896767616272,0.459708362817764,2.1896767616272,"WorkHour_vv_4",0,0,2,0,11,0,2.1896767616272
19,0,0,1,2,0,1,0,3,1,0,0,-0.112164087593555,0.565285563468933,1.51735830307007,2.1896767616272,0.459708362817764,2.1896767616272,"WorkHour_vv_4",0,0,2,0,12,0,2.1896767616272
19,0,0,1,2,0,1,0,1,1,0,0,-0.112164087593555,0.565285563468933,1.51735830307007,2.1896767616272,0.459708362817764,2.1896767616272,"WorkHour_vv_4",0,0,2,0,13,0,2.1896767616272
19,0,0,1,2,0,1,0,1,1,0,0,-0.112164087593555,0.565285563468933,1.51735830307007,2.1896767616272,0.459708362817764,2.1896767616272,"WorkHour_vv_4",0,0,2,0,14,0,2.1896767616272
19,0,0,1,2,0,1,0,3,1,0,0,-0.112164087593555,0.565285563468933,1.51735830307007,2.1896767616272,0.459708362817764,2.1896767616272,"WorkHour_vv_4",0,0,2,0,15,0,2.1896767616272
88,0,1,0,1,0,1,1,1,1,0,0,0.510526359081268,1.1114307641983,1.30675005912781,2.18261027336121,1.53349947929382,2.18261027336121,"WorkHour_vv_4",0,0,2,0,16,0,2.18261027336121
20,0,0,1,2,0,1,0,1,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",0,0,2,0,17,0,2.17402291297913
20,0,0,1,2,0,1,0,2,1,0,1,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0555555555555556,0,2,1,18,0,2.17402291297913
20,0,0,1,2,0,1,0,1,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0526315789473684,0,2,1,19,0,2.17402291297913
20,0,0,1,2,0,1,0,3,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.05,0,2,1,20,0,2.17402291297913
20,0,0,1,2,0,1,0,3,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0476190476190476,0,2,1,21,0,2.17402291297913
20,0,0,1,2,0,1,0,3,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0454545454545455,0,2,1,22,0,2.17402291297913
20,0,0,1,2,0,1,0,3,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0434782608695652,0,2,1,23,0,2.17402291297913
20,0,0,1,2,0,1,0,2,1,0,0,-0.16542711853981,0.561578869819641,1.40654313564301,2.17402291297913,0.460398644208908,2.17402291297913,"WorkHour_vv_4",-0.0416666666666667,0,2,1,24,0,2.17402291297913
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.08,0,2,2,25,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.0769230769230769,0,2,2,26,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.0740740740740741,0,2,2,27,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.107142857142857,0,2,3,28,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.137931034482759,0,2,4,29,0,2.17080497741699
17,1,0,0,2,0,1,0,2,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.166666666666667,0,2,5,30,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.193548387096774,0,2,6,31,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.1875,0,2,6,32,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.181818181818182,0,2,6,33,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.176470588235294,0,2,6,34,0,2.17080497741699
17,1,0,0,1,0,1,0,3,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.2,0,2,7,35,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.194444444444444,0,2,7,36,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.189189189189189,0,2,7,37,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.210526315789474,0,2,8,38,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.205128205128205,0,2,8,39,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.225,0,2,9,40,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.24390243902439,0,2,10,41,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.261904761904762,0,2,11,42,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.27906976744186,0,2,12,43,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.272727272727273,0,2,12,44,0,2.17080497741699
17,1,0,0,1,0,1,0,1,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.288888888888889,0,2,13,45,0,2.17080497741699
17,1,0,0,1,0,1,0,3,1,0,0,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.282608695652174,0,2,13,46,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.297872340425532,0,2,14,47,0,2.17080497741699
17,1,0,0,1,0,1,0,2,1,0,1,2.05203795433044,2.27109026908875,1.99084854125977,2.17080497741699,0.296297878026962,2.17080497741699,"WorkHour_vv_4",-0.3125,0,2,15,48,0,2.17080497741699
