"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
79,0,0,0,2,0,0,0,3,1,0,0,0.619347870349884,0.792168319225311,2.6144917011261,3.07418990135193,0.78560197353363,3.07418990135193,"WorkHour_vv_4",NA,0,0,0,1,0,3.07418990135193
76,1,0,0,3,1,1,1,4,1,1,0,0.433297753334045,0.657794058322906,2.77942180633545,3.05231666564941,-0.0234492998570204,3.05231666564941,"WorkHour_vv_4",0,0,1,0,1,1,3.05231666564941
80,1,0,0,2,0,0,1,1,1,0,0,1.06250405311584,1.31981325149536,1.87308990955353,2.41849660873413,0.358552843332291,2.41849660873413,"WorkHour_vv_4",0,0,1,0,2,0,2.41849660873413
75,1,0,0,2,0,1,1,3,1,0,0,0.322632104158401,0.582219541072845,2.38751816749573,1.9118310213089,0.505545318126678,2.38751816749573,"WorkHour_vv_3",0,0,2,0,2,1,2.38751816749573
17,1,0,0,1,0,1,1,2,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,3,0,2.25340533256531
17,1,0,0,1,0,1,1,2,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,4,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,5,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,6,0,2.25340533256531
17,1,0,0,1,0,1,1,1,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,7,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,8,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",0,0,2,0,9,0,2.25340533256531
18,0,0,1,2,0,0,1,1,1,0,0,-1.44673693180084,-0.445084542036057,2.09092807769775,2.23143982887268,0.359115868806839,2.23143982887268,"WorkHour_vv_4",0,0,2,0,10,0,2.23143982887268
19,0,0,1,1,0,0,1,2,1,0,0,-0.313711524009705,0.666775822639465,1.91871070861816,2.19432830810547,0.612804651260376,2.19432830810547,"WorkHour_vv_4",0,0,2,0,11,0,2.19432830810547
18,0,0,1,1,0,1,1,3,1,0,1,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0833333333333333,0,2,1,12,0,2.18218994140625
18,0,0,1,1,0,1,1,2,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0769230769230769,0,2,1,13,0,2.18218994140625
18,0,0,1,2,0,1,1,2,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0714285714285714,0,2,1,14,0,2.18218994140625
18,0,0,1,1,0,1,1,1,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0666666666666667,0,2,1,15,0,2.18218994140625
18,0,0,1,1,0,1,1,3,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0625,0,2,1,16,0,2.18218994140625
18,0,0,1,2,0,1,1,4,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0625,0,3,1,16,1,2.18218994140625
18,0,0,1,2,0,1,1,1,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.0588235294117647,0,3,1,17,0,2.18218994140625
18,0,0,1,2,0,1,1,1,1,0,1,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",-0.111111111111111,0,3,2,18,0,2.18218994140625
74,1,0,0,2,0,1,1,1,1,0,0,0.317970335483551,0.626886963844299,2.12831711769104,1.72851252555847,0.374995678663254,2.12831711769104,"WorkHour_vv_3",-0.105263157894737,0,3,2,19,0,2.12831711769104
75,1,0,0,3,1,1,1,2,1,0,1,0.464046716690063,0.743358373641968,2.08182120323181,1.62926733493805,0.30136626958847,2.08182120323181,"WorkHour_vv_3",-0.15,0,3,3,20,0,2.08182120323181
75,1,0,0,2,1,1,1,2,1,0,1,0.464046716690063,0.743358373641968,2.08182120323181,1.62926733493805,0.30136626958847,2.08182120323181,"WorkHour_vv_3",-0.19047619047619,0,3,4,21,0,2.08182120323181
19,0,0,1,2,0,1,1,3,1,0,0,-0.0333877801895142,0.763439178466797,1.68714129924774,2.04832816123962,0.420638650655746,2.04832816123962,"WorkHour_vv_4",-0.181818181818182,0,3,4,22,0,2.04832816123962
19,0,0,1,2,0,1,1,3,1,0,1,-0.0333877801895142,0.763439178466797,1.68714129924774,2.04832816123962,0.420638650655746,2.04832816123962,"WorkHour_vv_4",-0.217391304347826,0,3,5,23,0,2.04832816123962
19,0,0,1,2,0,1,1,2,1,0,1,-0.0333877801895142,0.763439178466797,1.68714129924774,2.04832816123962,0.420638650655746,2.04832816123962,"WorkHour_vv_4",-0.25,0,3,6,24,0,2.04832816123962
