"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_2","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
81,1,0,0,2,1,1,1,2,1,1,1,0.144959449768066,-0.974571347236633,6.09324789047241,7.77003574371338,9.69949626922607,-0.105931907892227,9.69949626922607,"WorkHour_vv_4",NA,0,0,1,1,0,9.69949626922607
81,1,0,0,3,1,1,1,3,1,1,1,0.144959449768066,-0.974571347236633,6.09324789047241,7.77003574371338,9.69949626922607,-0.105931907892227,9.69949626922607,"WorkHour_vv_4",NA,0,0,2,2,0,9.69949626922607
76,1,0,0,3,1,1,1,3,1,0,1,0.469793945550919,0.772523939609528,9.69423007965088,2.33336162567139,2.35787010192871,0.248425662517548,9.69423007965088,"WorkHour_vv_2",NA,0,0,3,3,0,9.69423007965088
76,1,0,0,1,1,1,1,3,1,0,0,0.469793945550919,0.772523939609528,9.69423007965088,2.33336162567139,2.35787010192871,0.248425662517548,9.69423007965088,"WorkHour_vv_2",NA,0,0,3,4,0,9.69423007965088
75,1,0,0,2,1,1,1,2,1,0,1,0.366636961698532,0.672560036182404,7.99179172515869,2.12903213500977,2.08551740646362,0.27058482170105,7.99179172515869,"WorkHour_vv_2",0.25,1,1,3,4,1,7.99179172515869
75,1,0,0,2,1,1,1,1,1,0,0,0.366636961698532,0.672560036182404,7.99179172515869,2.12903213500977,2.08551740646362,0.27058482170105,7.99179172515869,"WorkHour_vv_2",0.4,1,1,3,5,0,7.99179172515869
75,1,0,0,1,1,1,1,3,1,0,0,0.366636961698532,0.672560036182404,7.99179172515869,2.12903213500977,2.08551740646362,0.27058482170105,7.99179172515869,"WorkHour_vv_2",0.5,1,1,3,6,0,7.99179172515869
76,1,0,0,3,1,1,1,3,1,1,1,0.459730267524719,-0.0717668533325195,7.25585842132568,0.467110306024551,-0.79922616481781,-0.154231250286102,7.25585842132568,"WorkHour_vv_2",0.428571428571429,1,1,4,7,0,7.25585842132568
76,1,0,0,3,1,1,1,1,1,1,0,0.459730267524719,-0.0717668533325195,7.25585842132568,0.467110306024551,-0.79922616481781,-0.154231250286102,7.25585842132568,"WorkHour_vv_2",0.5,1,1,4,8,0,7.25585842132568
76,1,0,0,3,1,1,1,2,1,1,1,0.459730267524719,-0.0717668533325195,7.25585842132568,0.467110306024551,-0.79922616481781,-0.154231250286102,7.25585842132568,"WorkHour_vv_2",0.5,2,2,4,8,1,7.25585842132568
