"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_2","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
73,0,0,1,3,1,1,1,1,0,1,1,-0.0139385052025318,0.338863641023636,12.4755983352661,1.05152130126953,0.517424702644348,-0.302436351776123,12.4755983352661,"WorkHour_vv_2",NA,0,0,1,1,0,12.4755983352661
73,0,0,1,1,1,1,1,2,1,0,0,0.515860557556152,0.925204455852509,10.2872514724731,-0.209897056221962,-0.367278158664703,0.147661060094833,10.2872514724731,"WorkHour_vv_2",-1,0,1,1,1,1,10.2872514724731
76,1,0,0,3,1,1,1,3,1,0,1,0.395410150289536,0.570395469665527,8.93737316131592,2.59785223007202,2.3191123008728,0.235927373170853,8.93737316131592,"WorkHour_vv_2",-1,0,1,2,2,0,8.93737316131592
75,1,0,0,2,1,1,1,2,1,0,1,0.355265468358994,0.577088713645935,8.50780391693115,2.72018551826477,2.37497448921204,0.223377227783203,8.50780391693115,"WorkHour_vv_2",-0.5,1,2,2,2,1,8.50780391693115
75,1,0,0,1,1,1,1,3,1,0,0,0.355265468358994,0.577088713645935,8.50780391693115,2.72018551826477,2.37497448921204,0.223377227783203,8.50780391693115,"WorkHour_vv_2",-0.166666666666667,1,2,2,3,0,8.50780391693115
74,0,0,1,1,1,1,1,3,1,0,0,0.936154544353485,1.26349067687988,8.18508148193359,-1.23676979541779,-1.10320854187012,0.387781262397766,8.18508148193359,"WorkHour_vv_2",0,1,2,2,4,0,8.18508148193359
76,1,0,0,3,1,1,1,2,1,1,1,0.411623418331146,0.170349299907684,7.9492073059082,2.70406556129456,3.91509032249451,-0.0733103901147842,7.9492073059082,"WorkHour_vv_2",0.166666666666667,2,3,2,4,1,7.9492073059082
81,1,0,0,2,1,1,1,2,1,1,1,0.425526261329651,0.0997268855571747,3.1456196308136,6.82599687576294,6.33088684082031,-0.0955025032162666,6.82599687576294,"WorkHour_vv_3",0.0666666666666667,2,3,3,5,0,6.82599687576294
80,1,0,0,3,1,1,1,3,1,1,1,0.377455711364746,0.179774016141891,2.57311415672302,4.49669027328491,3.70886397361755,-0.165840595960617,4.49669027328491,"WorkHour_vv_3",0.15,3,4,3,5,1,4.49669027328491
74,1,0,0,2,1,1,1,1,1,0,0,0.485543936491013,0.779649972915649,4.38787269592285,2.06978368759155,2.09799385070801,0.338495045900345,4.38787269592285,"WorkHour_vv_2",0.25,3,4,3,6,0,4.38787269592285
17,1,0,0,1,0,0,1,3,0,0,0,1.60533797740936,1.8186103105545,1.78099417686462,3.96095180511475,4.09452056884766,0.478926837444305,4.09452056884766,"WorkHour_vv_4",0.321428571428571,3,4,3,7,0,4.09452056884766
17,1,0,0,1,0,1,1,2,0,0,0,1.45722758769989,1.75088095664978,1.80872297286987,3.84428405761719,3.97953987121582,0.556645929813385,3.97953987121582,"WorkHour_vv_4",0.375,3,4,3,8,0,3.97953987121582
17,1,0,0,2,0,1,1,3,0,0,0,1.45722758769989,1.75088095664978,1.80872297286987,3.84428405761719,3.97953987121582,0.556645929813385,3.97953987121582,"WorkHour_vv_4",0.416666666666667,3,4,3,9,0,3.97953987121582
17,1,0,0,1,0,1,1,3,0,0,0,1.45722758769989,1.75088095664978,1.80872297286987,3.84428405761719,3.97953987121582,0.556645929813385,3.97953987121582,"WorkHour_vv_4",0.45,3,4,3,10,0,3.97953987121582
17,1,0,0,1,0,1,1,1,0,0,0,1.45722758769989,1.75088095664978,1.80872297286987,3.84428405761719,3.97953987121582,0.556645929813385,3.97953987121582,"WorkHour_vv_4",0.477272727272727,3,4,3,11,0,3.97953987121582
