"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","CScore_satisfaction_level_vv_2","CScore_satisfaction_level_vv_3","CScore_average_montly_hours_vv_2","CScore_average_montly_hours_vv_3","CScore_average_montly_hours_vv_4","CScore_average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
2,0.88,3,2,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",NA,2,1,0,0,1,3.36272478103638
3,0.88,5,2,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0,2,1,2,1,0,3.36272478103638
3,0.88,4,2,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0,2,1,4,2,0,3.36272478103638
3,0.88,4,2,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0,2,1,6,3,0,3.36272478103638
2,0.88,4,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.25,2,1,9,4,0,3.36272478103638
2,0.88,4,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.4,2,1,12,5,0,3.36272478103638
1,0.88,3,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0.1,5,2,12,5,1,3.36272478103638
1,0.88,4,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0,5,2,15,6,0,3.36272478103638
2,0.88,2,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.0714285714285716,5,2,18,7,0,3.36272478103638
1,0.88,5,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.125,5,2,21,8,0,3.36272478103638
1,0.88,1,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.166666666666667,5,2,24,9,0,3.36272478103638
1,0.88,5,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.2,5,2,27,10,0,3.36272478103638
2,0.88,3,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",-0.0333333333333337,8,3,27,10,1,3.36272478103638
1,0.88,3,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0.0499999999999998,11,4,27,10,1,3.36272478103638
1,0.88,3,3,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0.0999999999999996,14,5,27,10,1,3.36272478103638
2,0.88,3,4,1,0,1,0.725609481334686,1.000035405159,-0.0386761911213398,3.36272478103638,1.83376026153564,1.10497677326202,3.36272478103638,"average_montly_hours_vv_3",0.3,18,6,27,10,1,3.36272478103638
