"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","CScore_satisfaction_level_vv_2","CScore_satisfaction_level_vv_3","CScore_average_montly_hours_vv_2","CScore_average_montly_hours_vv_3","CScore_average_montly_hours_vv_4","CScore_average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
1,0.67,1,2,0,1,0,-0.700443685054779,2.1246223449707,-0.0347557887434959,3.25704789161682,1.62654447555542,1.12410616874695,3.25704789161682,"average_montly_hours_vv_3",NA,0,0,2,1,0,3.25704789161682
2,0.67,4,3,0,1,0,-0.700443685054779,2.1246223449707,-0.0347557887434959,3.25704789161682,1.62654447555542,1.12410616874695,3.25704789161682,"average_montly_hours_vv_3",NA,0,0,5,2,0,3.25704789161682
2,0.86,3,5,1,1,1,0.22664275765419,1.2230931520462,-0.0426457822322845,3.06480026245117,1.60953235626221,1.0316858291626,3.06480026245117,"average_montly_hours_vv_3",2.5,5,1,5,2,1,3.06480026245117
3,1,4,5,1,1,1,0.516053736209869,1.17380928993225,-0.0426589511334896,2.13504076004028,2.80189514160156,1.15881478786469,2.80189514160156,"average_montly_hours_vv_4",2.5,10,2,5,2,1,2.80189514160156
3,1,4,5,1,1,1,0.516053736209869,1.17380928993225,-0.0426589511334896,2.13504076004028,2.80189514160156,1.15881478786469,2.80189514160156,"average_montly_hours_vv_4",2.5,15,3,5,2,1,2.80189514160156
2,0.99,5,3,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",2.33333333333333,15,3,8,3,0,2.7851927280426
1,0.99,3,4,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",2,15,3,12,4,0,2.7851927280426
1,0.99,3,4,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.8,15,3,16,5,0,2.7851927280426
3,0.99,3,5,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.5,15,3,21,6,0,2.7851927280426
2,0.99,3,5,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.28571428571429,15,3,26,7,0,2.7851927280426
3,0.99,4,5,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.28571428571429,20,4,26,7,1,2.7851927280426
2,0.99,4,5,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.28571428571429,25,5,26,7,1,2.7851927280426
3,0.99,4,5,0,1,1,0.905273020267487,1.13209700584412,-0.0414762273430824,1.81901443004608,2.7851927280426,1.1380443572998,2.7851927280426,"average_montly_hours_vv_4",1.28571428571429,30,6,26,7,1,2.7851927280426
