"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","CScore_satisfaction_level_vv_2","CScore_satisfaction_level_vv_3","CScore_average_montly_hours_vv_2","CScore_average_montly_hours_vv_3","CScore_average_montly_hours_vv_4","CScore_average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
3,0.99,4,5,1,1,1,3.13063335418701,1.21372210979462,-0.0275317598134279,1.61120653152466,2.97402429580688,1.18098855018616,3.13063335418701,"satisfaction_level_vv_2",NA,0,0,5,1,0,3.13063335418701
1,0.83,4,4,1,1,1,2.43732786178589,0.926671624183655,-0.0274855233728886,0.321460872888565,1.54977226257324,0.854439914226532,2.43732786178589,"satisfaction_level_vv_2",NA,0,0,9,2,0,2.43732786178589
1,0.47,4,2,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,11,3,0,2.36681222915649
1,0.47,2,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,14,4,0,2.36681222915649
1,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,17,5,0,2.36681222915649
1,0.47,2,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,20,6,0,2.36681222915649
1,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,23,7,0,2.36681222915649
1,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,26,8,0,2.36681222915649
2,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,29,9,0,2.36681222915649
2,0.47,2,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,32,10,0,2.36681222915649
1,0.47,2,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,35,11,0,2.36681222915649
2,0.47,2,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,38,12,0,2.36681222915649
1,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,41,13,0,2.36681222915649
1,0.47,1,3,0,1,1,0.762112021446228,2.36681222915649,0.0282178074121475,1.52630662918091,1.70583355426788,1.28338813781738,2.36681222915649,"satisfaction_level_vv_3",NA,0,0,44,14,0,2.36681222915649
1,0.46,2,3,1,1,0,1.27277636528015,2.35268139839172,-0.123040050268173,1.46537303924561,1.70242786407471,1.24611854553223,2.35268139839172,"satisfaction_level_vv_3",NA,0,0,47,15,0,2.35268139839172
1,0.47,2,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,50,16,0,2.34996867179871
1,0.47,1,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,53,17,0,2.34996867179871
1,0.47,1,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,56,18,0,2.34996867179871
1,0.47,2,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,59,19,0,2.34996867179871
1,0.47,3,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,62,20,0,2.34996867179871
2,0.47,1,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,65,21,0,2.34996867179871
1,0.47,2,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,68,22,0,2.34996867179871
1,0.47,1,3,0,1,0,0.752689361572266,2.34996867179871,0.0132953366264701,1.51708567142487,1.69542837142944,1.26932573318481,2.34996867179871,"satisfaction_level_vv_3",NA,0,0,71,23,0,2.34996867179871
