"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","CScore_Extraversion_vv_2","CScore_Extraversion_vv_3","CScore_Extraversion_vv_4","CScore_Grey_wage_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
133.8809035,1,1,19,0,0,0,1,0,4,1,0,1,0,1,-0.0566750951111317,-0.0199858546257019,0.844947338104248,0.934155225753784,0.934155225753784,"Grey_wage_vv_1",NA,1,1,0,0,1,0.934155225753784
133.9137577,1,1,19,0,0,0,1,0,2,0,0,1,1,1,0.207122504711151,0.213058412075043,0.580223321914673,0.856265962123871,0.856265962123871,"Grey_wage_vv_1",NA,2,2,0,0,1,0.856265962123871
133.8809035,1,1,19,0,0,0,1,0,2,0,0,1,1,1,0.207122504711151,0.213058412075043,0.580223321914673,0.856265962123871,0.856265962123871,"Grey_wage_vv_1",NA,3,3,0,0,1,0.856265962123871
49.3798768,1,0,22,0,0,0,0,0,3,1,1,0,0,0,-0.353577345609665,-0.099357083439827,0.251943916082382,0.82770437002182,0.82770437002182,"Grey_wage_vv_1",1,3,3,0,1,0,0.82770437002182
82.82546201,1,0,23,1,1,0,1,0,2,1,0,0,1,1,0.228117078542709,0.0503150224685669,0.287845492362976,0.744818270206451,0.744818270206451,"Grey_wage_vv_1",1,4,4,0,1,1,0.744818270206451
150.9979466,1,0,19,1,1,1,1,1,2,0,0,1,1,1,0.376401156187057,0.157740995287895,0.581015348434448,0.727542757987976,0.727542757987976,"Grey_wage_vv_1",1,5,5,0,1,1,0.727542757987976
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,-0.0650534927845001,-0.00329128163866699,0.631566405296326,0.724303126335144,0.724303126335144,"Grey_wage_vv_1",1,6,6,0,1,1,0.724303126335144
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,-0.0650534927845001,-0.00329128163866699,0.631566405296326,0.724303126335144,0.724303126335144,"Grey_wage_vv_1",1,7,7,0,1,1,0.724303126335144
51.87679671,1,0,19,0,0,1,1,0,1,1,0,0,0,0,-0.0157084856182337,-0.07779910415411,0.336162239313126,0.703371167182922,0.703371167182922,"Grey_wage_vv_1",0.875,7,8,0,1,1,0.703371167182922
73.49486653,1,1,33,0,0,0,1,1,4,1,1,1,0,1,-0.253964275121689,-0.193907350301743,0.271235197782516,0.678223133087158,0.678223133087158,"Grey_wage_vv_1",0.888888888888889,8,9,0,1,1,0.678223133087158
10.94045175,1,1,33,0,1,1,1,0,4,1,0,1,1,0,-0.0558117032051086,0.10793462395668,0.20742304623127,0.651042759418488,0.651042759418488,"Grey_wage_vv_1",0.8,8,10,0,1,1,0.651042759418488
25.23203285,1,0,30,0,0,0,1,1,4,0,1,1,0,0,-0.20797173678875,-0.250358790159225,0.509665787220001,0.609592437744141,0.609592437744141,"Grey_wage_vv_1",0.727272727272727,8,11,0,1,1,0.609592437744141
46.78439425,1,0,23,0,0,0,1,0,4,1,1,0,0,0,-0.373890370130539,-0.0866850540041924,0.223217591643333,0.609067261219025,0.609067261219025,"Grey_wage_vv_1",0.666666666666667,8,12,0,1,1,0.609067261219025
47.96714579,1,0,33,1,0,0,1,1,2,1,0,1,1,0,0.146637842059135,-0.0170947760343552,-0.0374441109597683,0.577040076255798,0.577040076255798,"Grey_wage_vv_1",0.615384615384615,8,13,0,1,1,0.577040076255798
129.2813142,0,1,33,0,0,1,1,1,3,1,0,0,1,1,0.256593078374863,0.52608048915863,0.626088440418243,0.576616764068604,0.576616764068604,"Grey_wage_vv_1",0.642857142857143,9,14,0,1,1,0.576616764068604
150.1437372,1,0,33,1,0,0,1,0,3,0,0,1,0,1,0.0897124633193016,0.0453986302018166,-0.0433596782386303,0.57323545217514,0.57323545217514,"Grey_wage_vv_1",0.666666666666667,10,15,0,1,1,0.57323545217514
28.15605749,1,0,25,0,0,0,1,1,4,1,1,1,1,0,-0.342699706554413,-0.288567811250687,0.190260738134384,0.569437325000763,0.569437325000763,"Grey_wage_vv_1",0.625,10,16,0,1,1,0.569437325000763
78.68583162,1,0,31,1,0,0,0,1,4,0,1,1,0,1,-0.168702110648155,-0.183078393340111,0.470101594924927,0.560340940952301,0.560340940952301,"Grey_wage_vv_1",0.125,10,16,1,2,0,0.560340940952301
81.64271047,0,0,31,1,1,0,1,1,4,0,1,0,0,1,-0.213107943534851,-0.166176602244377,0.594886422157288,0.554193198680878,0.554193198680878,"Grey_wage_vv_1",0.147058823529412,11,17,1,2,1,0.554193198680878
96,1,0,22,0,0,1,1,1,2,0,1,1,0,1,-0.158550471067429,-0.0557295978069305,0.383226543664932,0.54184365272522,0.54184365272522,"Grey_wage_vv_1",0.166666666666667,12,18,1,2,1,0.54184365272522
7.589322382,1,1,47,0,0,1,0,1,4,0,0,1,0,0,0.138294532895088,0.0278184991329908,-0.720209419727325,0.528659999370575,0.528659999370575,"Grey_wage_vv_1",0.333333333333333,12,18,1,3,0,0.528659999370575
8.640657084,1,0,23,0,0,0,1,0,4,0,1,0,0,0,-0.492246121168137,0.0729107931256294,0.286251991987228,0.519189536571503,0.519189536571503,"Grey_wage_vv_1",0.298245614035088,12,19,1,3,1,0.519189536571503
2.036960986,1,0,48,1,0,0,1,1,2,0,0,1,1,0,-0.0496902242302895,-0.221785649657249,0.345451563596725,0.509166121482849,0.509166121482849,"Grey_wage_vv_1",0.266666666666667,12,20,1,3,1,0.509166121482849
35.77823409,1,0,22,0,0,1,0,1,2,0,0,0,1,0,0.775851964950562,0.138935685157776,0.502342462539673,0.507105767726898,0.507105767726898,"Grey_wage_vv_1",0.35,12,20,1,4,0,0.507105767726898
11.69609856,1,0,25,1,0,0,0,0,4,0,1,1,0,0,-0.174514964222908,-0.259724617004395,0.165676221251488,0.49150949716568,0.49150949716568,"Grey_wage_vv_1",0.4,12,20,1,5,0,0.49150949716568
100.238193,0,0,23,1,0,1,1,0,3,0,0,0,1,1,0.349892467260361,0.364110887050629,0.559285342693329,0.489932537078857,0.489932537078857,"Grey_wage_vv_1",0.419047619047619,13,21,1,5,1,0.489932537078857
115.5482546,0,0,19,1,1,0,1,1,2,1,0,0,0,1,-0.154059574007988,0.048369076102972,0.455543100833893,0.484263807535172,0.484263807535172,"Grey_wage_vv_1",0.436363636363636,14,22,1,5,1,0.484263807535172
5.815195072,1,0,25,0,0,1,1,1,4,0,1,0,1,0,-0.158222228288651,-0.215254887938499,0.250705778598785,0.470826357603073,0.470826357603073,"Grey_wage_vv_1",0.408695652173913,14,23,1,5,1,0.470826357603073
2.98973306,1,1,45,0,0,1,1,1,4,1,1,1,0,0,-0.512891948223114,-0.00292517244815826,0.655679881572723,0.444515764713287,0.444515764713287,"Grey_wage_vv_1",0.383333333333333,14,24,1,5,1,0.444515764713287
63.14579055,1,1,32,0,0,0,1,1,4,0,0,1,1,1,0.0149452360346913,0.194612130522728,-0.204405188560486,0.432204902172089,0.432204902172089,"Grey_wage_vv_1",0.4,15,25,1,5,1,0.432204902172089
22.07802875,1,1,52,0,0,1,1,1,4,1,0,1,1,0,-0.329287618398666,0.138611391186714,0.0836101695895195,0.420037090778351,0.420037090778351,"Grey_wage_vv_1",0.376923076923077,15,26,1,5,1,0.420037090778351
70.30800821,1,1,22,0,0,1,1,1,3,0,1,0,0,1,-0.304388880729675,-0.00177835230715573,0.274827659130096,0.418488681316376,0.418488681316376,"Grey_wage_vv_1",0.392592592592593,16,27,1,5,1,0.418488681316376
79.01437372,1,1,29,0,1,1,1,0,4,0,1,0,0,1,-0.124470330774784,0.0112166181206703,0.685714244842529,0.415659219026566,0.415659219026566,"Grey_wage_vv_1",0.407142857142857,17,28,1,5,1,0.415659219026566
16.42710472,1,0,26,0,0,1,1,1,2,0,0,1,1,0,-0.0207282844930887,-0.105053804814816,0.378340482711792,0.398412078619003,0.398412078619003,"Grey_wage_vv_1",0.386206896551724,17,29,1,5,1,0.398412078619003
10.64476386,1,0,26,0,0,1,0,1,2,0,0,1,1,0,-0.0207282844930887,-0.105053804814816,0.378340482711792,0.398412078619003,0.398412078619003,"Grey_wage_vv_1",0.419540229885057,17,29,1,6,0,0.398412078619003
20.96098563,1,0,24,0,0,1,1,1,4,1,1,0,1,0,-0.137912467122078,-0.180954769253731,0.304232448339462,0.396614164113998,0.396614164113998,"Grey_wage_vv_1",0.4,17,30,1,6,1,0.396614164113998
13.40451745,1,0,30.40033257,1,0,0,1,1,2,0,1,1,0,0,-0.126393720507622,0.0609061866998672,0.419658809900284,0.383549124002457,0.383549124002457,"Grey_wage_vv_1",0.381720430107527,17,31,1,6,1,0.383549124002457
2.201232033,1,1,23,0,0,1,1,1,2,0,1,1,1,0,-0.187549382448196,0.0808158069849014,0.095628134906292,0.381820976734161,0.381820976734161,"Grey_wage_vv_1",0.364583333333333,17,32,1,6,1,0.381820976734161
64.29568789,1,1,44,0,0,1,0,1,4,0,1,1,1,1,-0.255784034729004,-0.0543596595525742,0.443484097719193,0.380372643470764,0.380372643470764,"Grey_wage_vv_1",0.245535714285714,17,32,2,7,0,0.380372643470764
140.9445585,0,0,26,1,0,1,1,1,3,0,1,1,0,1,-0.133339151740074,-0.250088155269623,0.203409641981125,0.353451073169708,0.353451073169708,"Grey_wage_vv_1",0.25974025974026,18,33,2,7,1,0.353451073169708
19.94250513,1,0,23,0,0,0,1,1,2,0,1,1,0,0,-0.386306047439575,-0.0411383993923664,0.201482534408569,0.350089848041534,0.350089848041534,"Grey_wage_vv_1",0.243697478991597,18,34,2,7,1,0.350089848041534
96.72279261,1,1,30,0,0,1,1,0,2,1,0,0,1,1,-0.0707798674702644,-0.0993286743760109,0.429197609424591,0.347062349319458,0.347062349319458,"Grey_wage_vv_1",0.257142857142857,19,35,2,7,1,0.347062349319458
153.100616,0,1,43,0,0,1,1,0,2,0,0,1,0,1,0.175002858042717,0.100890479981899,-0.4899722635746,0.337865501642227,0.337865501642227,"Grey_wage_vv_1",0.26984126984127,20,36,2,7,1,0.337865501642227
22.9650924,1,1,33,1,0,1,1,1,2,0,0,1,1,0,-0.0415835790336132,0.281769067049026,-0.134086146950722,0.33703625202179,0.33703625202179,"Grey_wage_vv_1",0.254826254826255,20,37,2,7,1,0.33703625202179
26.11909651,1,0,31,1,0,1,0,1,4,1,0,0,0,0,-0.102701641619205,0.0692275986075401,0.233565598726273,0.335062921047211,0.335062921047211,"Grey_wage_vv_1",0.290540540540541,20,37,2,8,0,0.335062921047211
8.180698152,1,0,24,1,0,0,1,1,2,0,1,1,0,0,-0.220089361071587,-0.23197640478611,0.0308264810591936,0.32747945189476,0.32747945189476,"Grey_wage_vv_1",0.276315789473684,20,38,2,8,1,0.32747945189476
