"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","CScore_Extraversion_vv_2","CScore_Extraversion_vv_3","CScore_Extraversion_vv_4","CScore_Grey_wage_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
133.8809035,1,1,19,0,0,0,1,0,2,0,0,1,1,1,1.59634649753571,0.106320045888424,0.212626785039902,0.768582046031952,1.59634649753571,"Extraversion_vv_2",NA,1,1,0,0,1,1.59634649753571
34.0698152,1,0,34,0,0,1,0,0,1,0,0,0,0,0,0.92507266998291,1.00724196434021,1.07926607131958,-0.197783008217812,1.07926607131958,"Extraversion_vv_4",1,1,1,0,1,0,1.07926607131958
86.83367556,1,0,29,1,0,0,1,0,2,0,0,1,0,1,0.408940702676773,0.947288572788239,0.419077396392822,0.0535178445279598,0.947288572788239,"Extraversion_vv_3",0.5,1,1,1,2,0,0.947288572788239
164.5667351,0,0,27,0,0,0,1,0,4,0,0,1,0,1,0.280863732099533,0.841605007648468,-0.1816076785326,0.2758968770504,0.841605007648468,"Extraversion_vv_3",0.333333333333333,1,1,2,3,0,0.841605007648468
133.9137577,1,1,19,0,0,0,1,0,4,1,0,1,0,1,0.670598447322845,0.258669584989548,0.519905805587769,0.810109496116638,0.810109496116638,"Grey_wage_vv_1",0.333333333333333,2,2,2,3,1,0.810109496116638
133.8809035,1,1,19,0,0,0,1,0,4,1,0,1,0,1,0.670598447322845,0.258669584989548,0.519905805587769,0.810109496116638,0.810109496116638,"Grey_wage_vv_1",0.333333333333333,3,3,2,3,1,0.810109496116638
89.19917864,1,1,18,0,0,1,1,1,1,0,0,1,1,1,0.782743573188782,0.133315905928612,0.2461788803339,0.659152448177338,0.782743573188782,"Extraversion_vv_2",0.25,3,3,3,4,0,0.782743573188782
103.5893224,0,0,21,1,0,0,0,1,4,0,1,1,0,1,-0.250814378261566,0.0411696769297123,0.777021288871765,0.531139135360718,0.777021288871765,"Extraversion_vv_4",0.25,4,4,3,4,1,0.777021288871765
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0.442176908254623,0.483963668346405,0.757546901702881,-0.210448056459427,0.757546901702881,"Extraversion_vv_4",0.4,4,4,3,5,0,0.757546901702881
63.54004107,1,0,31,0,0,1,1,0,4,0,0,1,1,1,0.494728833436966,0.0341708920896053,0.754894912242889,0.158945009112358,0.754894912242889,"Extraversion_vv_4",0.4,5,5,3,5,1,0.754894912242889
22.57084189,1,0,30,1,0,1,0,1,1,0,0,0,0,0,0.187177166342735,0.742178022861481,0.62662947177887,-0.0374482944607735,0.742178022861481,"Extraversion_vv_3",0.5,5,5,3,6,0,0.742178022861481
3.975359343,1,0,29,1,1,1,1,1,1,0,0,0,0,0,0.0218953229486942,0.734562635421753,0.658027529716492,-0.170420333743095,0.734562635421753,"Extraversion_vv_3",0.571428571428571,5,5,3,7,0,0.734562635421753
12.05749487,1,0,36,0,0,1,1,1,3,0,0,0,0,0,0.71120548248291,0.520900011062622,0.316511780023575,-0.217608079314232,0.71120548248291,"Extraversion_vv_2",0.625,5,5,3,8,0,0.71120548248291
15.11293634,1,0,23,1,0,0,1,0,1,0,0,1,1,0,0.711063086986542,0.21378356218338,0.159774646162987,0.649789273738861,0.711063086986542,"Extraversion_vv_2",0.666666666666667,5,5,3,9,0,0.711063086986542
9.100616016,1,0,33,1,0,1,1,0,2,0,0,1,1,0,0.326505482196808,0.0197969097644091,0.70572555065155,0.130925685167313,0.70572555065155,"Extraversion_vv_4",0.7,5,5,3,10,0,0.70572555065155
23.6550308,1,0,37,1,0,1,1,1,2,0,0,1,1,0,0.531550705432892,0.701076984405518,0.675328135490417,-0.0694619342684746,0.701076984405518,"Extraversion_vv_3",0.727272727272727,5,5,3,11,0,0.701076984405518
66.69404517,0,0,32,1,0,1,1,0,1,0,0,1,1,1,0.46621185541153,-0.349867850542068,0.689511358737946,0.138145312666893,0.689511358737946,"Extraversion_vv_4",0.666666666666667,5,5,4,12,0,0.689511358737946
23.68788501,1,0,24,1,0,0,0,1,4,0,0,1,0,0,0.502333998680115,0.688984811306,0.255331665277481,0.0115375583991408,0.688984811306,"Extraversion_vv_3",0.692307692307692,5,5,4,13,0,0.688984811306
53.81519507,1,0,30.40033257,0,0,1,1,1,4,1,0,0,0,0,0.688122630119324,0.469217836856842,0.0376472659409046,0.467401653528214,0.688122630119324,"Extraversion_vv_2",0.714285714285714,5,5,4,14,0,0.688122630119324
12.81314168,1,1,33,0,0,1,0,0,1,0,1,0,0,0,-0.222239553928375,0.0904178246855736,0.654954373836517,0.473369538784027,0.654954373836517,"Extraversion_vv_4",0.733333333333333,5,5,4,15,0,0.654954373836517
79.54004107,0,1,34,0,0,1,1,1,4,0,1,0,0,1,-0.290276706218719,0.0877382829785347,0.638901352882385,0.112688288092613,0.638901352882385,"Extraversion_vv_4",0.733333333333333,6,6,4,15,1,0.638901352882385
90.51334702,1,0,22,1,0,0,1,1,2,0,0,1,1,1,0.62219649553299,0.0627164766192436,0.138970121741295,0.316896080970764,0.62219649553299,"Extraversion_vv_2",0.733333333333333,7,7,4,15,1,0.62219649553299
20.04106776,1,0,22,1,0,0,1,1,3,0,0,1,1,0,0.62219649553299,0.0627164766192436,0.138970121741295,0.316896080970764,0.62219649553299,"Extraversion_vv_2",0.75,7,7,4,16,0,0.62219649553299
6.275154004,1,0,30.40033257,0,1,0,1,1,1,1,0,0,1,0,0.618961572647095,0.202948004007339,0.108440302312374,0.318342804908752,0.618961572647095,"Extraversion_vv_2",0.764705882352941,7,7,4,17,0,0.618961572647095
5.848049281,1,0,23,1,1,0,1,1,2,0,0,0,0,0,-0.0321768634021282,0.610605001449585,0.570091426372528,-0.269297689199448,0.610605001449585,"Extraversion_vv_3",0.777777777777778,7,7,4,18,0,0.610605001449585
26.94045175,1,0,24,1,0,0,1,1,3,0,0,0,0,0,0.27101731300354,0.606664597988129,0.312529504299164,-0.118574023246765,0.606664597988129,"Extraversion_vv_3",0.652777777777778,7,8,4,18,1,0.606664597988129
73.29774127,1,0,24,1,0,0,1,1,1,0,0,0,0,1,0.27101731300354,0.606664597988129,0.312529504299164,-0.118574023246765,0.606664597988129,"Extraversion_vv_3",0.611842105263158,7,8,5,19,0,0.606664597988129
35.28542094,1,0,23,1,1,0,1,1,1,0,0,1,1,0,0.303973942995071,0.597799062728882,0.565834522247314,-0.078748382627964,0.597799062728882,"Extraversion_vv_3",0.625,7,8,5,20,0,0.597799062728882
59.20328542,1,0,25,1,0,0,1,1,3,0,1,0,0,0,-0.371377497911453,-0.044182326644659,0.0898824706673622,0.5924032330513,0.5924032330513,"Grey_wage_vv_1",0.527777777777778,7,9,5,20,1,0.5924032330513
59.20328542,1,0,25,1,0,0,1,1,4,0,1,0,0,0,-0.371377497911453,-0.044182326644659,0.0898824706673622,0.5924032330513,0.5924032330513,"Grey_wage_vv_1",0.45,7,10,5,20,1,0.5924032330513
81.64271047,0,0,31,1,1,0,1,1,4,0,1,0,0,1,-0.383231371641159,0.0157747361809015,0.323741286993027,0.585664987564087,0.585664987564087,"Grey_wage_vv_1",0.477272727272727,8,11,5,20,1,0.585664987564087
16.91991786,1,1,35,0,0,1,1,0,4,0,0,1,0,0,-0.0158953070640564,-0.847698152065277,0.576278626918793,-0.242448940873146,0.576278626918793,"Extraversion_vv_4",0.416666666666667,8,12,5,20,1,0.576278626918793
5.32238193,1,0,25,1,0,0,0,1,3,0,1,1,0,0,-0.296294182538986,-0.0713974684476852,-0.289254605770111,0.574573516845703,0.574573516845703,"Grey_wage_vv_1",0.428571428571429,8,12,5,21,0,0.574573516845703
12.68172485,1,0,36,1,0,1,1,1,2,0,0,0,1,0,0.208093672990799,0.514775037765503,0.56880259513855,-0.171505093574524,0.56880259513855,"Extraversion_vv_4",0.439393939393939,8,12,5,22,0,0.56880259513855
5.848049281,1,0,23,1,1,0,1,1,4,1,1,0,0,0,-0.403022587299347,0.108510725200176,0.561720430850983,0.16704897582531,0.561720430850983,"Extraversion_vv_4",0.388111888111888,8,13,5,22,1,0.561720430850983
13.8973306,1,0,27,1,0,1,1,0,1,0,1,0,0,0,-0.254519194364548,0.0247949715703726,0.554583489894867,0.333794862031937,0.554583489894867,"Extraversion_vv_4",0.397993311036789,8,13,5,23,0,0.554583489894867
26.94045175,1,0,21,0,0,0,1,1,4,0,1,0,0,0,-0.383329331874847,-0.100585490465164,0.553946256637573,0.524510979652405,0.553946256637573,"Extraversion_vv_4",0.354037267080745,8,14,5,23,1,0.553946256637573
29.07597536,1,0,22,1,1,0,1,1,1,0,0,0,1,0,-0.00504596205428243,0.55272513628006,0.517825841903687,-0.231719449162483,0.55272513628006,"Extraversion_vv_3",0.363095238095238,8,14,5,24,0,0.55272513628006
