"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
70,1,0,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,1,1,0
75,1,0,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,2,2,0
67,1,0,0,2,1,1,1,3,0,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,3,3,0
68,1,0,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,4,4,0
67,1,0,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,5,5,0
80,0,0,0,3,1,1,1,1,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",NA,0,0,5,6,0
69,0,1,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.166666666666667,1,1,5,6,1
90,1,0,0,3,1,1,1,1,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.142857142857143,1,1,6,7,0
68,1,0,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.125,1,1,7,8,0
90,1,0,0,2,1,1,1,4,0,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.111111111111111,1,1,8,9,0
67,1,0,0,2,1,1,1,1,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.2,1,1,8,10,0
69,0,0,1,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.181818181818182,1,1,9,11,0
71,1,0,0,2,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.25,1,1,9,12,0
80,1,0,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.230769230769231,1,1,10,13,0
79,0,1,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.230769230769231,2,2,10,13,1
68,0,1,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.230769230769231,3,3,10,13,1
90,1,0,0,3,1,1,0,3,0,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.214285714285714,3,3,11,14,0
70,0,1,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.214285714285714,4,4,11,14,1
73,0,1,0,1,1,1,1,4,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0142857142857143,4,5,11,14,1
68,0,1,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0476190476190477,5,6,11,14,1
79,0,1,0,2,1,1,1,2,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0714285714285714,6,7,11,14,1
69,0,0,0,3,1,1,1,1,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.123809523809524,6,7,11,15,0
67,0,0,1,2,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.169642857142857,6,7,11,16,0
74,1,0,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.151260504201681,6,7,12,17,0
71,0,0,1,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.134920634920635,6,7,13,18,0
67,0,1,0,2,1,1,0,3,0,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.152777777777778,7,8,13,18,1
70,0,1,0,3,1,1,1,1,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.166666666666667,8,9,13,18,1
77,0,1,0,3,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0777777777777778,8,10,13,18,1
68,0,1,0,2,1,1,1,4,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.00505050505050508,8,11,13,18,1
71,0,1,0,2,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0277777777777778,9,12,13,18,1
68,1,0,0,3,1,1,1,3,0,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0131578947368421,9,12,14,19,0
69,0,0,1,3,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.05,9,12,14,20,0
70,0,1,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0692307692307693,10,13,14,20,1
76,1,0,0,3,1,1,1,4,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.102564102564103,10,13,14,21,0
71,1,0,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0874125874125875,10,13,15,22,0
71,0,1,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.103896103896104,11,14,15,22,1
73,0,1,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.118181818181818,12,15,15,22,1
68,0,1,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.130681818181818,13,16,15,22,1
68,1,0,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.116847826086957,13,16,16,23,0
70,0,1,0,2,1,1,1,2,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0690537084398977,13,17,16,23,1
69,0,1,0,2,1,1,1,1,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0821256038647343,14,18,16,23,1
73,1,0,0,2,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0694444444444444,14,18,17,24,0
74,0,1,0,3,1,1,1,1,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.081140350877193,15,19,17,24,1
67,1,0,0,3,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0694736842105264,15,19,18,25,0
72,0,0,0,3,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.097165991902834,15,19,18,26,0
67,0,1,0,2,1,1,1,2,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.107692307692308,16,20,18,26,1
90,1,0,0,2,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.0962962962962963,16,20,19,27,0
67,0,0,0,3,1,1,1,2,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.121428571428571,16,20,19,28,0
70,1,0,0,3,1,1,1,1,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.110344827586207,16,20,20,29,0
70,1,0,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.1,16,20,21,30,0
75,0,1,0,2,1,1,1,3,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.10952380952381,17,21,21,30,1
67,1,0,0,3,1,1,1,2,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.1321044546851,17,21,21,31,0
67,0,0,0,2,1,1,1,3,1,1,0,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.15327380952381,17,21,21,32,0
80,0,1,0,3,1,1,1,4,1,1,1,0.408641005498822,0.408641005498822,"SelfEmp_vv_1",0.161931818181818,18,22,21,32,1
