"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
58,0,1,0,2,1,1,0,3,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",NA,0,0,1,1,0
32,0,0,1,3,1,1,0,3,1,1,1,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",NA,0,0,2,2,0
34,0,0,0,1,1,1,0,1,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",NA,0,0,2,3,0
48,0,0,1,3,1,1,0,3,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",NA,0,0,3,4,0
43,0,0,1,2,1,1,0,3,1,1,1,0.182051282051282,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",NA,0,0,4,5,0
39,0,0,1,2,1,1,0,4,1,1,1,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.2,1,1,4,5,1
36,0,0,0,2,1,0,0,2,0,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.333333333333333,1,1,4,6,0
47,0,0,1,2,1,1,0,3,1,1,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.428571428571429,1,1,4,7,0
50,0,0,0,1,1,0,0,3,1,0,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.5,1,1,4,8,0
31,0,0,1,2,1,1,0,3,1,1,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.555555555555556,1,1,4,9,0
47,0,0,0,2,1,1,0,1,1,1,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.6,1,1,4,10,0
40,0,0,0,2,1,1,0,2,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.636363636363636,1,1,4,11,0
38,0,0,1,2,1,1,0,3,1,1,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.666666666666667,1,1,4,12,0
53,0,0,1,2,1,1,0,4,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.666666666666667,2,2,4,12,1
57,0,1,0,3,1,1,0,3,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.615384615384615,2,2,5,13,0
38,0,0,1,3,1,1,0,2,1,1,1,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.571428571428571,2,2,6,14,0
61,0,1,0,2,1,1,0,3,1,0,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.6,2,2,6,15,0
59,0,0,0,2,1,1,0,3,1,1,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.625,2,2,6,16,0
27,0,1,0,2,1,1,0,3,1,1,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.647058823529412,2,2,6,17,0
45,0,1,0,2,1,1,0,4,1,0,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.647058823529412,3,3,6,17,1
41,0,0,1,3,1,1,0,2,1,0,1,0.182051282051282,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.611111111111111,3,3,7,18,0
42,0,1,0,2,1,1,0,4,1,0,0,0.182051282051282,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.361111111111111,3,4,7,18,1
37,0,0,1,2,1,1,0,2,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.381578947368421,3,4,7,19,0
37,0,0,1,2,1,0,0,3,0,1,1,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.35,3,4,8,20,0
44,0,1,0,3,1,1,0,4,1,1,1,0.182051282051282,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.4,4,5,8,20,1
49,0,1,0,2,1,1,0,3,1,1,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.419047619047619,4,5,8,21,0
32,0,0,0,2,1,1,0,1,1,1,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.436363636363636,4,5,8,22,0
36,0,0,1,3,1,1,0,3,1,1,1,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.408695652173913,4,5,9,23,0
40,0,0,0,2,1,1,0,2,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.425,4,5,9,24,0
58,0,1,0,2,1,1,0,2,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.4,4,5,10,25,0
57,0,0,1,3,1,0,0,3,1,1,1,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.376923076923077,4,5,11,26,0
54,0,1,0,2,1,1,0,1,1,0,0,0.137096774193548,0.0149739583333333,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.392592592592593,4,5,11,27,0
36,0,1,0,2,1,1,0,4,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.259259259259259,4,6,11,27,1
29,0,0,1,2,1,1,0,3,1,0,0,0.182051282051282,0.144164416441644,0.517948717948718,0.517948717948718,"WorkHour_vv_4",0.273809523809524,4,6,11,28,0
