"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","Education_vv_2","Education_vv_3","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
31,0,0,1,2,0,1,0,3,1,0,0,0.108446176119911,0.0760984298720148,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",NA,0,0,0,1,0
40,0,0,1,2,0,1,0,3,1,0,0,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",NA,0,0,0,2,0
29,0,0,1,3,0,1,1,4,1,0,0,0.327302922429899,-0.0251207729468599,0.659227467811159,0.113186813186813,0.096374813282776,0.0924687409130561,0.659227467811159,"Education_vv_3",0,0,1,0,2,1
34,0,0,1,2,0,0,1,4,1,0,0,0.0692034500253678,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0,0,1,0,3,0
34,0,0,1,2,0,1,0,3,1,0,0,0.108446176119911,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",0,0,1,0,4,0
28,0,0,1,3,0,1,1,2,1,0,1,0.327302922429899,-0.0251207729468599,0.659227467811159,-0.0156563629064633,0.096374813282776,0.0924687409130561,0.659227467811159,"Education_vv_3",0.5,1,2,0,4,1
36,0,0,1,2,0,0,1,3,1,0,1,0.0692034500253678,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.3,1,2,1,5,0
31,0,0,1,2,0,1,0,3,1,0,0,0.108446176119911,0.0760984298720148,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",0.333333333333333,1,2,1,6,0
38,0,0,1,2,0,1,0,3,1,0,1,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",0.214285714285714,1,2,2,7,0
29,0,0,1,2,0,0,0,3,0,0,0,0.108446176119911,0.185077789549992,0.659227467811159,-0.0357142857142857,0.135626692148431,0.264550264550265,0.659227467811159,"Education_vv_3",0.25,1,2,2,8,0
29,0,0,1,2,0,1,1,3,1,0,0,0.327302922429899,-0.0251207729468599,0.659227467811159,0.113186813186813,0.096374813282776,0.0924687409130561,0.659227467811159,"Education_vv_3",0.277777777777778,1,2,2,9,0
23,0,0,1,2,0,0,1,3,1,0,1,0.145934045343826,-0.0251207729468599,0.659227467811159,-0.0156563629064633,-0.00016201036866359,0.18876404494382,0.659227467811159,"Education_vv_3",0.2,1,2,3,10,0
36,0,0,1,3,0,1,1,4,1,0,1,0.0692034500253678,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.366666666666667,2,3,3,10,1
34,0,0,1,2,0,1,1,3,0,0,0,0.0692034500253678,0.257142857142857,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.393939393939394,2,3,3,11,0
24,0,0,1,1,0,0,1,3,1,0,0,0.262852593266606,-0.0251207729468599,0.659227467811159,-0.0156563629064633,-0.00016201036866359,0.0924687409130561,0.659227467811159,"Education_vv_3",0.416666666666667,2,3,3,12,0
24,0,0,1,3,0,1,0,4,1,0,0,0.0362232605323995,0.0760984298720148,0.659227467811159,-0.0156563629064633,-0.107383844225949,0.264550264550265,0.659227467811159,"Education_vv_3",0.25,2,4,3,12,1
52,0,0,1,2,0,1,0,3,1,0,0,0.282588055845227,0.162581913499345,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.269230769230769,2,4,3,13,0
36,0,0,1,2,0,1,0,3,1,0,1,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",0.214285714285714,2,4,4,14,0
37,0,0,1,2,0,1,1,3,1,0,0,0.203663793103448,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.233333333333333,2,4,4,15,0
44,0,0,1,2,0,0,1,3,1,0,0,0.278608505166913,0.227864005912786,0.659227467811159,0.113186813186813,0.0733474320754877,0.301883519206939,0.659227467811159,"Education_vv_3",0.25,2,4,4,16,0
53,0,0,1,2,0,0,0,3,1,0,0,0.282588055845227,0.162581913499345,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.264705882352941,2,4,4,17,0
25,0,0,1,3,0,1,1,3,1,0,1,0.262852593266606,-0.0251207729468599,0.659227467811159,-0.0156563629064633,-0.00016201036866359,0.0924687409130561,0.659227467811159,"Education_vv_3",0.364705882352941,3,5,4,17,1
57,0,0,1,2,0,1,0,3,1,0,0,0.282588055845227,0.195545042381234,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.377777777777778,3,5,4,18,0
47,0,0,1,1,0,1,0,3,1,0,0,0.3371722707747,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.389473684210526,3,5,4,19,0
24,0,0,1,2,0,1,1,4,1,0,0,0.262852593266606,-0.0251207729468599,0.659227467811159,-0.0156563629064633,-0.00016201036866359,0.0924687409130561,0.659227467811159,"Education_vv_3",0.4,3,5,4,20,0
57,0,0,1,2,0,1,0,4,1,0,1,0.282588055845227,0.195545042381234,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.361904761904762,3,5,5,21,0
37,0,0,1,2,0,0,0,3,1,0,0,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.326556776556777,0.659227467811159,"Education_vv_3",0.372727272727273,3,5,5,22,0
45,0,0,1,2,0,0,1,3,1,0,0,0.278608505166913,0.227864005912786,0.659227467811159,0.113186813186813,0.0733474320754877,0.301883519206939,0.659227467811159,"Education_vv_3",0.382608695652174,3,5,5,23,0
25,0,0,1,3,0,1,0,3,1,0,1,0.0362232605323995,0.0760984298720148,0.659227467811159,-0.0156563629064633,-0.107383844225949,0.264550264550265,0.659227467811159,"Education_vv_3",0.449275362318841,4,6,5,23,1
44,0,0,1,3,0,1,0,4,1,0,1,0.3371722707747,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.496894409937888,5,7,5,23,1
38,0,0,1,3,0,0,1,3,1,0,1,0.203663793103448,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.532608695652174,6,8,5,23,1
26,0,0,1,2,0,1,0,3,1,0,0,0.0362232605323995,0.0760984298720148,0.659227467811159,-0.0156563629064633,0.135626692148431,0.264550264550265,0.659227467811159,"Education_vv_3",0.541666666666667,6,8,5,24,0
24,0,0,1,2,0,0,0,3,1,0,0,0.0362232605323995,0.0760984298720148,0.659227467811159,-0.0156563629064633,-0.107383844225949,0.264550264550265,0.659227467811159,"Education_vv_3",0.55,6,8,5,25,0
53,0,0,1,3,0,1,0,4,1,0,1,0.282588055845227,0.162581913499345,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.577777777777778,7,9,5,25,1
51,0,0,1,2,0,1,1,3,1,0,1,0.397388684298627,0.227864005912786,0.659227467811159,0.113186813186813,0.0733474320754877,0.301883519206939,0.659227467811159,"Education_vv_3",0.547008547008547,7,9,6,26,0
57,0,0,1,2,0,1,1,3,1,0,0,0.397388684298627,0.298029556650246,0.659227467811159,0.113186813186813,-0.0245697329376854,0.301883519206939,0.659227467811159,"Education_vv_3",0.555555555555556,7,9,6,27,0
25,0,0,1,2,0,0,1,3,1,0,0,0.262852593266606,-0.0251207729468599,0.659227467811159,-0.0156563629064633,-0.00016201036866359,0.0924687409130561,0.659227467811159,"Education_vv_3",0.563492063492063,7,9,6,28,0
41,0,0,1,3,0,1,0,4,1,0,1,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.585714285714286,8,10,6,28,1
42,0,0,1,2,0,1,0,3,0,0,0,0.197683377850832,0.105618776671408,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.593103448275862,8,10,6,29,0
57,0,0,1,2,0,1,0,3,1,0,0,0.282588055845227,0.195545042381234,0.659227467811159,-0.0357142857142857,0.0449900107576456,0.354242424242424,0.659227467811159,"Education_vv_3",0.6,8,10,6,30,0
31,0,0,1,3,0,1,1,2,1,0,0,0.327302922429899,-0.0251207729468599,0.659227467811159,0.113186813186813,0.096374813282776,0.0924687409130561,0.659227467811159,"Education_vv_3",0.527272727272727,8,11,6,30,1
39,0,0,1,2,0,0,1,3,1,0,0,0.203663793103448,0.227864005912786,0.659227467811159,0.113186813186813,0.096374813282776,0.301883519206939,0.659227467811159,"Education_vv_3",0.533724340175953,8,11,6,31,0
45,0,0,1,2,0,1,0,3,1,0,0,0.3371722707747,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.539772727272727,8,11,6,32,0
42,0,0,1,3,0,1,0,4,1,0,1,0.197683377850832,0.162581913499345,0.659227467811159,-0.0357142857142857,0.135626692148431,0.354242424242424,0.659227467811159,"Education_vv_3",0.5625,9,12,6,32,1
