"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
2,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",NA,0,0,2,1,0
2,0.56,4,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",NA,0,0,4,2,0
1,0.56,4,2,0,1,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",NA,0,0,6,3,0
3,0.56,5,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,6,3,1
1,0.56,2,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,8,4,0
1,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,10,5,0
1,0.56,2,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,12,6,0
2,0.56,3,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,14,7,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,16,8,0
1,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,18,9,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,20,10,0
3,0.56,3,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,22,11,0
3,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,24,12,0
3,0.56,2,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,26,13,0
2,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,28,14,0
1,0.56,2,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,30,15,0
2,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,32,16,0
1,0.56,2,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,34,17,0
2,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,36,18,0
1,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,38,19,0
3,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,40,20,0
1,0.56,3,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,42,21,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,44,22,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,46,23,0
3,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,48,24,0
1,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,50,25,0
3,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,52,26,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,54,27,0
1,0.56,1,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,56,28,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,58,29,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,60,30,0
1,0.56,2,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,62,31,0
1,0.56,4,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,64,32,0
1,0.56,3,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,2,1,66,33,0
1,0.56,5,2,0,0,1,0.561919504643963,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,4,2,66,33,1
1,0.56,3,2,1,0,1,-0.0416666666666665,-0.0472245236122619,0,-0.3,0.987012987012987,3,3,"average_montly_hours_vv_5",0,4,2,68,34,0
