"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.78,2,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,2,1,0
2,0.74,3,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,4,2,0
2,0.81,3,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,6,3,0
1,0.8,1,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,8,4,0
2,0.86,3,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,10,5,0
2,0.97,3,2,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,12,6,0
2,0.59,1,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,15,7,0
1,0.46,3,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,18,8,0
1,0.53,1,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,21,9,0
2,0.54,1,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,24,10,0
1,0.56,1,3,0,1,0,0.138062547673532,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,27,11,0
1,0.55,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,30,12,0
2,0.57,1,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,33,13,0
1,0.53,3,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,36,14,0
1,0.46,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,39,15,0
1,0.54,1,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,42,16,0
1,0.46,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,45,17,0
1,0.48,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,48,18,0
1,0.52,3,3,0,1,0,0,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,51,19,0
1,0.57,1,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,54,20,0
2,0.5,1,3,0,1,0,-0.0671641791044775,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,57,21,0
1,0.53,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,60,22,0
1,0.51,2,3,0,1,0,0,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,63,23,0
1,0.48,3,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,66,24,0
1,0.53,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,69,25,0
1,0.47,2,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,72,26,0
1,0.56,2,3,0,1,0,0.138062547673532,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,75,27,0
1,0.49,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,78,28,0
1,0.46,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,81,29,0
1,0.54,2,3,1,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,84,30,0
2,0.48,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,87,31,0
1,0.54,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,90,32,0
1,0.56,1,3,0,1,0,0.138062547673532,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,93,33,0
1,0.45,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,96,34,0
1,0.47,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,99,35,0
1,0.56,2,3,0,1,0,0.138062547673532,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,102,36,0
1,0.49,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,105,37,0
1,0.52,2,3,0,1,0,0,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,108,38,0
1,0.49,1,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,111,39,0
1,0.54,3,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,114,40,0
2,0.48,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,117,41,0
1,0.47,1,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,120,42,0
2,0.48,1,3,1,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,123,43,0
2,0.83,3,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,126,44,0
1,0.46,2,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,129,45,0
1,0.51,1,3,0,1,0,0,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,132,46,0
1,0.48,2,3,0,1,0,-0.0671641791044775,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,135,47,0
1,0.52,1,3,0,1,0,0,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,138,48,0
1,0.47,2,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,141,49,0
1,0.53,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,144,50,0
2,0.62,3,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,147,51,0
2,0.57,2,3,0,1,0,0.138062547673532,1.59586997487437,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,150,52,0
2,0.5,2,3,0,1,0,-0.0671641791044775,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,153,53,0
1,0.47,3,3,0,1,0,0.000617828773168405,0.245586592178771,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,156,54,0
2,0.54,2,3,0,1,0,-0.0632364493322859,0.0112595076959932,1.64322186935675,1.13469601677149,1.64322186935675,"average_montly_hours_vv_4",NA,0,0,159,55,0
