"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
2,0.74,3,2,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",NA,0,0,2,1,0
1,0.56,3,2,0,1,1,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",NA,0,0,4,2,0
1,0.67,1,2,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",NA,0,0,6,3,0
1,0.73,5,2,0,1,1,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",NA,0,0,8,4,0
3,0.68,4,2,0,1,1,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,2,1,8,4,1
2,0.71,5,2,0,1,1,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,2,1,10,5,0
1,0.56,3,2,0,1,1,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,2,1,12,6,0
2,0.78,3,2,0,1,1,0.35038663352665,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,2,1,14,7,0
3,0.58,3,2,0,1,1,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,4,2,14,7,1
2,0.74,3,2,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,4,2,16,8,0
2,0.71,5,2,0,1,1,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",0,4,2,18,9,0
2,0.51,3,3,1,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.1,4,2,21,10,0
1,0.56,2,3,0,1,1,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.181818181818182,4,2,24,11,0
2,0.45,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.25,4,2,27,12,0
1,0.46,3,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.307692307692307,4,2,30,13,0
2,0.45,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.357142857142857,4,2,33,14,0
2,0.47,3,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.4,4,2,36,15,0
1,0.5,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.4375,4,2,39,16,0
2,0.57,1,3,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.470588235294118,4,2,42,17,0
2,0.5,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.5,4,2,45,18,0
2,0.48,3,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.526315789473684,4,2,48,19,0
1,0.46,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.55,4,2,51,20,0
1,0.54,2,3,0,1,0,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.571428571428572,4,2,54,21,0
2,0.55,1,3,0,1,0,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.590909090909091,4,2,57,22,0
1,0.54,1,3,0,1,0,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.608695652173913,4,2,60,23,0
1,0.54,2,3,0,1,1,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.625,4,2,63,24,0
1,0.49,2,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.64,4,2,66,25,0
1,0.84,3,3,0,1,0,0.35038663352665,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.653846153846154,4,2,69,26,0
1,0.51,2,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.666666666666667,4,2,72,27,0
1,0.52,2,3,0,1,1,-0.00497903563941327,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.678571428571428,4,2,75,28,0
1,0.52,2,3,0,1,1,-0.00497903563941327,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.689655172413793,4,2,78,29,0
1,0.46,2,3,0,1,1,-0.00497903563941327,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.7,4,2,81,30,0
1,0.57,1,3,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.709677419354839,4,2,84,31,0
1,0.46,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.71875,4,2,87,32,0
1,0.49,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.727272727272727,4,2,90,33,0
1,0.57,1,3,0,1,0,0.222612649855312,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.735294117647059,4,2,93,34,0
1,0.5,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.742857142857143,4,2,96,35,0
2,0.53,2,3,0,1,0,0.07190635451505,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.75,4,2,99,36,0
1,0.47,2,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.756756756756757,4,2,102,37,0
1,0.52,2,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.763157894736842,4,2,105,38,0
1,0.5,1,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.769230769230769,4,2,108,39,0
2,0.51,2,3,0,1,0,-0.00316742081447963,1.56021602160216,1.56021602160216,"satisfaction_level_vv_3",-0.775,4,2,111,40,0
