"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","Education_vv_2","Education_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
32,0,0,1,3,1,1,0,3,1,1,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",NA,1,1,0,0,1
58,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",NA,2,2,0,0,1
31,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",1,2,2,0,1,0
29,0,0,1,2,0,0,0,3,0,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",1,2,2,0,2,0
36,0,0,1,3,0,1,0,3,0,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.666666666666667,2,3,0,2,1
22,0,0,1,3,0,1,0,2,1,0,1,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.75,3,4,0,2,1
48,0,0,1,3,1,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.8,4,5,0,2,1
43,0,0,1,2,1,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.466666666666667,4,5,1,3,0
34,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.55,4,5,1,4,0
59,0,0,1,2,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.4,4,5,2,5,0
24,0,0,1,3,0,1,0,4,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.266666666666667,4,6,2,5,1
36,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.166666666666667,4,6,3,6,0
31,0,0,1,2,0,1,0,3,1,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.0952380952380952,4,6,4,7,0
39,0,0,1,2,1,1,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.0416666666666666,4,6,5,8,0
47,0,0,1,1,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.111111111111111,4,6,5,9,0
26,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.166666666666667,4,6,5,10,0
37,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.212121212121212,4,6,5,11,0
25,0,0,1,3,0,1,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.25974025974026,5,7,5,11,1
44,0,0,1,3,0,1,0,4,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.295454545454545,6,8,5,11,1
47,0,0,1,2,1,1,0,3,1,1,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.333333333333333,6,8,5,12,0
36,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.365384615384615,6,8,5,13,0
45,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.393162393162393,7,9,5,13,1
26,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.420634920634921,7,9,5,14,0
24,0,0,1,2,0,0,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.444444444444444,7,9,5,15,0
18,0,0,1,1,0,1,0,2,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.465277777777778,7,9,5,16,0
43,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.483660130718954,7,9,5,17,0
53,0,0,1,3,0,1,0,4,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.505882352941176,8,10,5,17,1
24,0,0,1,2,1,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.522222222222222,8,10,5,18,0
59,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.536842105263158,8,10,5,19,0
31,0,0,1,2,1,1,0,3,1,1,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.55,8,10,5,20,0
56,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.561904761904762,8,10,5,21,0
47,0,0,1,3,0,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.58008658008658,9,11,5,21,1
41,0,0,1,3,0,1,0,4,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.595238095238095,10,12,5,21,1
32,0,0,1,3,0,1,0,4,1,1,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.608058608058608,11,13,5,21,1
64,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.618881118881119,11,13,5,22,0
21,0,0,1,2,0,1,0,2,1,0,1,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.585284280936455,11,13,6,23,0
29,0,0,1,2,0,0,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.596153846153846,11,13,6,24,0
29,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.606153846153846,11,13,6,25,0
22,0,0,1,2,0,1,0,2,1,0,1,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.576923076923077,11,13,7,26,0
40,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.587912087912088,12,14,7,26,1
24,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.597883597883598,12,14,7,27,0
41,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.607407407407407,13,15,7,27,1
38,0,0,1,2,1,1,0,3,1,1,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.616666666666667,13,15,7,28,0
17,0,0,1,1,0,1,0,1,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.625287356321839,13,15,7,29,0
40,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.633333333333333,13,15,7,30,0
64,0,0,1,3,0,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.641666666666667,14,16,7,30,1
50,0,0,1,3,0,0,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.649019607843137,15,17,7,30,1
45,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.624288425047438,15,17,8,31,0
53,0,0,1,2,1,1,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.601102941176471,15,17,9,32,0
22,0,0,1,2,0,1,0,3,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.609625668449198,15,17,9,33,0
54,0,0,1,3,0,0,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.616161616161616,16,18,9,33,1
46,0,0,1,3,0,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.62200956937799,17,19,9,33,1
30,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.630030959752322,17,19,9,34,0
31,0,0,1,3,0,1,0,4,1,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.635294117647059,18,20,9,34,1
38,0,0,1,3,1,1,0,2,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.640056022408964,19,21,9,34,1
25,0,0,1,2,0,0,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.647619047619048,19,21,9,35,0
34,0,0,1,3,0,1,0,4,1,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.651948051948052,20,22,9,35,1
41,0,0,1,3,1,1,0,2,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.655900621118012,21,23,9,35,1
46,0,0,1,3,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.65952380952381,22,24,9,35,1
46,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.666666666666667,22,24,9,36,0
59,0,0,1,2,0,1,0,4,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.646396396396396,22,24,10,37,0
38,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.64972972972973,23,25,10,37,1
44,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.656842105263158,23,25,10,38,0
28,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.663589743589744,23,25,10,39,0
50,0,0,1,2,0,1,0,3,0,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.67,23,25,10,40,0
52,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.67609756097561,23,25,10,41,0
64,0,0,1,1,0,1,0,3,0,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.681904761904762,23,25,10,42,0
40,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.687441860465116,23,25,10,43,0
37,0,0,1,2,1,1,0,2,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.692727272727273,23,25,10,44,0
37,0,0,1,2,1,0,0,3,0,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.675555555555556,23,25,11,45,0
41,0,0,1,3,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.678632478632479,24,26,11,45,1
47,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.683946488294314,24,26,11,46,0
60,0,0,1,2,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.667757774140753,24,26,12,47,0
17,0,0,1,1,0,1,0,2,0,0,1,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.65224358974359,24,26,13,48,0
23,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.657770800627943,24,26,13,49,0
53,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.663076923076923,24,26,13,50,0
44,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.665925925925926,25,27,13,50,1
65,0,0,1,2,0,0,0,2,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.671023965141612,25,27,13,51,0
39,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.675925925925926,25,27,13,52,0
36,0,0,1,3,1,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.678571428571429,26,28,13,52,1
27,0,0,1,3,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.646551724137931,26,29,13,52,1
31,0,0,1,3,0,0,0,3,1,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.65,27,30,13,52,1
26,0,0,1,3,0,1,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.653225806451613,28,31,13,52,1
33,0,0,1,3,0,1,0,4,1,1,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.65625,29,32,13,52,1
35,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.660966981132076,29,32,13,53,0
38,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.663807890222984,30,33,13,53,1
41,0,0,1,1,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.668350168350168,30,33,13,54,0
24,0,0,1,2,1,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.672727272727273,30,33,13,55,0
39,0,0,1,2,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.659090909090909,30,33,14,56,0
50,0,0,1,2,0,0,0,2,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.66347687400319,30,33,14,57,0
54,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.650470219435737,30,33,15,58,0
24,0,0,1,3,0,1,0,3,0,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.623732251521298,30,34,15,58,1
42,0,0,1,3,0,1,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.627093596059113,31,35,15,58,1
49,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.630268199233716,32,36,15,58,1
43,0,0,1,3,0,1,0,4,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.63327120223672,33,37,15,58,1
25,0,0,1,3,0,1,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.636116152450091,34,38,15,58,1
29,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.64049955396967,34,38,15,59,0
52,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.628070175438596,34,38,16,60,0
47,0,0,1,3,0,1,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.630769230769231,35,39,16,60,1
39,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.633333333333333,36,40,16,60,1
37,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.637704918032787,36,40,16,61,0
57,0,0,1,3,1,0,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.640143942423031,37,41,16,61,1
42,0,0,1,2,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.628245476003147,37,41,17,62,0
45,0,0,1,3,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.606758832565284,37,42,17,62,1
36,0,0,1,3,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.586271567891973,37,43,17,62,1
22,0,0,1,3,0,1,0,1,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.566715542521994,37,44,17,62,1
37,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.570250896057348,38,45,17,62,1
29,0,0,1,2,1,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.574603174603175,38,45,17,63,0
46,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.563194444444444,38,45,18,64,0
26,0,0,1,3,0,1,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.566576086956522,39,46,18,64,1
56,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.569813829787234,40,47,18,64,1
35,0,0,1,2,0,0,0,3,0,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.558756137479542,40,47,19,65,0
31,0,0,1,2,0,0,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.563185041908446,40,47,19,66,0
40,0,0,1,3,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.545454545454545,40,48,19,66,1
30,0,0,1,2,0,0,0,4,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.549751243781095,40,48,19,67,0
49,0,0,1,3,0,0,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.553152604325312,41,49,19,67,1
62,0,0,1,3,1,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.536417910447761,41,50,19,67,1
54,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.540588235294118,41,50,19,68,0
56,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.54463768115942,41,50,19,69,0
65,0,0,1,2,0,1,0,2,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.548571428571428,41,50,19,70,0
39,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.552100840336134,42,51,19,70,1
28,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.555923777961889,42,51,19,71,0
44,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.55931744312026,43,52,19,71,1
59,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.562583045442466,44,53,19,71,1
37,0,0,1,3,1,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.565727699530516,45,54,19,71,1
19,0,0,1,2,0,0,0,3,1,0,1,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.555555555555556,45,54,20,72,0
48,0,0,1,3,1,1,0,4,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.558585858585859,46,55,20,72,1
31,0,0,1,2,0,1,0,3,1,0,0,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.56239103362391,46,55,20,73,0
57,0,0,1,2,0,1,0,3,0,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.566093366093366,46,55,20,74,0
28,0,0,1,3,0,0,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.569015444015444,47,56,20,74,1
27,0,0,1,2,0,1,0,4,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.572619047619048,47,56,20,75,0
41,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.575438596491228,48,57,20,75,1
36,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.578947368421053,48,57,20,76,0
38,0,0,1,2,0,0,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.569377990430622,48,57,21,77,0
24,0,0,1,3,0,0,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.572100313479624,49,58,21,77,1
51,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.562776304155615,49,58,22,78,0
40,0,0,1,3,1,1,0,3,1,1,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.565406345067362,50,59,22,78,1
84,0,0,1,2,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.556318386612315,50,59,23,79,0
17,0,0,1,1,0,1,0,1,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.559957627118644,50,59,23,80,0
27,0,0,1,3,0,1,0,3,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.5625,51,60,23,80,1
27,0,0,1,2,0,1,0,3,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.566049382716049,51,60,23,81,0
49,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.569512195121951,51,60,23,82,0
24,0,0,1,3,0,0,0,2,1,0,0,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.555577768892443,51,61,23,82,1
34,0,0,1,3,0,1,0,3,1,0,1,0.0567471590909091,0.775942389758179,0.775942389758179,"Education_vv_3",0.558221872541306,52,62,23,82,1
37,0,0,1,2,0,1,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.561601243684415,52,62,23,83,0
49,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.564161407534902,53,63,23,83,1
38,0,0,1,2,0,0,0,3,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.567460317460317,53,63,23,84,0
56,0,0,1,3,0,1,0,3,1,0,1,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.569940476190476,54,64,23,84,1
20,0,0,1,2,0,1,0,3,1,0,0,0.0382149413924587,0.775942389758179,0.775942389758179,"Education_vv_3",0.573161764705882,54,64,23,85,0
52,0,0,1,2,1,0,0,2,1,0,0,0.130299823339222,0.775942389758179,0.775942389758179,"Education_vv_3",0.576308139534884,54,64,23,86,0
25,0,0,1,2,1,1,0,1,1,0,1,0.135434733428852,0.775942389758179,0.775942389758179,"Education_vv_3",0.567887931034483,54,64,24,87,0
