"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
33,0,1,0,3,1,1,1,3,1,1,1,0.376315385103226,0.722231209278107,0.467938929796219,0.469459503889084,2.93678760528564,2.93678760528564,"SelfEmp_vv_1",NA,1,1,0,0,1,2.93678760528564
33,0,1,0,2,1,1,1,3,1,1,1,0.376315385103226,0.722231209278107,0.467938929796219,0.469459503889084,2.93678760528564,2.93678760528564,"SelfEmp_vv_1",NA,2,2,0,0,1,2.93678760528564
33,0,1,0,2,1,1,1,4,1,1,1,0.376315385103226,0.722231209278107,0.467938929796219,0.469459503889084,2.93678760528564,2.93678760528564,"SelfEmp_vv_1",NA,3,3,0,0,1,2.93678760528564
33,0,1,0,2,1,1,1,4,1,1,1,0.376315385103226,0.722231209278107,0.467938929796219,0.469459503889084,2.93678760528564,2.93678760528564,"SelfEmp_vv_1",NA,4,4,0,0,1,2.93678760528564
33,0,1,0,3,1,1,1,4,1,1,1,0.376315385103226,0.722231209278107,0.467938929796219,0.469459503889084,2.93678760528564,2.93678760528564,"SelfEmp_vv_1",NA,5,5,0,0,1,2.93678760528564
32,0,1,0,2,1,1,1,3,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,6,6,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,4,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,7,7,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,3,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,8,8,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,4,1,1,0,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,8,9,0,0,1,2.93499732017517
32,0,1,0,3,1,1,1,3,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,9,10,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,4,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,10,11,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,4,1,1,0,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,10,12,0,0,1,2.93499732017517
32,0,1,0,3,1,1,1,4,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,11,13,0,0,1,2.93499732017517
32,0,1,0,3,1,1,1,4,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,12,14,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,3,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,13,15,0,0,1,2.93499732017517
32,0,1,0,2,1,1,1,4,1,1,1,0.375464528799057,0.716074883937836,0.468199819326401,0.435048550367355,2.93499732017517,2.93499732017517,"SelfEmp_vv_1",NA,14,16,0,0,1,2.93499732017517
34,0,1,0,2,1,1,1,4,1,1,1,0.378789633512497,0.742679595947266,0.470238864421844,0.502455592155457,2.93169593811035,2.93169593811035,"SelfEmp_vv_1",NA,15,17,0,0,1,2.93169593811035
34,0,1,0,2,1,1,1,4,1,1,1,0.378789633512497,0.742679595947266,0.470238864421844,0.502455592155457,2.93169593811035,2.93169593811035,"SelfEmp_vv_1",NA,16,18,0,0,1,2.93169593811035
34,0,1,0,3,1,1,1,4,1,1,1,0.378789633512497,0.742679595947266,0.470238864421844,0.502455592155457,2.93169593811035,2.93169593811035,"SelfEmp_vv_1",NA,17,19,0,0,1,2.93169593811035
34,0,1,0,3,1,1,1,3,1,1,1,0.378789633512497,0.742679595947266,0.470238864421844,0.502455592155457,2.93169593811035,2.93169593811035,"SelfEmp_vv_1",NA,18,20,0,0,1,2.93169593811035
34,0,1,0,3,1,1,1,4,1,1,1,0.378789633512497,0.742679595947266,0.470238864421844,0.502455592155457,2.93169593811035,2.93169593811035,"SelfEmp_vv_1",NA,19,21,0,0,1,2.93169593811035
32,0,1,0,2,0,1,1,4,1,1,1,0.374609529972076,0.743613064289093,0.466686487197876,0.884468853473663,2.92446136474609,2.92446136474609,"SelfEmp_vv_1",NA,20,22,0,0,1,2.92446136474609
34,0,1,0,2,0,1,1,4,1,1,1,0.37808558344841,0.766293942928314,0.468724429607391,0.863211095333099,2.92297530174255,2.92297530174255,"SelfEmp_vv_1",NA,21,23,0,0,1,2.92297530174255
34,0,1,0,2,0,1,1,4,1,1,1,0.37808558344841,0.766293942928314,0.468724429607391,0.863211095333099,2.92297530174255,2.92297530174255,"SelfEmp_vv_1",NA,22,24,0,0,1,2.92297530174255
35,0,1,0,3,1,1,1,3,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,23,25,0,0,1,2.92194509506226
35,0,1,0,3,1,1,1,4,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,24,26,0,0,1,2.92194509506226
35,0,1,0,3,1,1,1,4,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,25,27,0,0,1,2.92194509506226
35,0,1,0,3,1,1,1,4,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,26,28,0,0,1,2.92194509506226
35,0,1,0,3,1,1,1,3,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,27,29,0,0,1,2.92194509506226
35,0,1,0,2,1,1,1,3,1,1,1,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,28,30,0,0,1,2.92194509506226
35,0,1,0,3,1,1,1,3,1,1,0,0.379421710968018,0.75239109992981,0.475211799144745,0.506156265735626,2.92194509506226,2.92194509506226,"SelfEmp_vv_1",NA,28,31,0,0,1,2.92194509506226
37,0,1,0,2,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,29,32,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,30,33,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,31,34,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,32,35,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,4,1,1,0,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,32,36,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,33,37,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,34,38,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,3,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,35,39,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,3,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,36,40,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,37,41,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,3,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,38,42,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,39,43,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,40,44,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,41,45,0,0,1,2.92185568809509
37,0,1,0,3,1,1,1,4,1,1,1,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,42,46,0,0,1,2.92185568809509
37,0,1,0,2,1,1,1,4,1,1,0,0.378341645002365,0.753352463245392,0.474621325731277,0.441531717777252,2.92185568809509,2.92185568809509,"SelfEmp_vv_1",NA,42,47,0,0,1,2.92185568809509
36,0,1,0,2,1,1,1,4,1,1,0,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,42,48,0,0,1,2.92015767097473
36,0,1,0,3,1,1,1,3,1,1,1,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,43,49,0,0,1,2.92015767097473
36,0,1,0,3,1,1,1,3,1,1,1,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,44,50,0,0,1,2.92015767097473
36,0,1,0,3,1,1,1,4,1,1,1,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,45,51,0,0,1,2.92015767097473
36,0,1,0,2,1,1,1,4,1,1,0,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,45,52,0,0,1,2.92015767097473
36,0,1,0,3,1,1,1,3,1,1,0,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,45,53,0,0,1,2.92015767097473
36,0,1,0,2,1,1,1,3,1,1,0,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,45,54,0,0,1,2.92015767097473
36,0,1,0,2,1,1,1,3,1,1,1,0.379497140645981,0.752614736557007,0.475929707288742,0.439089685678482,2.92015767097473,2.92015767097473,"SelfEmp_vv_1",NA,46,55,0,0,1,2.92015767097473
37,0,1,0,3,0,1,1,4,1,1,1,0.377691328525543,0.771320462226868,0.475002497434616,0.706433475017548,2.91908717155457,2.91908717155457,"SelfEmp_vv_1",NA,47,56,0,0,1,2.91908717155457
37,0,1,0,3,0,1,1,4,1,1,1,0.377691328525543,0.771320462226868,0.475002497434616,0.706433475017548,2.91908717155457,2.91908717155457,"SelfEmp_vv_1",NA,48,57,0,0,1,2.91908717155457
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,49,58,0,0,1,2.91680955886841
39,0,1,0,2,1,1,1,3,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,50,59,0,0,1,2.91680955886841
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,51,60,0,0,1,2.91680955886841
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,52,61,0,0,1,2.91680955886841
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,53,62,0,0,1,2.91680955886841
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,54,63,0,0,1,2.91680955886841
39,0,1,0,2,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,55,64,0,0,1,2.91680955886841
39,0,1,0,2,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,56,65,0,0,1,2.91680955886841
39,0,1,0,2,1,1,1,3,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,57,66,0,0,1,2.91680955886841
39,0,1,0,3,1,1,1,4,1,1,1,0.375661820173264,0.783645749092102,0.475982666015625,0.502091944217682,2.91680955886841,2.91680955886841,"SelfEmp_vv_1",NA,58,67,0,0,1,2.91680955886841
