"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
30,0,0,1,3,1,0,1,3,0,1,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,1,1,0
20,1,0,0,2,0,0,1,3,1,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,2,2,0
22,0,0,1,2,1,0,1,1,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,2,3,0
25,1,0,0,2,1,0,0,3,1,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,3,4,0
28,1,0,0,2,0,0,0,2,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,3,5,0
31,1,0,0,2,0,0,0,3,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,3,6,0
42,1,0,0,3,0,0,1,4,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,3,7,0
28,1,0,0,2,0,0,0,3,0,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,8,0
34,1,0,0,2,0,0,1,3,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,9,0
38,1,0,0,2,0,0,0,2,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,10,0
36,1,0,0,3,1,0,1,3,1,1,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,11,0
54,1,0,0,2,1,0,1,2,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,12,0
60,0,0,0,1,0,0,0,1,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",NA,0,0,4,13,0
36,0,1,0,3,0,0,0,3,1,1,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.692307692307692,1,1,4,13,1
28,1,0,0,1,1,0,1,3,0,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.714285714285714,1,1,4,14,0
27,1,0,0,2,0,0,1,3,0,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.666666666666667,1,1,5,15,0
34,0,0,1,2,0,0,1,4,1,0,0,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.6875,1,1,5,16,0
44,1,0,0,2,0,0,0,3,1,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.647058823529412,1,1,6,17,0
51,1,0,0,2,1,0,1,3,1,0,1,0.413135871502824,0.413135871502824,"SelfEmp_vv_1",0.611111111111111,1,1,7,18,0
