"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
17,0,0,1,1,0,1,0,2,0,0,1,1.96810007095337,2.31329393386841,0.107956856489182,2.93418622016907,0.491007477045059,2.93418622016907,"WorkHour_vv_4",NA,0,0,1,1,0,2.93418622016907
17,0,0,1,1,0,1,0,1,1,0,0,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,1,2,0,2.75195336341858
17,0,0,1,1,0,1,0,1,1,0,0,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,1,3,0,2.75195336341858
17,0,0,1,1,0,1,0,1,1,0,0,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,1,4,0,2.75195336341858
17,0,0,1,1,0,1,0,3,1,0,1,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,2,5,0,2.75195336341858
17,0,0,1,1,0,1,0,3,1,0,0,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,2,6,0,2.75195336341858
17,0,0,1,1,0,1,0,2,1,0,1,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,3,7,0,2.75195336341858
17,0,0,1,1,0,1,0,1,1,0,1,1.9490122795105,2.340252161026,0.190398782491684,2.75195336341858,0.52056884765625,2.75195336341858,"WorkHour_vv_4",NA,0,0,4,8,0,2.75195336341858
17,0,0,1,1,0,0,0,3,1,0,0,1.97696280479431,2.31708455085754,-0.277435839176178,2.7467737197876,0.454808741807938,2.7467737197876,"WorkHour_vv_4",NA,0,0,4,9,0,2.7467737197876
18,0,0,1,1,0,1,0,2,1,0,0,-0.28364959359169,0.698960185050964,0.211906716227531,2.5222704410553,0.523455798625946,2.5222704410553,"WorkHour_vv_4",NA,0,0,4,10,0,2.5222704410553
