"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_2","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
84,0,0,1,2,0,1,0,3,1,0,1,-0.22355180978775,0.502596735954285,2.74805164337158,2.94761395454407,3.26380801200867,0.707172751426697,3.26380801200867,"WorkHour_vv_4",NA,0,0,1,1,0,3.26380801200867
17,0,0,1,1,0,1,0,2,0,0,1,1.56985819339752,2.26609373092651,1.96821105480194,2.74295496940613,3.11004257202148,0.498121857643127,3.11004257202148,"WorkHour_vv_4",NA,0,0,2,2,0,3.11004257202148
17,0,0,1,1,0,1,0,1,1,0,1,1.92178654670715,2.3072235584259,1.71927320957184,2.56190872192383,3.02118802070618,0.461088627576828,3.02118802070618,"WorkHour_vv_4",NA,0,0,3,3,0,3.02118802070618
33,0,1,0,3,1,1,1,3,1,1,1,0.400127828121185,0.839453041553497,0.00315465638414025,0.48486390709877,0.551843643188477,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,1,1,3,3,1,2.83855390548706
32,0,1,0,2,1,1,1,3,1,1,1,0.399548470973969,0.772145330905914,0.00315465638414025,0.486663013696671,0.482305139303207,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,2,2,3,3,1,2.83855390548706
32,0,1,0,3,1,1,1,3,1,1,1,0.399548470973969,0.772145330905914,0.00315465638414025,0.486663013696671,0.482305139303207,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,3,3,3,3,1,2.83855390548706
33,0,1,0,2,1,1,1,4,1,1,1,0.400127828121185,0.839453041553497,0.00315465638414025,0.48486390709877,0.551843643188477,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,4,4,3,3,1,2.83855390548706
32,0,1,0,3,1,1,1,3,1,1,1,0.399548470973969,0.772145330905914,0.00315465638414025,0.486663013696671,0.482305139303207,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,5,5,3,3,1,2.83855390548706
32,0,1,0,2,1,1,1,4,1,1,1,0.399548470973969,0.772145330905914,0.00315465638414025,0.486663013696671,0.482305139303207,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,6,6,3,3,1,2.83855390548706
33,0,1,0,2,1,1,1,3,1,1,1,0.400127828121185,0.839453041553497,0.00315465638414025,0.48486390709877,0.551843643188477,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,7,7,3,3,1,2.83855390548706
32,0,1,0,3,1,1,1,3,1,1,1,0.399548470973969,0.772145330905914,0.00315465638414025,0.486663013696671,0.482305139303207,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,8,8,3,3,1,2.83855390548706
33,0,1,0,2,1,1,1,4,1,1,1,0.400127828121185,0.839453041553497,0.00315465638414025,0.48486390709877,0.551843643188477,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,9,9,3,3,1,2.83855390548706
33,0,1,0,3,1,1,1,3,1,1,1,0.400127828121185,0.839453041553497,0.00315465638414025,0.48486390709877,0.551843643188477,2.83855390548706,2.83855390548706,"SelfEmp_vv_1",0,10,10,3,3,1,2.83855390548706
