"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","SelfEmp_vv_1","Education_vv_2","Education_vv_3","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
40,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",NA,0,0,0,1,0
36,0,0,1,2,1,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",NA,0,0,0,2,0
41,0,0,1,2,0,0,0,2,1,0,0,0.387245915016806,0.163056341651659,0.770856940509915,0.139543446244477,0.121171123372948,0.442025892730118,0.770856940509915,"Education_vv_3",NA,0,0,0,3,0
42,0,0,1,2,1,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",NA,0,0,0,4,0
45,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",1,1,1,0,4,1
31,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.104346821456829,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",1,1,1,0,5,0
18,0,0,1,1,0,1,0,1,1,0,0,0.22472015964935,0.0476190476190476,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",1,1,1,0,6,0
46,0,0,1,2,1,1,0,3,1,1,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",1,1,1,0,7,0
62,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",1,2,2,0,7,1
38,0,0,1,2,1,1,0,3,1,1,1,0.22472015964935,0.163056341651659,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.875,2,2,1,8,0
23,0,0,1,3,0,1,0,4,1,0,1,0.22472015964935,0.104346821456829,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.875,3,3,1,8,1
48,0,0,1,3,1,1,0,3,1,1,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.875,4,4,1,8,1
43,0,0,1,2,1,1,0,3,1,1,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.777777777777778,4,4,2,9,0
59,0,0,1,2,0,1,0,3,0,0,1,0.369749673186694,0.163056341651659,0.770856940509915,0.139543446244477,0.0129108525334941,0.442025892730118,0.770856940509915,"Education_vv_3",0.7,4,4,3,10,0
49,0,0,1,3,0,0,0,3,1,0,1,0.387245915016806,0.163056341651659,0.770856940509915,0.139543446244477,0.121171123372948,0.442025892730118,0.770856940509915,"Education_vv_3",0.7,5,5,3,10,1
52,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.727272727272727,5,5,3,11,0
61,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.75,5,5,3,12,0
31,0,0,1,2,0,1,0,3,1,0,1,0.22472015964935,0.104346821456829,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.692307692307692,5,5,4,13,0
43,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.714285714285714,5,5,4,14,0
22,0,0,1,2,0,1,0,2,1,0,1,0.22472015964935,0.0476190476190476,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.666666666666667,5,5,5,15,0
42,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.666666666666667,6,6,5,15,1
25,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.104346821456829,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.666666666666667,7,7,5,15,1
18,0,0,1,1,0,1,0,2,1,0,0,0.22472015964935,0.0476190476190476,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.6875,7,7,5,16,0
43,0,0,1,2,0,0,0,3,1,0,0,0.387245915016806,0.163056341651659,0.770856940509915,0.139543446244477,0.121171123372948,0.442025892730118,0.770856940509915,"Education_vv_3",0.705882352941176,7,7,5,17,0
56,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.722222222222222,7,7,5,18,0
45,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.722222222222222,8,8,5,18,1
41,0,0,1,3,0,1,0,4,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.722222222222222,9,9,5,18,1
54,0,0,1,3,0,1,0,3,1,0,1,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.722222222222222,10,10,5,18,1
74,0,0,1,2,0,1,0,1,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.736842105263158,10,10,5,19,0
22,0,0,1,2,0,1,0,3,1,0,1,0.22472015964935,0.0476190476190476,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.7,10,10,6,20,0
32,0,0,1,2,0,0,0,3,1,0,0,0.387245915016806,0.104346821456829,0.770856940509915,-0.00968992248062014,0.121171123372948,0.442025892730118,0.770856940509915,"Education_vv_3",0.714285714285714,10,10,6,21,0
64,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,0.139543446244477,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.727272727272727,10,10,6,22,0
36,0,0,1,2,0,1,0,4,1,0,0,0.22472015964935,0.163056341651659,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.739130434782609,10,10,6,23,0
29,0,0,1,2,0,1,0,3,1,0,0,0.22472015964935,0.104346821456829,0.770856940509915,-0.00968992248062014,0.210097271093489,0.442025892730118,0.770856940509915,"Education_vv_3",0.75,10,10,6,24,0
