"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","satisfaction_level_vv_2","satisfaction_level_vv_3","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
2,0.74,3,2,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,2,1,0
1,0.67,1,2,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,4,2,0
2,0.74,3,2,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,6,3,0
2,0.51,3,3,1,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,9,4,0
2,0.45,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,12,5,0
1,0.46,3,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,15,6,0
2,0.45,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,18,7,0
2,0.47,3,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,21,8,0
1,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,24,9,0
2,0.57,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,27,10,0
2,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,30,11,0
2,0.48,3,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,33,12,0
1,0.46,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,36,13,0
1,0.54,2,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,39,14,0
2,0.55,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,42,15,0
1,0.54,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,45,16,0
1,0.49,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,48,17,0
1,0.84,3,3,0,1,0,0.923510705411286,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,51,18,0
1,0.51,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,54,19,0
1,0.57,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,57,20,0
1,0.46,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,60,21,0
1,0.49,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,63,22,0
1,0.57,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,66,23,0
1,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,69,24,0
2,0.53,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,72,25,0
1,0.47,2,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,75,26,0
1,0.52,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,78,27,0
1,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,81,28,0
2,0.51,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,84,29,0
1,0.55,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,87,30,0
2,0.57,3,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,90,31,0
1,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,93,32,0
1,0.5,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,96,33,0
2,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,99,34,0
1,0.46,2,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,102,35,0
1,0.5,5,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,105,36,0
1,0.5,1,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,108,37,0
1,0.46,3,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,111,38,0
1,0.56,1,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,114,39,0
1,0.53,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,117,40,0
1,0.53,2,3,0,1,0,0.0603901309343549,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,120,41,0
1,0.56,5,3,0,1,0,-0.13774647887324,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,123,42,0
1,0.48,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,126,43,0
1,0.46,1,3,0,1,0,-0.0396072478891947,1.68985598729389,1.68985598729389,"satisfaction_level_vv_3",NA,0,0,129,44,0
