"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","Extraversion_vv_2","Extraversion_vv_3","Extraversion_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
16.39425051,1,0,28,1,0,1,1,0,1,0,0,0,0,0,0.333333333333333,-0.25,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,1,0
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0,0.692307692307692,0.5,0.2,1,1,"Extraversion_vv_4",NA,0,0,0,2,0
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0,0,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,3,0
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0,0,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,0,4,0
3.975359343,1,0,29,1,1,1,1,1,1,0,0,0,0,0,0.23728813559322,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,0,5,0
86.83367556,1,0,29,1,0,0,1,0,2,0,0,1,0,1,0.692307692307692,0.5,0.75,1,1,"Extraversion_vv_4",NA,0,0,1,6,0
3.975359343,1,0,29,0,0,1,1,1,1,0,0,0,0,0,0.18025078369906,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,7,0
10.84188912,1,0,30.40033257,1,0,1,1,1,1,0,0,1,0,0,0.18025078369906,0.0539682539682539,0.75,1,1,"Extraversion_vv_4",NA,0,0,1,8,0
11.30184805,1,0,34,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333,0.329545454545455,1,1,"Extraversion_vv_4",NA,0,0,1,9,0
39.06365503,1,0,31,1,0,0,1,1,2,0,0,0,0,0,0.18025078369906,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,10,0
8.31211499,1,0,29,0,0,0,1,1,1,0,0,0,0,0,0.18025078369906,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",NA,0,0,1,11,0
73.65913758,1,0,30,1,1,0,1,1,4,0,0,1,0,1,0.23728813559322,0.0539682539682539,0.75,1,1,"Extraversion_vv_4",0.909090909090909,1,1,1,11,1
150.1437372,1,0,33,1,0,0,1,0,3,0,0,1,0,1,0.692307692307692,0,0.8,1,1,"Extraversion_vv_4",0.833333333333333,1,1,2,12,0
29.01026694,1,0,28,0,0,1,1,1,1,0,0,0,0,0,0.18025078369906,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",0.846153846153846,1,1,2,13,0
155.1704312,1,0,33,1,0,0,1,0,3,0,0,1,0,1,0.692307692307692,0,0.8,1,1,"Extraversion_vv_4",0.785714285714286,1,1,3,14,0
164.5667351,0,0,27,0,0,0,1,0,4,0,0,1,0,1,0.692307692307692,-0.25,0.2,1,1,"Extraversion_vv_4",0.785714285714286,2,2,3,14,1
34.0698152,1,0,34,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333,0.329545454545455,1,1,"Extraversion_vv_4",0.8,2,2,3,15,0
22.57084189,1,0,30,1,0,1,0,1,1,0,0,0,0,0,0.18025078369906,0.0539682539682539,0.659090909090909,1,1,"Extraversion_vv_4",0.8125,2,2,3,16,0
22.24229979,1,0,34,1,0,1,1,0,1,0,0,0,0,0,0,0,0.329545454545455,1,1,"Extraversion_vv_4",0.823529411764706,2,2,3,17,0
17.41273101,1,0,27,1,1,0,0,0,1,0,0,1,0,0,0.578947368421053,-0.25,0.75,1,1,"Extraversion_vv_4",0.833333333333333,2,2,3,18,0
7.589322382,1,0,22,1,1,0,0,0,2,0,1,0,0,0,0.578947368421053,0.9,0.329545454545455,-0.619047619047619,0.9,"Extraversion_vv_2",0.5,2,3,3,18,1
49.3798768,1,0,22,0,0,0,0,0,3,1,1,0,0,0,0.382978723404255,0.9,0.329545454545455,-0.619047619047619,0.9,"Extraversion_vv_2",0.508771929824561,2,3,3,19,0
8.640657084,1,0,23,0,0,0,1,0,4,0,1,0,0,0,0.444444444444444,0.9,0.329545454545455,-0.619047619047619,0.9,"Extraversion_vv_2",0.516666666666667,2,3,3,20,0
46.78439425,1,0,23,0,0,0,1,0,4,1,1,0,0,0,0.382978723404255,0.9,0.329545454545455,-0.619047619047619,0.9,"Extraversion_vv_2",0.523809523809524,2,3,3,21,0
76.15605749,0,0,24,1,1,1,1,0,2,1,0,1,1,1,0.578947368421053,0.9,0.4,0.428571428571429,0.9,"Extraversion_vv_2",0.607142857142857,3,4,3,21,1
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,0.727272727272727,0.9,0.329545454545455,0.764705882352941,0.9,"Extraversion_vv_2",0.568181818181818,3,4,4,22,0
61.73305955,1,1,23,0,0,1,1,0,4,1,1,0,0,1,0.727272727272727,0.9,0.329545454545455,0.764705882352941,0.9,"Extraversion_vv_2",0.532608695652174,3,4,5,23,0
133.9137577,1,1,19,0,0,0,1,0,2,0,0,1,1,1,0.692307692307692,0.9,0.444444444444444,0.371428571428571,0.9,"Extraversion_vv_2",0.582608695652174,4,5,5,23,1
