Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
43,0,0,1,3,1,1,0,3,1,1,1,1.119731420924478,Education_vv_3,1,1.0,1.0,0.0,0.0,1.0
43,0,0,1,3,1,1,0,3,1,1,1,1.119731420924478,Education_vv_3,1,2.0,2.0,0.0,0.0,1.0
43,0,0,1,2,1,1,0,3,1,1,0,1.119731420924478,Education_vv_3,0,2.0,2.0,1.0,0.0,1.0
43,0,0,1,2,1,1,0,3,1,1,1,1.119731420924478,Education_vv_3,0,2.0,2.0,2.0,1.0,0.5
43,0,0,1,2,1,1,0,3,1,0,0,1.1056283547887125,Education_vv_3,0,2.0,2.0,3.0,1.0,0.6666666666666667
43,0,0,1,2,1,1,0,3,1,0,0,1.1056283547887125,Education_vv_3,0,2.0,2.0,4.0,1.0,0.75
43,0,0,1,3,1,1,0,2,1,0,1,1.1056283547887125,Education_vv_3,1,3.0,3.0,4.0,1.0,0.75
46,0,0,1,2,1,0,0,3,1,0,0,1.1016287494095154,Education_vv_3,0,3.0,3.0,5.0,1.0,0.8
42,0,0,1,2,1,1,0,3,1,1,1,1.0932259767042884,Education_vv_3,0,3.0,3.0,6.0,2.0,0.6666666666666667
42,0,0,1,3,1,1,0,2,1,1,1,1.0932259767042884,Education_vv_3,1,4.0,4.0,6.0,2.0,0.6666666666666667
42,0,0,1,3,1,1,0,4,1,1,1,1.0932259767042884,Education_vv_3,1,5.0,5.0,6.0,2.0,0.6666666666666667
62,0,0,1,3,0,1,0,2,0,0,1,1.0814739891690084,Education_vv_3,1,6.0,6.0,6.0,2.0,0.6666666666666667
62,0,0,1,3,0,1,0,4,0,0,1,1.0814739891690084,Education_vv_3,1,7.0,7.0,6.0,2.0,0.6666666666666667
55,0,0,1,2,0,1,0,3,1,0,1,1.05330105257562,Education_vv_3,0,7.0,7.0,7.0,3.0,0.5714285714285714
55,0,0,1,3,0,1,0,4,1,0,1,1.05330105257562,Education_vv_3,1,8.0,8.0,7.0,3.0,0.5714285714285714
55,0,0,1,2,0,1,0,3,1,0,0,1.05330105257562,Education_vv_3,0,8.0,8.0,8.0,3.0,0.625
55,0,0,1,2,0,1,0,3,1,0,0,1.05330105257562,Education_vv_3,0,8.0,8.0,9.0,3.0,0.6666666666666667
43,0,0,1,3,0,1,0,3,1,1,1,1.0307845541030867,Education_vv_3,1,9.0,9.0,9.0,3.0,0.6666666666666667
43,0,0,1,3,0,1,0,4,1,1,1,1.0307845541030867,Education_vv_3,1,10.0,10.0,9.0,3.0,0.6666666666666667
43,0,0,1,2,0,1,0,4,1,1,0,1.0307845541030867,Education_vv_3,0,10.0,10.0,10.0,3.0,0.7
42,0,0,1,3,0,1,0,4,1,1,1,1.0286555457092432,Education_vv_3,1,11.0,11.0,10.0,3.0,0.7
44,0,0,1,3,1,1,0,3,1,1,1,1.0262181638240613,Education_vv_3,1,12.0,12.0,10.0,3.0,0.7
44,0,0,1,3,1,1,0,3,1,1,1,1.0262181638240613,Education_vv_3,1,13.0,13.0,10.0,3.0,0.7
54,0,0,1,2,0,1,0,3,1,0,0,1.021945583124161,Education_vv_3,0,13.0,13.0,11.0,3.0,0.7272727272727273
54,0,0,1,2,0,1,0,3,1,0,0,1.021945583124161,Education_vv_3,0,13.0,13.0,12.0,3.0,0.75
54,0,0,1,3,0,1,0,3,1,0,1,1.021945583124161,Education_vv_3,1,14.0,14.0,12.0,3.0,0.75
43,0,0,1,3,1,0,0,4,1,1,1,1.0178461851344172,Education_vv_3,1,15.0,15.0,12.0,3.0,0.75
41,0,0,1,2,0,1,0,3,1,1,0,1.0107240583059665,Education_vv_3,0,15.0,15.0,13.0,3.0,0.7692307692307692
39,0,0,1,3,1,1,0,4,1,1,1,0.9976778364318291,Education_vv_3,1,16.0,16.0,13.0,3.0,0.7692307692307692
39,0,0,1,3,1,1,0,3,1,1,1,0.9976778364318291,Education_vv_3,1,17.0,17.0,13.0,3.0,0.7692307692307692
43,0,0,1,2,0,1,0,1,1,0,1,0.9894911254755987,Education_vv_3,0,17.0,17.0,14.0,4.0,0.7142857142857143
43,0,0,1,2,0,1,0,3,1,0,0,0.9894911254755987,Education_vv_3,0,17.0,17.0,15.0,4.0,0.7333333333333334
43,0,0,1,2,0,1,0,3,1,0,0,0.9894911254755987,Education_vv_3,0,17.0,17.0,16.0,4.0,0.75
43,0,0,1,2,0,1,0,3,1,0,1,0.9894911254755987,Education_vv_3,0,17.0,17.0,17.0,5.0,0.7058823529411764
43,0,0,1,2,0,1,0,2,1,0,0,0.9894911254755987,Education_vv_3,0,17.0,17.0,18.0,5.0,0.7222222222222222
43,0,0,1,2,0,1,0,3,1,0,1,0.9894911254755987,Education_vv_3,0,17.0,17.0,19.0,6.0,0.6842105263157895
43,0,0,1,2,0,1,0,3,1,0,0,0.9894911254755987,Education_vv_3,0,17.0,17.0,20.0,6.0,0.7
43,0,0,1,3,0,1,0,4,1,0,1,0.9894911254755987,Education_vv_3,1,18.0,18.0,20.0,6.0,0.7
