Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
34,0,0,1,3,1,0,0,3,1,1,1,1.1810694061223015,SelfEmp_vv_1,0,0.0,0.0,1.0,1.0,0.0
34,1,0,0,2,1,0,1,3,1,1,0,1.1212567178403514,SelfEmp_vv_1,0,0.0,0.0,2.0,1.0,0.0
34,1,0,0,2,1,0,1,3,1,1,0,1.1212567178403514,SelfEmp_vv_1,0,0.0,0.0,3.0,1.0,0.0
34,1,0,0,2,1,0,1,4,1,1,1,1.1212567178403514,SelfEmp_vv_1,0,0.0,0.0,4.0,2.0,0.0
34,1,0,0,3,1,0,1,3,1,1,1,1.1212567178403514,SelfEmp_vv_1,0,0.0,0.0,5.0,3.0,0.0
27,1,0,0,1,0,0,0,2,0,0,1,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,6.0,4.0,0.0
27,1,0,0,3,0,0,0,3,0,0,0,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,7.0,4.0,0.0
27,1,0,0,3,0,0,0,3,0,0,0,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,8.0,4.0,0.0
27,1,0,0,3,0,0,0,3,0,0,0,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,9.0,4.0,0.0
27,1,0,0,3,0,0,0,4,0,0,0,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,10.0,4.0,0.0
27,1,0,0,2,0,0,0,3,0,0,1,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,11.0,5.0,0.0
27,1,0,0,2,0,0,0,3,0,0,0,1.1137328528069836,SelfEmp_vv_1,0,0.0,0.0,12.0,5.0,0.0
30,0,0,0,3,1,1,1,3,1,1,0,1.1079727295248338,SelfEmp_vv_1,0,0.0,0.0,13.0,5.0,0.0
30,0,1,0,2,1,1,1,4,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,1.0,1.0,13.0,5.0,0.6153846153846154
30,0,1,0,3,1,1,1,4,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,2.0,2.0,13.0,5.0,0.6153846153846154
30,0,1,0,3,1,1,1,4,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,3.0,3.0,13.0,5.0,0.6153846153846154
30,0,1,0,3,1,1,1,4,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,4.0,4.0,13.0,5.0,0.6153846153846154
30,0,1,0,2,1,1,1,4,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,5.0,5.0,13.0,5.0,0.6153846153846154
30,0,1,0,3,1,1,1,3,1,1,1,1.1079727295248338,SelfEmp_vv_1,1,6.0,6.0,13.0,5.0,0.6153846153846154
30,0,1,0,2,0,1,1,4,1,1,1,1.1067904071025874,SelfEmp_vv_1,1,7.0,7.0,13.0,5.0,0.6153846153846154
27,0,0,1,3,0,0,0,3,0,0,1,1.0996431553296118,SelfEmp_vv_1,0,7.0,7.0,14.0,6.0,0.5714285714285714
34,0,0,1,2,1,0,1,3,1,1,0,1.0987096760776738,SelfEmp_vv_1,0,7.0,7.0,15.0,6.0,0.6
34,0,0,1,2,1,0,1,3,1,1,1,1.0987096760776738,SelfEmp_vv_1,0,7.0,7.0,16.0,7.0,0.5625
45,0,0,1,2,0,0,1,3,0,0,0,1.0946042040678674,SelfEmp_vv_1,0,7.0,7.0,17.0,7.0,0.5882352941176471
61,1,0,0,2,0,0,1,3,1,1,0,1.08703753623443,SelfEmp_vv_1,0,7.0,7.0,18.0,7.0,0.6111111111111112
28,1,0,0,2,0,0,0,3,0,0,1,1.0864401472853735,SelfEmp_vv_1,0,7.0,7.0,19.0,8.0,0.5789473684210527
28,1,0,0,3,0,0,0,3,0,0,1,1.0864401472853735,SelfEmp_vv_1,0,7.0,7.0,20.0,9.0,0.55
28,1,0,0,1,0,0,0,3,0,0,0,1.0864401472853735,SelfEmp_vv_1,0,7.0,7.0,21.0,9.0,0.5714285714285714
28,1,0,0,2,0,0,0,3,0,0,0,1.0864401472853735,SelfEmp_vv_1,0,7.0,7.0,22.0,9.0,0.5909090909090908
39,1,0,0,2,0,0,1,3,1,1,1,1.0860530464913252,SelfEmp_vv_1,0,7.0,7.0,23.0,10.0,0.5652173913043479
