Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
60,0,1,0,1,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,1.0,0.0,0.0
60,0,1,0,2,1,1,1,4,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,2.0,0.0,0.0
60,0,1,0,1,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,3.0,0.0,0.0
60,0,0,0,2,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,4.0,0.0,0.0
60,0,0,0,2,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,5.0,0.0,0.0
60,0,1,0,3,1,1,1,4,1,1,1,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,6.0,1.0,0.0
60,0,1,0,2,1,1,1,4,1,1,1,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,7.0,2.0,0.0
60,0,1,0,1,1,1,1,4,1,1,1,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,8.0,3.0,0.0
60,0,0,0,3,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,9.0,3.0,0.0
60,0,0,0,1,1,1,1,3,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,10.0,3.0,0.0
60,0,0,0,3,1,1,1,1,1,1,0,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,11.0,3.0,0.0
60,0,1,0,3,1,1,1,4,1,1,1,0.803762834333642,WorkHour_vv_2,0,0.0,0.0,12.0,4.0,0.0
54,1,0,0,1,0,0,1,3,1,1,0,0.8030149851135197,WorkHour_vv_3,1,1.0,0.0,12.0,4.0,-0.3333333333333333
53,1,0,0,2,0,1,1,3,1,1,1,0.7915044987884615,WorkHour_vv_4,0,1.0,0.0,13.0,5.0,-0.38461538461538464
53,1,0,0,3,0,1,1,3,1,1,0,0.7915044987884615,WorkHour_vv_4,0,1.0,0.0,14.0,5.0,-0.35714285714285715
53,1,0,0,3,0,0,0,2,0,1,0,0.7844953837290515,WorkHour_vv_4,0,1.0,0.0,15.0,5.0,-0.3333333333333333
37,0,1,0,2,1,1,1,4,1,0,1,0.7778798526916499,WorkHour_vv_3,0,1.0,0.0,16.0,6.0,-0.375
37,0,0,0,1,1,1,1,4,1,0,0,0.7778798526916499,WorkHour_vv_3,0,1.0,0.0,17.0,6.0,-0.35294117647058826
37,0,0,0,2,1,1,1,4,1,0,0,0.7778798526916499,WorkHour_vv_3,0,1.0,0.0,18.0,6.0,-0.3333333333333333
37,0,1,0,2,1,1,1,4,1,0,0,0.7778798526916499,WorkHour_vv_3,0,1.0,0.0,19.0,6.0,-0.3157894736842105
37,0,1,0,2,1,1,1,3,1,0,0,0.7778798526916499,WorkHour_vv_3,1,2.0,0.0,19.0,6.0,-0.3157894736842105
37,0,1,0,2,1,1,1,3,1,0,0,0.7778798526916499,WorkHour_vv_3,1,3.0,0.0,19.0,6.0,-0.3157894736842105
37,0,1,0,2,1,1,1,3,1,0,1,0.7778798526916499,WorkHour_vv_3,1,4.0,1.0,19.0,6.0,-0.06578947368421051
