Age,Private,SelfEmp,Gov,Education,Married,Race,Gender,WorkHour,US,Salary,Prof,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
48,0,0,1,3,1,1,0,4,1,1,1,1.1789943368086242,Education_vv_3,1,1.0,1.0,0.0,0.0,1.0
48,0,0,1,3,1,1,0,3,1,1,1,1.1789943368086242,Education_vv_3,1,2.0,2.0,0.0,0.0,1.0
48,0,0,1,3,1,1,0,1,1,1,1,1.1789943368086242,Education_vv_3,1,3.0,3.0,0.0,0.0,1.0
48,0,0,1,2,1,1,0,3,1,1,0,1.1789943368086242,Education_vv_3,0,3.0,3.0,1.0,0.0,1.0
48,0,0,1,3,1,1,0,3,1,1,1,1.1789943368086242,Education_vv_3,1,4.0,4.0,1.0,0.0,1.0
48,0,0,1,3,1,1,0,3,1,1,0,1.1789943368086242,Education_vv_3,1,5.0,4.0,1.0,0.0,0.8
48,0,0,1,3,1,1,0,3,1,1,1,1.1789943368086242,Education_vv_3,1,6.0,5.0,1.0,0.0,0.8333333333333334
49,0,0,1,3,1,1,0,3,1,1,1,1.1753766802570003,Education_vv_3,1,7.0,6.0,1.0,0.0,0.8571428571428571
49,0,0,1,3,1,1,0,3,1,1,1,1.1753766802570003,Education_vv_3,1,8.0,7.0,1.0,0.0,0.875
49,1,0,0,2,1,0,1,3,0,0,0,1.1715944331666017,SelfEmp_vv_1,0,8.0,7.0,2.0,0.0,0.875
49,1,0,0,3,0,0,1,3,0,0,0,1.165118563990198,SelfEmp_vv_1,0,8.0,7.0,3.0,0.0,0.875
51,1,0,0,1,1,0,1,3,0,0,0,1.1486315906278142,SelfEmp_vv_1,0,8.0,7.0,4.0,0.0,0.875
51,1,0,0,2,1,0,1,4,0,0,1,1.1486315906278142,SelfEmp_vv_1,0,8.0,7.0,5.0,1.0,0.675
51,1,0,0,3,1,0,1,3,0,0,1,1.1486315906278142,SelfEmp_vv_1,0,8.0,7.0,6.0,2.0,0.5416666666666667
51,1,0,0,3,1,0,1,4,0,0,0,1.1486315906278142,SelfEmp_vv_1,0,8.0,7.0,7.0,2.0,0.5892857142857143
37,1,0,0,3,1,0,0,3,1,1,1,1.145976623878001,SelfEmp_vv_1,0,8.0,7.0,8.0,3.0,0.5
48,0,1,0,2,1,0,1,3,0,0,1,1.144631670235144,SelfEmp_vv_1,1,9.0,8.0,8.0,3.0,0.5138888888888888
48,0,1,0,3,1,0,1,4,0,0,1,1.144631670235144,SelfEmp_vv_1,1,10.0,9.0,8.0,3.0,0.525
38,1,0,0,3,1,0,1,4,1,1,1,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,9.0,4.0,0.4555555555555556
38,1,0,0,3,1,0,1,4,1,1,0,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,10.0,4.0,0.5
38,1,0,0,2,1,0,1,3,1,1,0,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,11.0,4.0,0.5363636363636364
38,1,0,0,3,1,0,1,3,1,1,1,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,12.0,5.0,0.48333333333333334
38,1,0,0,3,1,0,1,3,1,1,1,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,13.0,6.0,0.43846153846153846
38,1,0,0,3,1,0,1,3,1,1,1,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,14.0,7.0,0.4
38,1,0,0,3,1,0,1,4,1,1,1,1.1407988708416492,SelfEmp_vv_1,0,10.0,9.0,15.0,8.0,0.3666666666666667
45,1,0,0,2,0,0,1,3,0,0,0,1.1396371914412675,SelfEmp_vv_1,0,10.0,9.0,16.0,8.0,0.4
37,0,0,1,3,1,0,0,3,1,1,0,1.1286265320493252,SelfEmp_vv_1,0,10.0,9.0,17.0,8.0,0.4294117647058824
45,1,0,0,3,0,1,1,3,0,1,0,1.127997846182335,SelfEmp_vv_1,0,10.0,9.0,18.0,8.0,0.4555555555555556
50,0,0,0,2,1,0,1,4,0,0,0,1.125448084164312,SelfEmp_vv_1,0,10.0,9.0,19.0,8.0,0.4789473684210527
50,0,0,0,2,1,0,1,3,0,0,0,1.125448084164312,SelfEmp_vv_1,0,10.0,9.0,20.0,8.0,0.5
50,0,1,0,2,1,0,1,4,0,0,0,1.125448084164312,SelfEmp_vv_1,1,11.0,9.0,20.0,8.0,0.4181818181818182
45,0,0,1,2,0,0,1,3,0,0,0,1.1200440243753231,SelfEmp_vv_1,0,11.0,9.0,21.0,8.0,0.4372294372294373
38,0,1,0,3,1,0,1,4,1,1,1,1.1199331134323427,SelfEmp_vv_1,1,12.0,10.0,21.0,8.0,0.45238095238095244
58,0,1,0,1,0,0,1,3,0,0,1,1.1142422881567033,SelfEmp_vv_1,1,13.0,11.0,21.0,8.0,0.4652014652014652
64,0,0,1,1,0,1,0,3,0,0,0,1.1131836380753648,Education_vv_3,0,13.0,11.0,22.0,8.0,0.4825174825174825
64,0,0,1,1,0,1,0,3,0,0,0,1.1131836380753648,Education_vv_3,0,13.0,11.0,23.0,8.0,0.4983277591973244
38,1,0,0,3,0,0,1,3,1,1,1,1.1121870460669088,SelfEmp_vv_1,0,13.0,11.0,24.0,9.0,0.47115384615384615
51,1,0,0,1,0,0,1,4,0,0,1,1.1110601362115422,SelfEmp_vv_1,0,13.0,11.0,25.0,10.0,0.4461538461538461
37,1,0,0,2,1,0,0,3,0,1,1,1.1073705955035515,SelfEmp_vv_1,0,13.0,11.0,26.0,11.0,0.4230769230769231
39,0,0,1,3,1,1,0,2,1,1,1,1.1050014200007574,Education_vv_3,1,14.0,12.0,26.0,11.0,0.434065934065934
39,0,0,1,2,1,1,0,4,1,1,1,1.1050014200007574,Education_vv_3,0,14.0,12.0,27.0,12.0,0.4126984126984127
39,0,0,1,2,1,1,0,2,1,1,0,1.1050014200007574,Education_vv_3,0,14.0,12.0,28.0,12.0,0.42857142857142855
45,0,0,1,2,0,1,0,3,1,1,1,1.1003222536766988,Education_vv_3,0,14.0,12.0,29.0,13.0,0.40886699507389157
43,1,0,0,1,0,1,1,4,0,1,1,1.0987636756550894,SelfEmp_vv_1,0,14.0,12.0,30.0,14.0,0.3904761904761904
43,0,0,1,2,1,1,0,3,1,1,1,1.095676388061134,Education_vv_3,0,14.0,12.0,31.0,15.0,0.3732718894009216
45,1,0,0,2,1,1,1,4,0,1,1,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,32.0,16.0,0.3571428571428571
45,1,0,0,2,1,1,1,3,0,1,0,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,33.0,16.0,0.37229437229437223
45,1,0,0,2,1,1,1,3,0,1,1,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,34.0,17.0,0.3571428571428571
45,1,0,0,3,1,1,1,3,0,1,1,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,35.0,18.0,0.34285714285714286
45,1,0,0,2,1,1,1,3,0,1,1,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,36.0,19.0,0.3293650793650793
45,1,0,0,3,1,1,1,3,0,1,1,1.0932427600653147,SelfEmp_vv_1,0,14.0,12.0,37.0,20.0,0.3166023166023165
50,0,1,0,3,0,0,1,4,0,0,1,1.084870295354103,SelfEmp_vv_1,1,15.0,13.0,37.0,20.0,0.3261261261261261
37,0,0,1,2,1,0,0,3,0,1,1,1.0834453138656208,SelfEmp_vv_1,0,15.0,13.0,38.0,21.0,0.3140350877192982
61,1,0,0,1,0,1,1,3,0,0,0,1.0797449213832715,SelfEmp_vv_1,0,15.0,13.0,39.0,21.0,0.32820512820512826
45,1,0,0,2,1,0,1,3,0,0,1,1.0782316862422687,SelfEmp_vv_1,0,15.0,13.0,40.0,22.0,0.31666666666666665
45,1,0,0,1,1,0,1,3,0,0,1,1.0782316862422687,SelfEmp_vv_1,0,15.0,13.0,41.0,23.0,0.3056910569105691
61,0,1,0,1,0,1,1,1,0,0,1,1.076429736702354,SelfEmp_vv_1,1,16.0,14.0,41.0,23.0,0.3140243902439024
30,0,1,0,2,0,1,1,4,1,1,1,1.0764116163687298,SelfEmp_vv_1,1,17.0,15.0,41.0,23.0,0.32137733142037295
40,1,0,0,2,0,0,1,3,1,1,0,1.0727059752589592,SelfEmp_vv_1,0,17.0,15.0,42.0,23.0,0.3347338935574229
40,1,0,0,2,1,0,1,3,1,1,1,1.0724334064282115,SelfEmp_vv_1,0,17.0,15.0,43.0,24.0,0.32421340629274964
40,1,0,0,2,1,0,1,4,1,1,0,1.0724334064282115,SelfEmp_vv_1,0,17.0,15.0,44.0,24.0,0.33689839572192515
40,1,0,0,3,1,0,1,3,1,1,1,1.0724334064282115,SelfEmp_vv_1,0,17.0,15.0,45.0,25.0,0.326797385620915
43,0,0,1,3,0,1,0,3,1,1,1,1.070653520253412,Education_vv_3,1,18.0,16.0,45.0,25.0,0.33333333333333326
43,0,0,1,2,0,1,0,3,1,1,1,1.070653520253412,Education_vv_3,0,18.0,16.0,46.0,26.0,0.32367149758454106
43,0,0,1,2,0,1,0,4,1,1,0,1.070653520253412,Education_vv_3,0,18.0,16.0,47.0,26.0,0.3356973995271867
42,1,0,0,2,0,1,1,3,0,1,0,1.0621945904727748,SelfEmp_vv_1,0,18.0,16.0,48.0,26.0,0.3472222222222222
42,1,0,0,2,0,1,1,4,0,1,1,1.0621945904727748,SelfEmp_vv_1,0,18.0,16.0,49.0,27.0,0.3378684807256236
46,0,0,1,3,1,1,0,3,1,1,1,1.0592537914051825,Education_vv_3,1,19.0,17.0,49.0,27.0,0.3437164339419979
37,1,0,0,2,1,0,1,3,1,1,0,1.0580027891589088,SelfEmp_vv_1,0,19.0,17.0,50.0,27.0,0.35473684210526313
37,1,0,0,3,1,0,1,4,1,1,1,1.0580027891589088,SelfEmp_vv_1,0,19.0,17.0,51.0,28.0,0.34571723426212586
37,1,0,0,2,1,0,1,4,1,1,0,1.0580027891589088,SelfEmp_vv_1,0,19.0,17.0,52.0,28.0,0.35627530364372473
37,1,0,0,2,1,0,1,3,1,1,1,1.0580027891589088,SelfEmp_vv_1,0,19.0,17.0,53.0,29.0,0.34756703078450846
37,1,0,0,2,1,0,1,3,1,1,0,1.0580027891589088,SelfEmp_vv_1,0,19.0,17.0,54.0,29.0,0.3576998050682261
75,1,0,0,2,0,1,0,2,0,0,0,1.0579441676272416,SelfEmp_vv_1,0,19.0,17.0,55.0,29.0,0.36746411483253594
47,0,0,1,3,1,1,0,4,1,1,1,1.055358844703768,Education_vv_3,1,20.0,18.0,55.0,29.0,0.3727272727272728
47,0,0,1,2,1,1,0,3,1,1,0,1.055358844703768,Education_vv_3,0,20.0,18.0,56.0,29.0,0.3821428571428571
44,0,0,1,3,1,1,0,3,1,1,1,1.0510490892667508,Education_vv_3,1,21.0,19.0,56.0,29.0,0.38690476190476186
75,0,1,0,2,1,1,1,3,1,1,1,1.0509160998475926,SelfEmp_vv_1,1,22.0,20.0,56.0,29.0,0.39123376623376616
37,0,0,1,2,0,1,0,1,0,0,0,1.04742456385407,Education_vv_3,0,22.0,20.0,57.0,29.0,0.40031897926634763
56,1,0,0,1,1,0,1,3,0,0,0,1.0473614233684467,SelfEmp_vv_1,0,22.0,20.0,58.0,29.0,0.40909090909090906
42,1,0,0,2,1,1,1,3,0,1,0,1.042002209645537,SelfEmp_vv_1,0,22.0,20.0,59.0,29.0,0.4175654853620955
42,1,0,0,3,1,1,1,4,0,1,1,1.042002209645537,SelfEmp_vv_1,0,22.0,20.0,60.0,30.0,0.40909090909090906
42,1,0,0,3,1,1,1,4,0,1,1,1.042002209645537,SelfEmp_vv_1,0,22.0,20.0,61.0,31.0,0.40089418777943364
42,1,0,0,2,1,1,1,3,0,1,0,1.042002209645537,SelfEmp_vv_1,0,22.0,20.0,62.0,31.0,0.40909090909090906
55,0,0,1,3,0,1,0,4,0,0,0,1.0401866033653038,Education_vv_3,1,23.0,20.0,62.0,31.0,0.3695652173913043
58,1,0,0,2,0,0,1,3,0,0,0,1.0398280874617356,SelfEmp_vv_1,0,23.0,20.0,63.0,31.0,0.3775017253278123
72,0,1,0,1,1,0,1,2,0,0,1,1.039518193971351,SelfEmp_vv_1,1,24.0,21.0,63.0,31.0,0.38293650793650796
61,0,0,0,3,0,1,1,1,1,1,0,1.0375056349565241,SelfEmp_vv_1,0,24.0,21.0,64.0,31.0,0.390625
