satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
3,0.87,2,3,0,0,1,1.4113182053668463,satisfaction_level_vv_3,1,1.0,3.0,0.0,0.0,3.0
2,0.87,3,2,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,1.0,2.0,1.0
1,0.87,2,3,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,2.0,5.0,0.5
1,0.87,3,4,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,3.0,9.0,0.0
1,0.87,3,2,0,1,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,4.0,11.0,0.25
1,0.87,1,3,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,5.0,14.0,0.20000000000000018
1,0.87,2,3,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,6.0,17.0,0.16666666666666652
1,0.87,5,4,0,1,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,7.0,21.0,0.0
1,0.87,2,4,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,8.0,25.0,-0.125
1,0.87,5,4,0,1,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,9.0,29.0,-0.22222222222222232
1,0.87,5,4,0,1,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,10.0,33.0,-0.2999999999999998
1,0.87,5,6,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,1.0,3.0,11.0,39.0,-0.5454545454545454
3,0.87,1,8,0,0,1,1.4113182053668463,satisfaction_level_vv_3,1,2.0,11.0,11.0,39.0,1.9545454545454546
1,0.87,2,3,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,2.0,11.0,12.0,42.0,2.0
2,0.87,3,4,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,2.0,11.0,13.0,46.0,1.9615384615384617
3,0.87,2,6,0,0,1,1.4113182053668463,satisfaction_level_vv_3,1,3.0,17.0,13.0,46.0,2.1282051282051286
1,0.87,1,5,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,3.0,17.0,14.0,51.0,2.023809523809524
1,0.87,3,2,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,3.0,17.0,15.0,53.0,2.1333333333333337
2,0.87,4,2,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,3.0,17.0,16.0,55.0,2.229166666666667
2,0.87,4,5,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,3.0,17.0,17.0,60.0,2.1372549019607847
1,0.87,2,2,0,0,1,1.4113182053668463,satisfaction_level_vv_3,0,3.0,17.0,18.0,62.0,2.2222222222222223
