satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
2,0.66,3,3,0,1,0,1.2278062297330588,average_montly_hours_vv_3,1,1.0,3.0,0.0,0.0,3.0
2,0.66,3,3,0,1,0,1.2278062297330588,average_montly_hours_vv_3,1,2.0,6.0,0.0,0.0,3.0
2,1.0,5,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,2.0,6.0,1.0,5.0,-2.0
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,2.0,6.0,2.0,10.0,-2.0
2,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,3.0,11.0,2.0,10.0,-1.3333333333333335
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,3.0,11.0,3.0,15.0,-1.3333333333333335
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,3.0,11.0,4.0,20.0,-1.3333333333333335
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,3.0,11.0,5.0,25.0,-1.3333333333333335
3,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,4.0,16.0,5.0,25.0,-1.0
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,4.0,16.0,6.0,30.0,-1.0
2,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,5.0,21.0,6.0,30.0,-0.7999999999999998
2,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,6.0,26.0,6.0,30.0,-0.666666666666667
2,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,7.0,31.0,6.0,30.0,-0.5714285714285712
2,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,7.0,31.0,7.0,35.0,-0.5714285714285712
3,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,8.0,36.0,7.0,35.0,-0.5
2,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,8.0,36.0,8.0,40.0,-0.5
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,8.0,36.0,9.0,45.0,-0.5
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,8.0,36.0,10.0,50.0,-0.5
3,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,9.0,41.0,10.0,50.0,-0.44444444444444464
2,1.0,4,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,10.0,46.0,10.0,50.0,-0.40000000000000036
2,1.0,5,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,10.0,46.0,11.0,55.0,-0.40000000000000036
3,1.0,3,5,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,10.0,46.0,12.0,60.0,-0.40000000000000036
3,1.0,4,6,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,11.0,52.0,12.0,60.0,-0.2727272727272725
2,1.0,3,6,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,11.0,52.0,13.0,66.0,-0.34965034965034913
1,1.0,3,4,0,1,0,0.8658776065845126,average_montly_hours_vv_4,0,11.0,52.0,14.0,70.0,-0.2727272727272725
3,1.0,4,6,0,1,0,0.8658776065845126,average_montly_hours_vv_4,1,12.0,58.0,14.0,70.0,-0.16666666666666696
3,0.84,4,6,0,1,0,0.8638089695980476,average_montly_hours_vv_4,1,13.0,64.0,14.0,70.0,-0.07692307692307665
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,13.0,64.0,15.0,74.0,-0.01025641025641022
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,13.0,64.0,16.0,78.0,0.04807692307692335
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,13.0,64.0,17.0,82.0,0.09954751131221773
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,13.0,64.0,18.0,86.0,0.14529914529914567
3,0.84,4,6,0,1,0,0.8638089695980476,average_montly_hours_vv_4,1,14.0,70.0,18.0,86.0,0.22222222222222232
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,14.0,70.0,19.0,90.0,0.2631578947368425
3,0.84,3,5,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,14.0,70.0,20.0,95.0,0.25
1,0.84,4,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,1,15.0,74.0,20.0,95.0,0.18333333333333357
1,0.84,4,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,1,16.0,78.0,20.0,95.0,0.125
3,0.84,3,5,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,16.0,78.0,21.0,100.0,0.11309523809523814
3,0.84,3,5,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,16.0,78.0,22.0,105.0,0.10227272727272751
3,0.84,3,5,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,16.0,78.0,23.0,110.0,0.09239130434782616
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,16.0,78.0,24.0,114.0,0.125
1,0.84,4,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,1,17.0,82.0,24.0,114.0,0.07352941176470562
1,0.84,5,4,0,1,0,0.8638089695980476,average_montly_hours_vv_4,0,17.0,82.0,25.0,118.0,0.10352941176470587
1,0.86,4,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,18.0,86.0,25.0,118.0,0.05777777777777793
1,0.86,5,3,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,18.0,86.0,26.0,121.0,0.12393162393162349
1,0.86,5,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,18.0,86.0,27.0,125.0,0.14814814814814792
1,0.86,5,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,18.0,86.0,28.0,129.0,0.17063492063492092
1,0.86,4,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,19.0,90.0,28.0,129.0,0.12969924812030076
2,0.86,4,5,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,20.0,95.0,28.0,129.0,0.14285714285714324
2,0.86,4,5,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,21.0,100.0,28.0,129.0,0.1547619047619051
1,0.86,4,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,22.0,104.0,28.0,129.0,0.12012987012987075
1,0.86,5,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,22.0,104.0,29.0,133.0,0.14106583072100332
1,0.86,5,4,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,22.0,104.0,30.0,137.0,0.16060606060606109
3,0.86,3,5,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,22.0,104.0,31.0,142.0,0.14662756598240456
3,0.86,3,5,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,22.0,104.0,32.0,147.0,0.13352272727272751
2,0.86,4,6,0,1,0,0.7804306200475148,average_montly_hours_vv_4,1,23.0,110.0,32.0,147.0,0.18885869565217384
2,0.86,3,2,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,23.0,110.0,33.0,149.0,0.26745718050065825
3,0.86,3,5,0,1,0,0.7804306200475148,average_montly_hours_vv_4,0,23.0,110.0,34.0,154.0,0.2531969309462916
1,0.89,5,4,0,1,0,0.7795733666346016,average_montly_hours_vv_4,0,23.0,110.0,35.0,158.0,0.2683229813664596
2,0.89,3,5,0,1,0,0.7795733666346016,average_montly_hours_vv_4,0,23.0,110.0,36.0,163.0,0.25483091787439616
1,0.89,5,4,0,1,0,0.7795733666346016,average_montly_hours_vv_4,0,23.0,110.0,37.0,167.0,0.2690951821386607
1,0.89,4,4,0,1,0,0.7795733666346016,average_montly_hours_vv_4,1,24.0,114.0,37.0,167.0,0.23648648648648685
1,0.89,4,4,0,1,0,0.7795733666346016,average_montly_hours_vv_4,1,25.0,118.0,37.0,167.0,0.2064864864864866
2,0.89,3,6,0,1,0,0.7795733666346016,average_montly_hours_vv_4,0,25.0,118.0,38.0,173.0,0.1673684210526316
1,0.89,5,4,0,1,0,0.7795733666346016,average_montly_hours_vv_4,0,25.0,118.0,39.0,177.0,0.18153846153846143
