stag,event,Gender,Age,Profession,Is_coached,Head_gender,Grey_wage,Transportation,Extraversion,Independence,Selfcontrol,Anxiety,Novator,Long_emp_retention,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
81.18275154,1,0,31.0,1,0,0,1,1,2,0,1,1,0,1,0.24390477212210512,Grey_wage_vv_1,1,1.0,1.0,0.0,0.0,1.0
15.11293634,1,0,23.0,1,0,0,1,0,1,0,0,1,1,0,0.22237654126546075,Grey_wage_vv_1,1,2.0,1.0,0.0,0.0,0.5
5.815195072000001,1,0,25.0,0,0,1,1,1,4,0,1,0,1,0,0.2220285564635632,Grey_wage_vv_1,1,3.0,1.0,0.0,0.0,0.3333333333333333
15.14579055,1,1,22.0,0,0,1,1,1,2,0,1,0,1,0,0.22178302627895957,Grey_wage_vv_1,1,4.0,1.0,0.0,0.0,0.25
100.23819300000001,0,0,23.0,1,0,1,1,0,3,0,0,0,1,1,0.19402711122922717,Grey_wage_vv_1,1,5.0,2.0,0.0,0.0,0.4
96.0,1,1,31.0,0,0,1,1,1,4,0,1,1,0,1,0.18403794553862202,Grey_wage_vv_1,1,6.0,3.0,0.0,0.0,0.5
26.15195072,1,1,31.0,0,0,1,1,1,3,0,1,1,0,0,0.18403794553862202,Grey_wage_vv_1,1,7.0,3.0,0.0,0.0,0.42857142857142855
2.201232033,1,1,23.0,0,0,1,1,1,2,0,1,1,1,0,0.17879440016419496,Grey_wage_vv_1,1,8.0,3.0,0.0,0.0,0.375
32.32854209,1,0,31.0,1,0,1,1,1,2,0,1,0,0,0,0.16994245733587876,Grey_wage_vv_1,1,9.0,3.0,0.0,0.0,0.3333333333333333
95.44147844,0,0,25.0,1,0,1,0,1,2,0,1,1,1,1,0.16811733728536157,Grey_wage_vv_1,0,9.0,3.0,1.0,1.0,-0.6666666666666667
23.95071869,1,0,32.0,1,0,0,1,0,4,1,0,0,0,0,0.16557865148537748,Grey_wage_vv_1,1,10.0,3.0,1.0,1.0,-0.7
